#geneName	Ikaros.Control_0h	Ikaros.Control_2h	Ikaros.Control_6h	Ikaros.Control_12h	Ikaros.Control_18h	Ikaros.Control_24h
Scmh1	-0.00424227642712771	0.0189777843485688	0.0138270308803736	0.0484828253140497	0.0174630525914244	0.0425435195616413
Brat1	0.00753068772842168	0.033893918550989	0.0954469304041212	0.0702910939247807	0.0697680075422026	0.0487934158892579
Gna12	0.0533911127992252	0.0848747762001637	0.105484323695834	0.117380720843354	0.12956065803145	0.122666839071841
Dlat	-0.00504776385556058	-0.0118862930607248	-0.00375949414163021	-0.0473939905111813	-0.0492187240637503	-0.0790467525190557
Sdhd	-0.00376439601020585	0.00946694944573302	-0.0518123163461656	-0.00247732229836359	-0.0349034168903451	-0.0824452416563971
Itgb2	-0.0352933137141772	0.0179514519189724	0.0804171224614957	0.0869420833018818	0.0525557269920021	0.0565064088977179
Tbrg4	-0.0148523163088056	-0.0223638726132178	-0.0482876814426611	-0.103038064874391	-0.163354333665584	-0.197600711887234
Lck	0.0885644608366304	0.0114495688051716	-0.033175353887971	-0.0540293875584986	-0.0309394599472255	0.0120315225837025
Adora3	-0.111796247993084	0.092497806231782	0.254945609363931	0.260977196643911	0.0724732308445942	0.14186526244555
Hnrnpd	-0.0158988797782344	0.00751205867588194	0.0127315583212663	-0.0407432636766707	-0.0863411895186029	-0.0894143428860302
Hk2	0.0163846407211869	-0.0514600695849426	-0.00957045271779283	-0.163839743958204	-0.269638406053769	-0.311934431465197
Abhd15	-0.022268790168495	-0.126498224055686	-0.0319574020334129	-0.17336712959556	0.00421985450647039	0.1446369388574
Loxl3	-0.19486645763443	-0.0604193104736059	-0.0338808233753621	-0.0942198659717441	-0.127347393584078	-0.0607153162859949
Serpinf1	0.175123308001574	0.132529065920902	-0.066867497039326	-0.255426718649438	-0.25915768043634	-0.227220626230247
Tubgcp3	-0.00418194241761776	0.00505408289364554	0.0235278691101868	0.0181708707378926	0.0122897984350454	-0.0202780536343604
Mmp11	0.0198895214956495	-0.036541721103553	-0.0387013273795428	0.00223696774530869	0.0187643445190654	0.0261114423366909
Vpreb3	-0.00129285821268514	-0.0143822246668331	-0.0849984370094732	-0.00634379869056285	-0.0225197749887683	-0.0452494060208265
Nsun5	-0.0238370292223317	-0.0256073847922434	-0.124204377599221	-0.130352056677094	-0.203248840793941	-0.249062607652828
