#GeneID	TF_ID
ENSMUSG00000040822	ENSMUSG00000049823
ENSMUSG00000003038	ENSMUSG00000049823
ENSMUSG00000022185	ENSMUSG00000049823
ENSMUSG00000027108	ENSMUSG00000049823
ENSMUSG00000038930	ENSMUSG00000049823
ENSMUSG00000074171	ENSMUSG00000049823
ENSMUSG00000001767	ENSMUSG00000049823
ENSMUSG00000003752	ENSMUSG00000049823
ENSMUSG00000020677	ENSMUSG00000049672
ENSMUSG00000021211	ENSMUSG00000049672
ENSMUSG00000031711	ENSMUSG00000049672
ENSMUSG00000038150	ENSMUSG00000049672
ENSMUSG00000048647	ENSMUSG00000049672
ENSMUSG00000049323	ENSMUSG00000049672
ENSMUSG00000003762	ENSMUSG00000049672
ENSMUSG00000013858	ENSMUSG00000049672
ENSMUSG00000021583	ENSMUSG00000049672
ENSMUSG00000022526	ENSMUSG00000049672
ENSMUSG00000024908	ENSMUSG00000049672
ENSMUSG00000026004	ENSMUSG00000049672
ENSMUSG00000026421	ENSMUSG00000049672
ENSMUSG00000028012	ENSMUSG00000049672
ENSMUSG00000028383	ENSMUSG00000049672
ENSMUSG00000028884	ENSMUSG00000049672
ENSMUSG00000029613	ENSMUSG00000049672
ENSMUSG00000030825	ENSMUSG00000049672
ENSMUSG00000032121	ENSMUSG00000049672
ENSMUSG00000035890	ENSMUSG00000049672
ENSMUSG00000038387	ENSMUSG00000049672
ENSMUSG00000039988	ENSMUSG00000049672
ENSMUSG00000039990	ENSMUSG00000049672
ENSMUSG00000040725	ENSMUSG00000049672
ENSMUSG00000042474	ENSMUSG00000049672
ENSMUSG00000048148	ENSMUSG00000049672
ENSMUSG00000057156	ENSMUSG00000049672
ENSMUSG00000060843	ENSMUSG00000049672
ENSMUSG00000061130	ENSMUSG00000049672
ENSMUSG00000071337	ENSMUSG00000049672
ENSMUSG00000071657	ENSMUSG00000049672
ENSMUSG00000071860	ENSMUSG00000049672
ENSMUSG00000078786	ENSMUSG00000049672
ENSMUSG00000078960	ENSMUSG00000049672
ENSMUSG00000079553	ENSMUSG00000049672
ENSMUSG00000084866	ENSMUSG00000049672
ENSMUSG00000085024	ENSMUSG00000049672
ENSMUSG00000086173	ENSMUSG00000049672
ENSMUSG00000088597	ENSMUSG00000049672
ENSMUSG00000093803	ENSMUSG00000049672
ENSMUSG00000001305	ENSMUSG00000049672
ENSMUSG00000001415	ENSMUSG00000049672
ENSMUSG00000001855	ENSMUSG00000049672
ENSMUSG00000002266	ENSMUSG00000049672
ENSMUSG00000002814	ENSMUSG00000049672
ENSMUSG00000002996	ENSMUSG00000049672
ENSMUSG00000005846	ENSMUSG00000049672
ENSMUSG00000005973	ENSMUSG00000049672
ENSMUSG00000007050	ENSMUSG00000049672
ENSMUSG00000009733	ENSMUSG00000049672
ENSMUSG00000013833	ENSMUSG00000049672
ENSMUSG00000014767	ENSMUSG00000049672
