#geneID	Treated_vs_Control
ENSMUSG00000000001	0.2992
ENSMUSG00000000028	0.3607
ENSMUSG00000000037	-0.0028
ENSMUSG00000000049	-1.2616
ENSMUSG00000000058	-1.0569
ENSMUSG00000000085	0.1353
ENSMUSG00000000088	-0.2852
ENSMUSG00000000120	0.2210
ENSMUSG00000000125	-0.2300
ENSMUSG00000000126	0.0575
ENSMUSG00000000127	-0.0046
ENSMUSG00000000131	-0.0753
ENSMUSG00000000134	-0.4435
ENSMUSG00000000142	-0.0013
ENSMUSG00000000149	0.5437
ENSMUSG00000000157	-0.3288
ENSMUSG00000000159	-0.2628
ENSMUSG00000000168	0.5806
ENSMUSG00000000171	-0.4761
ENSMUSG00000000182	0.2260
ENSMUSG00000000183	0.1312
ENSMUSG00000000184	-0.1732
ENSMUSG00000000214	-0.4415
ENSMUSG00000000215	-0.0146
ENSMUSG00000000216	-0.2102
ENSMUSG00000000253	-0.2129
ENSMUSG00000000263	-0.0823
ENSMUSG00000000275	-0.0633
ENSMUSG00000000276	-0.5972
ENSMUSG00000000290	0.4120
ENSMUSG00000000295	0.4999
ENSMUSG00000000301	0.2161
ENSMUSG00000000303	0.0979
ENSMUSG00000000305	0.8062
ENSMUSG00000000308	0.0013
ENSMUSG00000000320	-0.3699
ENSMUSG00000000326	0.3185
ENSMUSG00000000340	-0.0947
ENSMUSG00000000378	0.1089
ENSMUSG00000000381	0.2625
ENSMUSG00000000385	-0.0338
ENSMUSG00000000394	0.1123
ENSMUSG00000000399	0.2553
ENSMUSG00000000409	0.4703
ENSMUSG00000000420	0.1856
ENSMUSG00000000435	0.3665
ENSMUSG00000000440	-0.0436
ENSMUSG00000000441	0.2114
ENSMUSG00000000486	-0.1357
ENSMUSG00000000489	0.4445
ENSMUSG00000000530	-0.3982
ENSMUSG00000000532	0.5717
ENSMUSG00000000552	-0.4757
ENSMUSG00000000555	-0.1922
ENSMUSG00000000560	0.4247
ENSMUSG00000000562	-0.4665
ENSMUSG00000000563	-0.6010
ENSMUSG00000000567	-0.1465
ENSMUSG00000000579	0.1687
ENSMUSG00000000581	0.4368
ENSMUSG00000000594	2.6989
ENSMUSG00000000600	-0.2160
ENSMUSG00000000605	-0.6408
ENSMUSG00000000617	-0.1773
ENSMUSG00000000627	-0.3543
ENSMUSG00000000628	-0.1286
ENSMUSG00000000631	0.4726
ENSMUSG00000000673	-0.2036
ENSMUSG00000000708	-0.4086
ENSMUSG00000000711	-0.0147
ENSMUSG00000000731	0.1186
ENSMUSG00000000732	0.1339
ENSMUSG00000000740	0.2747
ENSMUSG00000000743	0.1398
ENSMUSG00000000751	-0.5115
ENSMUSG00000000753	0.0057
ENSMUSG00000000766	-0.0417
ENSMUSG00000000776	2.3542
ENSMUSG00000000782	-0.0835
ENSMUSG00000000787	0.6567
ENSMUSG00000000791	-0.1364
ENSMUSG00000000792	0.0141
ENSMUSG00000000794	-0.1066
ENSMUSG00000000805	-2.0928
ENSMUSG00000000811	-1.0514
ENSMUSG00000000817	0.3346
ENSMUSG00000000826	-0.5040
ENSMUSG00000000869	0.1304
ENSMUSG00000000876	-0.3021
ENSMUSG00000000881	0.0534
ENSMUSG00000000889	0.0468
ENSMUSG00000000902	2.4668
ENSMUSG00000000938	-0.0204
ENSMUSG00000000957	-0.2457
ENSMUSG00000000958	0.2772
ENSMUSG00000000959	0.0345
ENSMUSG00000000982	-0.2203
ENSMUSG00000001020	-0.2573
ENSMUSG00000001021	0.2348
ENSMUSG00000001023	-0.3040
ENSMUSG00000001025	0.2745
ENSMUSG00000001029	0.2061
ENSMUSG00000001034	-0.1123
ENSMUSG00000001036	-0.3517
ENSMUSG00000001052	-0.2813
ENSMUSG00000001056	-0.1320
ENSMUSG00000001119	0.2285
ENSMUSG00000001127	0.1320
ENSMUSG00000001128	-0.1155
ENSMUSG00000001131	0.4384
ENSMUSG00000001155	-0.0088
ENSMUSG00000001158	0.3490
ENSMUSG00000001173	-0.2740
ENSMUSG00000001175	0.0498
ENSMUSG00000001211	-0.0925
ENSMUSG00000001225	0.3963
ENSMUSG00000001227	0.0241
ENSMUSG00000001240	0.7957
ENSMUSG00000001249	-1.1984
ENSMUSG00000001260	-0.0112
ENSMUSG00000001270	0.1754
ENSMUSG00000001280	0.0699
ENSMUSG00000001281	0.4987
ENSMUSG00000001300	0.1903
ENSMUSG00000001323	0.0885
ENSMUSG00000001348	2.5166
ENSMUSG00000001380	-0.2992
ENSMUSG00000001383	-0.0563
ENSMUSG00000001403	1.2572
ENSMUSG00000001415	0.0864
ENSMUSG00000001419	0.0576
ENSMUSG00000001420	-0.1747
ENSMUSG00000001424	0.2556
ENSMUSG00000001435	-0.0643
ENSMUSG00000001436	0.1563
ENSMUSG00000001440	0.0079
ENSMUSG00000001444	0.5623
ENSMUSG00000001445	0.4123
ENSMUSG00000001467	0.3043
ENSMUSG00000001473	0.1098
ENSMUSG00000001494	-0.4107
ENSMUSG00000001506	-0.4335
ENSMUSG00000001507	-0.3943
ENSMUSG00000001508	0.1292
ENSMUSG00000001517	0.4393
ENSMUSG00000001524	1.8274
ENSMUSG00000001525	0.9589
ENSMUSG00000001542	0.5212
ENSMUSG00000001552	0.5418
ENSMUSG00000001566	-0.1290
ENSMUSG00000001588	0.2817
ENSMUSG00000001642	-0.0719
ENSMUSG00000001663	-0.3686
ENSMUSG00000001665	0.5398
ENSMUSG00000001670	0.2219
ENSMUSG00000001672	-0.2847
ENSMUSG00000001729	-0.4281
ENSMUSG00000001739	0.4421
ENSMUSG00000001741	0.1032
ENSMUSG00000001750	0.4061
ENSMUSG00000001751	2.1685
ENSMUSG00000001755	0.6358
ENSMUSG00000001761	-0.3073
ENSMUSG00000001767	0.1304
ENSMUSG00000001773	0.1463
ENSMUSG00000001804	-0.4158
ENSMUSG00000001827	0.0027
ENSMUSG00000001829	-0.7523
ENSMUSG00000001847	0.1880
ENSMUSG00000001855	0.1323
ENSMUSG00000001865	-0.1717
ENSMUSG00000001870	0.2276
ENSMUSG00000001891	-0.2880
ENSMUSG00000001918	-0.6010
ENSMUSG00000001924	0.0556
ENSMUSG00000001930	0.1914
ENSMUSG00000001946	0.7318
ENSMUSG00000001964	0.0255
ENSMUSG00000001985	-0.2412
ENSMUSG00000001986	-0.1080
ENSMUSG00000001995	0.3351
ENSMUSG00000001998	-2.1045
ENSMUSG00000001999	-0.0341
ENSMUSG00000002010	1.3166
ENSMUSG00000002014	-0.3715
ENSMUSG00000002015	0.3372
ENSMUSG00000002028	-1.5751
ENSMUSG00000002033	-0.0500
ENSMUSG00000002068	0.8911
ENSMUSG00000002083	0.0875
ENSMUSG00000002100	0.2031
ENSMUSG00000002102	-0.2028
ENSMUSG00000002103	-2.5812
ENSMUSG00000002105	0.2835
ENSMUSG00000002108	0.0571
ENSMUSG00000002109	0.1882
ENSMUSG00000002111	0.1196
ENSMUSG00000002129	-0.5975
ENSMUSG00000002147	-0.0848
ENSMUSG00000002204	-0.1246
ENSMUSG00000002249	-0.0473
ENSMUSG00000002250	-0.1770
ENSMUSG00000002289	-0.2565
ENSMUSG00000002297	-0.0060
ENSMUSG00000002307	0.6257
ENSMUSG00000002308	-0.1270
ENSMUSG00000002319	-0.2159
ENSMUSG00000002324	-0.1395
ENSMUSG00000002325	0.0241
ENSMUSG00000002326	0.1577
ENSMUSG00000002365	0.1495
ENSMUSG00000002372	-0.1611
ENSMUSG00000002379	-0.0098
ENSMUSG00000002384	-0.2548
ENSMUSG00000002395	-0.3308
ENSMUSG00000002413	0.3074
ENSMUSG00000002416	0.1797
ENSMUSG00000002455	0.2643
ENSMUSG00000002477	0.1348
ENSMUSG00000002489	0.2711
ENSMUSG00000002496	0.4739
ENSMUSG00000002500	-0.0820
ENSMUSG00000002504	1.5089
ENSMUSG00000002524	0.1023
ENSMUSG00000002550	-0.1354
ENSMUSG00000002565	-0.0679
ENSMUSG00000002602	-0.0092
ENSMUSG00000002603	0.3696
ENSMUSG00000002633	1.3382
ENSMUSG00000002658	0.4974
ENSMUSG00000002664	-0.4018
ENSMUSG00000002688	0.6557
ENSMUSG00000002699	0.7833
ENSMUSG00000002718	0.8994
ENSMUSG00000002741	0.5633
ENSMUSG00000002748	-0.0364
ENSMUSG00000002763	0.1060
ENSMUSG00000002767	0.0829
ENSMUSG00000002769	0.4367
ENSMUSG00000002771	-0.0745
ENSMUSG00000002797	-0.3733
ENSMUSG00000002799	-0.1184
ENSMUSG00000002814	-0.3948
ENSMUSG00000002820	0.3690
ENSMUSG00000002831	-0.3697
ENSMUSG00000002847	0.1094
ENSMUSG00000002870	-0.2658
ENSMUSG00000002897	0.2969
ENSMUSG00000002900	-0.3133
ENSMUSG00000002908	-1.2538
ENSMUSG00000002930	0.6001
ENSMUSG00000002944	-0.0761
ENSMUSG00000002948	0.0731
ENSMUSG00000002957	1.2404
ENSMUSG00000002963	-0.2413
