#geneID	T00h	T02h	T06h	T12h	T18h	T24h
ENSMUSG00000000001	-0.4355	-0.1155	0.2082	0.1971	-0.1304	0.0086
ENSMUSG00000000028	-0.5502	-0.1036	-0.2317	0.0457	-0.0905	-0.2866
ENSMUSG00000000037	0.5243	-0.1676	-1.2231	0.0546	-0.6538	0.0448
ENSMUSG00000000049	-0.2925	0.2298	0.7207	-0.6030	1.0382	-0.6490
ENSMUSG00000000058	-0.1276	0.0589	0.1528	-0.2708	0.3489	-0.3100
ENSMUSG00000000085	0.4550	-0.4259	-0.0987	0.1028	0.2994	-0.0190
ENSMUSG00000000088	0.4914	-0.0468	-0.4568	0.1320	0.2053	-0.3352
ENSMUSG00000000120	-0.3215	-0.0414	0.3102	-0.0740	-0.2035	0.0798
ENSMUSG00000000125	-0.2789	-0.5364	-0.6261	0.1684	-0.2227	-0.2702
ENSMUSG00000000126	-0.2127	-0.2979	-0.9838	-0.1796	-1.0199	-0.9455
ENSMUSG00000000127	-0.5042	-0.5681	0.4103	-0.3263	-0.4011	0.4499
ENSMUSG00000000131	-0.1971	-0.0159	0.1169	0.1055	-0.1554	0.4631
ENSMUSG00000000134	0.6096	-0.6132	-0.5345	0.0180	-0.1434	-0.2031
ENSMUSG00000000142	-0.5385	-0.0241	-0.6004	0.3402	0.4911	-0.0951
ENSMUSG00000000149	0.3517	0.1465	-0.1542	-0.2417	0.3353	0.3345
ENSMUSG00000000157	0.1164	0.3036	-0.2500	0.2356	0.1134	-0.0454
ENSMUSG00000000159	-0.6930	0.4455	0.0210	-0.0435	-0.0593	-0.2204
ENSMUSG00000000168	0.9677	1.3144	0.7958	0.5241	1.2273	1.7523
ENSMUSG00000000171	0.2819	-0.0498	0.0759	0.1689	0.0498	0.2562
ENSMUSG00000000182	0.4565	-0.3407	-0.2225	0.0363	0.2919	0.4095
ENSMUSG00000000183	0.3634	0.4010	-0.2188	0.2478	0.2615	0.2208
ENSMUSG00000000184	-1.1829	-0.5982	-0.7959	-0.7561	-0.8323	-1.1885
ENSMUSG00000000214	0.0959	0.3088	-0.5488	-0.2026	0.4214	0.3809
ENSMUSG00000000215	-0.5288	-0.7802	-0.8941	-0.6671	-0.9502	-0.8132
ENSMUSG00000000216	-0.0335	-0.4418	-0.5173	0.5085	0.4770	0.1972
ENSMUSG00000000253	0.3241	0.2110	-0.4238	-0.3195	-0.0788	-0.3178
ENSMUSG00000000263	-0.0864	-0.4199	0.1334	0.3618	-0.3676	-0.7250
ENSMUSG00000000275	-0.2374	-0.4593	-0.2567	-0.3045	-0.1210	-0.0387
ENSMUSG00000000276	-0.0312	-0.4556	-0.1292	0.1339	-0.2905	-0.1490
ENSMUSG00000000290	0.2757	0.1944	-0.0022	0.6898	-0.1456	-0.1970
ENSMUSG00000000295	-0.9759	0.1118	0.0347	0.1928	0.3456	0.4343
ENSMUSG00000000301	-0.2309	-0.4037	0.5966	-0.2542	0.6532	-0.0904
ENSMUSG00000000303	-0.0126	0.0783	-0.1685	0.1446	-0.0218	0.3027
ENSMUSG00000000305	0.3628	0.7738	-0.2313	-0.8884	-0.5490	0.3719
ENSMUSG00000000308	-0.2221	-0.2050	0.2127	0.0589	0.0915	0.2433
ENSMUSG00000000320	-0.0242	-0.3876	0.1590	-0.6099	0.2135	-0.1065
ENSMUSG00000000326	0.3926	0.4039	0.2106	-0.6447	-0.3341	0.0939
ENSMUSG00000000340	-0.5209	0.4834	0.3427	0.4183	-0.2448	0.1175
ENSMUSG00000000378	0.3354	-0.2612	-0.4749	-0.1818	0.2820	-0.0914
ENSMUSG00000000381	0.4223	-0.4745	-0.2977	-0.0535	0.3421	0.2855
ENSMUSG00000000385	0.5017	0.1337	0.1733	0.0377	-0.1784	0.1633
ENSMUSG00000000394	-0.4112	-0.1333	0.0998	0.0240	0.1880	-0.6071
ENSMUSG00000000399	0.0583	-0.0319	-0.2502	0.2004	0.2641	-0.4908
ENSMUSG00000000409	0.9986	0.0910	0.0706	-0.2930	0.6485	0.5334
ENSMUSG00000000420	0.0513	0.0999	0.0178	-0.1942	-0.3248	0.2906
ENSMUSG00000000435	0.0978	-0.0010	0.0459	0.1448	-0.1316	0.1663
ENSMUSG00000000440	-0.0859	-0.0224	-0.7764	-0.2661	0.1551	-0.0115
ENSMUSG00000000441	0.1814	-0.1770	-0.3402	-0.1812	-0.1514	-0.0609
ENSMUSG00000000486	-0.5544	-0.7288	-0.1562	-0.1791	0.2203	-0.1410
ENSMUSG00000000489	0.0447	-0.9895	-1.0782	-0.5371	-1.3666	-1.0835
ENSMUSG00000000530	-0.3672	0.0447	0.5785	0.1654	0.5130	0.4065
ENSMUSG00000000532	-0.1157	-0.2749	0.2108	1.1039	-0.2005	0.1558
ENSMUSG00000000552	-0.2342	0.1029	-0.1135	-0.1763	-0.6611	0.0463
ENSMUSG00000000555	-0.0666	-0.0871	-0.4071	0.0642	0.4182	-0.6205
