#compound	T00h	T02h	T06h	T12h	T18h	T24h
Water	0.2310	0.0099	-0.4705	0.1560	-0.1098	-0.1694
Adenosine 5'-triphosphate	-0.6072	0.0994	-0.0418	-0.0913	0.3175	0.1830
Nicotinamide adenine dinucleotide	-0.0390	0.0385	0.3484	-0.2048	-0.1295	-0.2046
Reduced nicotinamide adenine dinucleotide	-0.3416	-0.6277	-0.2340	-0.6180	-0.2990	0.2084
NADPH	-0.2882	0.2960	0.2579	-0.4589	-0.1411	0.2589
Nicotinamide adenine dinucleotide phosphate	0.5509	0.0940	-0.2070	0.3983	0.3568	-0.4271
Oxygen	-0.2530	0.4541	-0.3217	-0.7030	0.4663	-0.1680
Adenosine 5'-diphosphate	0.4309	-0.0566	-0.3709	-0.6218	0.3344	0.7949
Orthophosphate	1.4568	1.5731	2.0243	2.1496	1.9172	2.4026
Coenzyme A	0.0567	0.0743	-0.2230	0.1949	-0.7867	-0.0882
Carbon dioxide	0.4328	-0.0978	-0.4242	-0.0505	-0.1713	-0.4177
Peptide	-0.3355	0.3442	0.1785	0.2201	-0.3614	0.3393
Diphosphate	-0.2092	0.5266	-0.1667	-0.1087	0.1284	0.1481
Ammonia	0.4569	0.5300	0.7427	1.6743	0.5491	1.0168
Uridine 5'-diphosphate	-0.4106	-1.0836	-0.6006	-1.2371	-0.9828	-1.5264
Flavin adenine dinucleotide	-0.2801	0.5843	0.0998	0.2336	-0.0589	-0.1695
Protein	-0.1170	-0.2558	-0.2509	-0.3790	-0.3706	-0.4415
Pyridoxal phosphate	0.3858	-0.3908	0.1766	-0.0530	0.4058	0.1731
S-Adenosyl-L-methionine	0.0361	-0.5553	-0.0225	0.0471	-0.0690	0.3241
Adenosine 5'-monophosphate	-0.4865	0.3724	0.1106	-0.2058	0.2097	-0.2178
S-Adenosyl-L-homocysteine	-0.5522	-0.4048	-0.1100	0.1820	-0.4010	-0.4289
Pyruvate	-0.1803	0.5229	-0.4843	0.6083	-0.2305	-0.2964
Acetyl-CoA	-0.4887	-0.0218	-0.4322	-0.0779	-0.5843	0.4266
L-Glutamate	-0.5471	0.3437	-0.0026	0.2481	-0.1011	-0.2956
Oxoglutaric acid	0.4305	0.0161	0.3374	0.0905	-0.1938	-0.2204
Hydrogen peroxide	0.0187	0.2248	-0.2648	0.0491	-0.3387	0.5708
UDP-glucose	0.4247	-0.5352	0.0812	-0.2728	0.0475	-0.1209
D-Glucose	-0.0703	0.1749	-0.1200	-0.1279	-0.0221	0.0942
Protoheme	0.3018	-0.0747	0.1697	0.4237	-0.2048	-0.0724
Acetate	-0.0316	-0.2898	-0.9357	-0.0231	-0.4618	-0.1930
Manganese	0.3611	-0.0847	0.0116	-0.2842	0.4366	0.5536
Guanosine 5'-diphosphate	0.4030	-0.1400	-0.1959	0.3572	-0.0226	0.2958
Oxaloacetate	0.1498	0.1780	-0.0599	0.0833	0.2729	-0.2317
Glycine	-0.0103	-0.5719	-0.2373	-0.1102	-0.3656	-0.5870
Zinc cation	-0.2404	0.0214	0.0622	0.1300	0.1049	0.4988
Deoxyribonucleic acid	-0.4338	0.1948	-0.1831	0.4773	0.1543	0.5180
Acyl-CoA	-0.1786	0.0714	0.1998	-0.3059	-0.3400	-0.3856
L-Alanine	-0.0323	0.2072	0.1694	-0.2573	0.1274	-0.0682
Succinate	-0.0478	0.1397	0.0633	0.2836	0.1007	0.2832
UDP-N-acetyl-alpha-D-glucosamine	0.1649	-0.1546	-0.1451	-0.0990	-0.4251	0.0535
Guanosine 5'-triphosphate	-0.3884	-0.0565	-0.5001	0.4269	0.0289	-0.1133
Ribonucleic acid	-0.2425	-0.0636	0.1083	0.1029	0.0427	0.1549
L-Lysine	0.2168	0.1530	0.2314	0.3199	0.6028	0.0996
Glyoxylate	0.3470	-0.0024	-0.3126	-0.2499	-0.3896	-0.3499
L-Aspartate	-0.0966	-0.0092	0.2749	-0.3746	0.2251	-0.2478
Glutathione	-0.3542	0.2301	0.0174	0.2176	0.7423	-0.3871
UDP-alpha-D-galactose	-0.0608	-0.4323	-0.6432	-0.9750	-0.1676	-2.0612
Phosphoadenosine phosphate	0.0300	0.3230	-0.5453	-0.2164	-0.5687	-0.1173
Cytidine-5'-monophosphate	0.2681	0.0405	0.4513	0.0962	0.5328	0.2158
Formate	0.4385	-0.1293	-0.6274	0.0894	0.3868	-0.2423
Sulfate	1.5909	1.4392	2.1153	1.9436	2.5245	2.7739
Riboflavin-5-phosphate	0.5335	0.0163	0.2327	0.3322	1.0284	0.1133
L-Arginine	0.0710	-0.4506	-0.3277	0.3316	0.3798	0.2926
Cytidine 5'-triphosphate	0.1762	0.1687	0.0561	0.4142	-0.5545	0.1961
L-Glutamine	0.3479	-0.2051	0.2044	0.3508	-0.5622	-0.1561
L-Serine	-0.3361	-0.4012	-0.2550	0.1803	-0.1284	0.3583
Formaldehyde	0.5965	0.3013	0.0126	0.1516	0.0267	-0.2338
Thiamin diphosphate	-0.1155	0.2055	0.0650	-0.0132	0.4609	-0.0111
Copper	0.1118	0.2878	-0.0896	0.0002	0.4928	0.5650
Aldehyde	1.2823	0.6180	0.7050	1.2361	0.9784	1.1692
Ascorbate	0.2461	-0.2155	-0.2350	-0.0460	-0.2944	-0.4376
L-Methionine	0.3229	-0.0031	-0.0866	-0.4991	-0.0130	-0.1866
Phosphoenolpyruvate	-0.0153	-0.1425	-0.0655	-0.2367	0.2001	0.0968
