#compound	T00h	T02h	T06h	T12h	T18h	T24h
C00001	0.0495	-0.0285	0.2874	0.6674	0.2531	-0.1246
C00002	0.5719	0.0443	0.1691	0.1651	0.1775	-0.3828
C00003	0.2032	-0.1719	0.3719	0.1316	0.1532	0.1609
C00004	-0.0434	0.2564	0.1667	0.1000	-0.0807	-0.5524
C00005	-0.3941	0.1004	0.6260	-0.2309	-0.2344	0.0507
C00006	-0.1969	-0.2502	-0.5141	-0.0729	-0.0673	-0.3149
C00007	-0.2490	-0.3012	-0.1543	-0.2187	0.5534	0.2265
C00008	0.5592	0.2535	-0.5738	0.7686	-0.3439	0.0442
C00009	0.9080	-0.0204	-0.1669	-0.3823	0.4127	-0.2010
C00010	-0.0746	-0.3090	-0.0753	0.4976	0.0721	-0.3871
C00011	-0.0999	-0.2432	-0.3544	0.1004	-0.2009	0.5886
C00012	0.2667	0.2336	-0.6878	-0.3228	-0.8995	0.3549
C00013	0.0648	0.2839	0.0844	-0.2414	-0.1486	0.0045
C00014	0.0282	-0.0729	0.2169	-0.0613	-0.0923	0.8040
C00015	0.0886	0.3471	0.4103	-0.1648	-0.2823	-0.1066
C00016	-0.2613	-0.6790	0.0975	0.1436	-0.5027	-0.2519
C00017	-0.5105	0.2176	-0.3080	-0.1292	0.8654	0.1699
C00018	-0.3583	-0.7060	0.4193	-0.1743	0.7177	-0.3907
C00019	0.0704	-0.4563	0.3369	0.4083	0.1557	-0.2600
C00020	0.3785	0.2007	-0.3013	-0.1687	-0.6693	0.1312
C00021	0.0409	-0.5321	0.2341	-0.4028	0.2869	-0.4441
C00022	-0.0050	-0.0172	-0.1239	-0.0839	0.2916	0.2946
C00023	-0.1387	-0.0120	-0.2141	0.0954	-0.3847	0.3474
C00024	-0.0183	0.7164	-0.3124	0.1510	-0.4172	0.3120
C00025	0.6102	-0.7854	0.6400	0.5924	-0.5062	0.2298
C00026	-0.3201	0.4953	-0.0009	-0.1860	-0.1268	-0.2133
C00027	0.0735	-0.1667	0.3240	0.2164	-0.0833	-0.1045
C00029	0.4198	-0.0939	0.4943	0.4578	0.3117	0.0547
C00031	0.0362	0.2079	0.0434	-0.2870	0.0581	-0.1465
C00032	0.6268	1.0724	1.5127	2.0889	2.1320	2.9275
C00033	-0.4303	-0.3047	-0.6949	0.1056	0.2610	0.3991
C00034	0.9571	1.2502	1.9062	2.4621	2.0098	2.3262
C00035	0.4606	0.1872	-0.0530	-0.1191	-0.3815	-0.1714
C00036	0.0532	0.1586	0.3543	0.1786	-0.3322	-0.0706
C00037	-0.0551	0.3294	-0.1462	-0.3374	0.3606	0.2789
C00038	-0.2378	-0.7141	0.1290	-0.3995	0.2496	-0.8276
C00039	0.0274	0.1055	-0.0223	-0.1024	-0.0628	-0.1116
C00040	-0.2618	0.0675	0.2729	-0.1814	-0.0759	0.1748
C00041	0.6825	0.8407	0.6215	1.0643	1.2977	1.2636
C00042	-0.9495	0.0565	0.1001	-0.3936	-0.2231	-0.3433
C00043	0.2320	0.2300	-0.1806	0.0340	-0.3691	0.2096
C00044	-0.1821	0.0223	-0.4004	0.2923	-0.2026	-0.0492
C00046	0.1439	0.0736	0.0579	0.0844	0.3248	0.1350
C00047	-0.3524	0.0869	0.2710	0.1901	0.2911	0.5882
C00048	0.5092	1.2242	1.3225	1.3601	1.6455	0.5302
C00049	0.6065	0.8809	0.7080	1.1042	1.0740	0.8126
C00051	-0.1786	-0.0056	0.3718	0.2447	0.2495	-0.1497
C00052	0.1553	0.0949	0.0573	-0.1026	-0.2654	-0.2363
C00053	-0.5284	0.5141	0.4484	-0.0132	0.0712	-0.5494
C00054	-0.0363	-0.0560	0.5262	-0.3156	0.0903	-0.3500
C00055	0.6984	0.7171	0.2089	0.6272	1.0781	1.4286
C00058	-0.0292	-0.3261	-0.2992	-0.1651	0.2572	-0.2884
C00059	1.3526	1.2486	1.3960	2.1374	2.0043	2.6165
C00061	-0.5956	-0.2066	-0.1864	-0.4529	0.4508	-0.0002
C00062	-0.0680	-0.3075	-0.5588	0.0082	0.1714	-0.1495
C00063	0.0721	0.3872	-0.1850	0.0112	-0.4117	0.0840
C00064	0.3996	0.4951	0.1995	-0.0671	-0.2479	-0.6020
C00065	0.0278	0.1573	0.6530	-0.0695	-0.3763	0.0322
C00067	0.3254	-0.0747	-0.0228	-0.0226	0.1908	0.0318
C00068	-0.3549	0.4694	-0.6561	-0.1563	0.1057	0.2523
C00070	1.3116	1.4712	1.7422	1.8051	2.3719	2.5908
C00071	0.4212	0.1202	0.0708	0.4846	0.5338	-0.2627
C00072	0.0913	-0.4455	-0.0819	0.0366	0.3443	0.4653
C00073	-0.4561	-0.0386	0.4917	0.2136	0.1600	0.0501
C00074	-0.4020	0.1579	-0.5902	0.2183	0.1788	-0.2570
C00075	0.2215	0.0839	0.1602	-0.6989	0.3769	0.2001
C00076	-0.1226	-0.3251	-0.1068	-0.2446	-0.4504	0.1690
C00077	0.2103	0.5531	-0.0196	-0.0021	-0.5736	-0.8947
C00078	0.3760	-0.1824	0.0926	-0.1957	-0.1634	-0.0550
C00079	0.7696	0.1051	0.0560	0.2559	-0.6163	0.4871
C00080	-0.1944	-0.3355	0.1341	0.1234	0.1110	-0.0921
C00081	-0.4989	0.4421	0.2246	0.0811	-0.4467	-0.0787
C00082	0.4218	0.7408	0.8798	0.8259	1.2190	1.0784
C00083	-0.7038	-1.0429	-1.2001	-1.4319	-0.5970	-1.3942
C00084	-0.4395	0.2364	0.1909	-0.2139	0.2782	0.4883
C00085	0.4125	-0.1919	-0.2783	0.1084	0.1167	0.0108
C00086	-0.4275	0.1353	-0.1364	-0.1241	0.3817	-0.0709
C00087	0.4851	0.0478	-0.7218	-0.0047	-0.3405	0.3497
C00088	-1.8046	-1.2625	-2.4579	-2.4490	-1.8202	-2.6958
C00089	1.6580	1.7512	1.9793	1.9950	1.7449	2.3382
C00090	0.6042	-0.4863	-0.0989	-0.0490	0.2296	0.3340
C00091	-0.1082	-0.1153	-0.1249	0.3088	0.0055	0.1608
C00092	-0.0155	-0.1899	-0.2214	-0.2899	-0.0248	-0.5377
C00093	1.6727	1.0256	1.9139	1.9871	2.1633	2.5139
C00094	-0.0092	-0.5703	0.1749	-0.0019	0.4201	-0.4827
C00095	-0.3641	-0.0936	0.0163	-0.0198	-0.1114	-0.1762
C00096	-0.4573	0.2093	-0.1808	-0.1618	-0.0499	0.0655
C00097	0.4795	-0.4953	-0.3431	0.4299	0.1414	0.1253
C00098	1.6232	1.2072	1.5203	2.2504	1.4563	2.6265
C00099	0.4788	0.3097	0.1528	-0.0618	0.7467	0.1318
C00100	0.6292	-0.1018	0.1014	-0.6051	-0.4886	0.2302
C00101	0.3322	-0.2854	0.0304	-0.0039	-0.6842	0.3256
C00103	-0.3926	-0.3253	-0.3705	-0.2333	-0.2859	-0.0771
C00104	0.5177	-0.2682	0.5171	-0.4484	0.3295	0.6619
C00105	0.0722	0.2003	-0.1701	-0.6953	0.5536	-0.2238
C00106	0.1204	0.0451	0.7849	0.8243	0.5431	-0.2149
C00107	1.3036	1.3321	1.4782	1.8985	2.1753	2.0154
C00108	-0.0457	0.1404	0.1579	0.4587	-0.3621	0.0254
C00109	-0.1456	-0.1490	-0.3311	-0.2542	-0.2898	-0.0266
C00110	0.0807	0.5020	-0.0600	-0.0850	0.2230	-0.2228
C00111	0.5452	-0.1686	0.3393	-0.4148	0.2073	0.3597
C00112	-0.1558	0.9035	-0.1059	0.2270	-0.1834	-0.3182
C00114	0.0007	0.0102	0.0563	-0.0006	-0.0068	0.6895
C00116	0.0483	-0.4603	0.2300	-0.2447	-0.3959	-0.0483
C00117	-0.0611	0.3527	-0.0681	-0.1444	0.0892	0.0753
C00118	-0.1046	-0.4909	0.3996	-0.0302	-0.1302	0.2442
C00119	-0.0790	-0.1653	0.8244	-0.2390	0.0827	0.1510
C00120	0.7846	1.5773	1.0956	2.1544	2.1595	2.9302
C00121	0.0803	-0.0135	-0.2487	0.4787	-0.2341	0.0335
C00122	-0.2243	0.5477	-0.1382	-0.2626	0.1839	-0.1419
C00123	-0.0856	0.3140	-0.3050	-0.1983	-0.5624	-0.1368
C00124	0.3734	0.4198	0.1262	0.1953	-0.5973	-0.0090
C00127	0.7994	0.8542	0.9634	1.0784	1.1450	1.6436
C00128	-1.2614	-1.7100	-1.1567	-1.9398	-1.8143	-2.7748
C00129	0.3074	-0.3489	-0.3641	0.0521	0.4911	-0.5110
C00130	-0.6156	-0.6291	-0.0645	0.0559	0.6372	0.0745
C00131	0.7829	-0.7417	-0.0170	-0.0114	0.3180	0.1481
C00132	-0.2391	0.1447	-0.1944	0.5689	0.2003	-0.6458
C00133	0.4411	-0.2973	-0.1566	-0.1578	-0.6449	-0.7303
C00134	-0.2252	-0.4987	0.3105	0.0108	-0.1221	-0.2893
C00135	-0.2504	0.3858	0.3162	0.5271	0.3157	-0.4660
C00136	-0.1296	-0.0346	0.5826	0.0835	-0.1399	0.0606
C00137	-0.1065	0.4134	0.1121	-0.7255	-0.2756	-0.2413
C00140	-0.9655	-1.5195	-2.0662	-2.8099	-2.1782	-2.1246
