#geneID:::miRNA	T00h	T02h	T06h	T12h	T18h	T24h
ENSMUSG00000000125:::mmu-miR-100-5p	-0.3082	0.5693	0.2811	-0.0635	-0.0917	0.9388
ENSMUSG00000000381:::mmu-miR-101-5p	-0.3707	-0.5693	-0.6789	-1.4833	-0.8109	-1.5358
ENSMUSG00000000579:::mmu-miR-102-5p	-0.4571	-0.1374	0.1932	-0.1520	-0.7960	0.0825
ENSMUSG00000000594:::mmu-miR-103-5p	1.0928	1.5734	1.5473	1.5765	2.1023	2.1958
ENSMUSG00000000791:::mmu-miR-104-5p	0.0779	-0.0093	0.3685	0.2242	-0.1436	-0.0588
ENSMUSG00000000876:::mmu-miR-105-5p	-0.1776	0.0351	0.0990	-0.0139	-0.1025	0.0012
ENSMUSG00000000889:::mmu-miR-106-5p	0.0810	0.1416	0.3289	0.3436	0.1882	-0.1025
ENSMUSG00000000938:::mmu-miR-107-5p	-0.8480	-0.0460	-0.0106	0.1098	0.2249	0.1154
ENSMUSG00000000982:::mmu-miR-108-5p	0.1148	-0.2052	0.2462	0.0590	-0.2530	-0.2785
ENSMUSG00000001023:::mmu-miR-109-5p	0.1086	0.3785	-0.6029	-0.6294	0.9832	-0.0378
ENSMUSG00000001506:::mmu-miR-110-5p	-0.4578	0.2189	-0.6440	0.4025	0.1976	-0.4603
ENSMUSG00000001663:::mmu-miR-111-5p	0.1403	-0.3889	0.7384	0.3047	0.7488	-0.1890
ENSMUSG00000002014:::mmu-miR-112-5p	0.1294	1.1502	-0.1568	0.1747	0.6255	-0.2988
ENSMUSG00000002033:::mmu-miR-113-5p	0.6663	-0.2728	0.0576	-0.4010	0.0099	0.0833
ENSMUSG00000002249:::mmu-miR-114-5p	0.1528	-0.1126	-0.0863	-0.3324	0.3643	-0.2292
ENSMUSG00000002489:::mmu-miR-115-5p	0.5419	-1.0012	-0.5672	-0.3634	0.3347	-0.2925
ENSMUSG00000002603:::mmu-miR-116-5p	0.7993	-0.1862	-0.0022	-0.1034	-0.0342	-0.1923
ENSMUSG00000002748:::mmu-miR-117-5p	0.4487	-0.7127	0.3389	0.1683	-0.0198	-0.0814
ENSMUSG00000002771:::mmu-miR-118-5p	-0.3126	0.2954	-0.0256	-0.1893	0.1539	0.0134
ENSMUSG00000002983:::mmu-miR-119-5p	-0.5720	-0.1840	0.7086	0.6100	0.4184	-0.0317
ENSMUSG00000003233:::mmu-miR-120-5p	-0.1848	0.2107	0.0880	-0.1545	0.0825	-0.0402
ENSMUSG00000003500:::mmu-miR-121-5p	0.2539	-0.2313	0.3811	0.1621	-0.7879	-0.0804
ENSMUSG00000003545:::mmu-miR-122-5p	-0.0565	0.0580	0.5849	0.1042	0.7561	0.0938
ENSMUSG00000003575:::mmu-miR-123-5p	0.1785	0.7254	-0.3242	0.3422	-0.3503	-0.0705
ENSMUSG00000003779:::mmu-miR-124-5p	-0.1960	-0.1337	0.4156	-0.0999	-0.6220	-0.1473
ENSMUSG00000003808:::mmu-miR-125-5p	-0.3831	-0.6503	-1.3565	-1.3682	-1.3820	-1.7097
ENSMUSG00000003849:::mmu-miR-126-5p	-0.1671	-0.2216	-0.1701	-0.1933	0.3766	0.2365
ENSMUSG00000004032:::mmu-miR-127-5p	-0.0281	-0.9141	-0.1766	0.1137	-0.3102	-0.5474
ENSMUSG00000004035:::mmu-miR-128-5p	0.7513	0.5854	0.0940	0.1021	-0.1246	-0.4005
ENSMUSG00000004069:::mmu-miR-129-5p	0.2174	-0.1459	-0.4974	-0.0494	-0.2239	0.0661
ENSMUSG00000004070:::mmu-miR-130-5p	-0.2644	-0.2497	0.3909	-0.0531	0.1321	0.2644
ENSMUSG00000004347:::mmu-miR-131-5p	-0.2453	0.0217	0.1433	-0.1605	-0.0358	-0.2292
ENSMUSG00000004591:::mmu-miR-132-5p	0.3074	-0.8828	0.3578	-0.2017	0.2285	-0.3446
ENSMUSG00000004771:::mmu-miR-133-5p	-0.5712	-0.2084	-0.3204	0.0229	-0.4300	0.1860
ENSMUSG00000004880:::mmu-miR-134-5p	0.0723	-0.3757	0.2517	-0.1587	0.3323	-0.3727
ENSMUSG00000005198:::mmu-miR-135-5p	-0.3277	0.0498	0.1127	-0.0788	-0.1613	0.1386
ENSMUSG00000005338:::mmu-miR-136-5p	-0.3230	-0.4321	0.2547	-0.2682	0.7329	0.3926
ENSMUSG00000005469:::mmu-miR-137-5p	0.5084	-0.3437	0.3930	0.0037	-0.8127	-0.0540
ENSMUSG00000005667:::mmu-miR-138-5p	0.3469	-0.1942	0.5205	0.0571	0.3350	-0.5539
ENSMUSG00000005681:::mmu-miR-139-5p	-0.5817	-0.9350	-0.6691	-1.0706	-1.0465	-1.8327
ENSMUSG00000005947:::mmu-miR-140-5p	0.5524	-0.3740	-0.4238	0.7153	0.1285	0.2372
ENSMUSG00000005958:::mmu-miR-141-5p	0.1502	0.2068	-0.0684	-0.6223	0.2810	0.2077
ENSMUSG00000005981:::mmu-miR-142-5p	-0.3205	0.3303	-0.6285	-0.0602	-0.0883	0.4807
ENSMUSG00000006390:::mmu-miR-143-5p	-0.4636	-1.6247	-1.6147	-0.8627	-1.3761	-1.3776
ENSMUSG00000006585:::mmu-miR-144-5p	-0.2033	-1.8903	-0.3557	-0.9197	-0.7689	-1.5931
ENSMUSG00000006740:::mmu-miR-145-5p	-0.3257	-0.5951	0.0901	0.3015	0.0097	-0.3622
ENSMUSG00000007338:::mmu-miR-146-5p	-0.2915	-0.0646	-0.2485	0.5295	0.1491	0.2228
ENSMUSG00000007783:::mmu-miR-147-5p	-0.2154	0.1424	-0.1675	0.4451	-0.0244	-0.4276
ENSMUSG00000008822:::mmu-miR-148-5p	-0.1148	0.7478	-0.7774	0.0991	-0.1907	-0.2904
ENSMUSG00000009092:::mmu-miR-149-5p	0.1141	-0.1497	0.2791	0.2042	0.1447	-0.1163
ENSMUSG00000009112:::mmu-miR-150-5p	0.1105	-0.0897	-1.1510	-0.2870	-0.6669	-0.3078
ENSMUSG00000009185:::mmu-miR-151-5p	0.8286	0.5540	-0.1157	0.1289	0.2387	0.2968
ENSMUSG00000009549:::mmu-miR-152-5p	0.2956	0.4965	0.3782	-0.4062	0.0357	-0.1271
ENSMUSG00000009900:::mmu-miR-153-5p	0.0516	-0.0466	-0.3803	0.4288	-0.2895	-0.2392
ENSMUSG00000010529:::mmu-miR-154-5p	-0.9044	0.0983	-0.4874	-0.2663	0.2612	0.5178
ENSMUSG00000011752:::mmu-miR-155-5p	0.0564	-0.0050	0.1550	0.2232	0.1812	-0.3413
ENSMUSG00000012535:::mmu-miR-156-5p	-0.1989	0.0813	0.3781	-0.7386	0.4113	-0.0864
ENSMUSG00000013415:::mmu-miR-157-5p	-0.4908	0.2503	0.1502	0.1931	0.1336	0.2218
ENSMUSG00000013936:::mmu-miR-158-5p	0.8294	-0.1293	0.5972	0.6353	-0.1813	0.2478
ENSMUSG00000014349:::mmu-miR-159-5p	0.2367	0.3807	0.4518	1.2738	1.5195	1.6863
