#geneID	T00h	T02h	T06h	T12h	T18h	T24h
ENSMUSG00000000126	-0.2709	-0.3708	0.1547	-0.5645	0.0753	0.0245
ENSMUSG00000000131	0.6760	0.4741	-0.0454	-0.4906	-0.4019	-0.1760
ENSMUSG00000000149	-0.3597	0.4745	-0.0209	-0.4406	0.2042	-0.2353
ENSMUSG00000000168	-0.3463	-0.5170	-0.5236	-0.3524	0.1533	-0.2904
ENSMUSG00000000171	-1.0339	0.3168	0.0727	-0.2404	-0.4340	0.3256
ENSMUSG00000000182	-0.0518	0.0878	0.8697	-0.6098	-0.0253	0.6351
ENSMUSG00000000253	-0.0179	0.6969	-0.0554	-0.2166	0.1570	-0.0982
ENSMUSG00000000263	0.0705	0.2259	0.1886	0.3659	-0.3768	-0.5130
ENSMUSG00000000276	-0.0904	-0.1177	-0.5287	0.2498	-1.0863	-0.0959
ENSMUSG00000000301	0.1771	-0.2576	-0.2853	-0.5703	0.3403	-0.7086
ENSMUSG00000000303	0.5661	-0.1811	-0.0633	-0.4918	-0.1506	0.3616
ENSMUSG00000000308	-0.3321	0.2076	0.1016	-0.6096	0.5811	0.2981
ENSMUSG00000000326	-0.1667	-0.1983	0.0658	-0.0443	-0.3550	0.1368
ENSMUSG00000000340	-0.7350	-0.1347	-0.0542	0.1457	-0.5693	-0.0663
ENSMUSG00000000378	0.0317	0.2925	-0.1472	0.2997	0.3848	-0.1484
ENSMUSG00000000381	-0.7277	-0.0588	0.0353	0.1782	0.1707	-0.1348
ENSMUSG00000000409	0.6387	1.0915	0.1055	0.1521	0.3187	-0.4555
ENSMUSG00000000486	0.4477	0.0713	-0.4055	-0.4050	0.0297	0.0134
ENSMUSG00000000563	-0.1738	0.2474	0.4015	0.7014	0.6774	-0.0532
ENSMUSG00000000617	-0.1124	-0.3358	-0.1805	0.2040	0.1692	0.2673
ENSMUSG00000000628	-0.2966	0.7438	-0.1836	0.0816	0.2828	0.3296
ENSMUSG00000000631	-0.2797	-0.1005	0.0072	0.2793	0.2126	0.0615
ENSMUSG00000000711	0.4152	0.0392	-0.3315	0.6853	1.0536	0.3601
ENSMUSG00000000766	-0.8398	-0.2917	0.5819	-0.0050	-0.5201	-0.1494
ENSMUSG00000000791	0.0030	-0.0601	-0.5393	0.0183	-0.4825	-0.4519
