#geneID	T00h	T02h	T06h	T12h	T18h	T24h
ENSMUSG00000000131	0.0203	-0.0785	-0.6637	0.3948	0.2733	0.2261
ENSMUSG00000000409	0.0002	0.2040	-0.1755	-0.3662	-0.2258	0.0415
ENSMUSG00000000562	-0.0745	0.3822	-0.5093	0.6748	-0.1466	-0.3780
ENSMUSG00000000753	-0.5731	0.3771	0.1751	-0.0112	0.4101	-0.8663
ENSMUSG00000000826	0.0121	0.0686	0.4556	-0.9249	-0.2028	0.0299
ENSMUSG00000000958	0.0016	-0.5473	-0.1711	-0.1123	0.0359	0.2327
ENSMUSG00000001300	-0.3776	0.2864	-0.4447	0.4956	0.8688	-0.1666
ENSMUSG00000001419	0.3238	-0.2817	-0.6435	0.0478	0.4721	0.3644
ENSMUSG00000001508	0.1785	0.5835	0.2005	0.5947	-0.2358	-0.3323
ENSMUSG00000001525	-0.2998	-0.1228	-0.3903	-0.4380	0.4537	-0.7088
ENSMUSG00000001542	0.5147	0.1118	-0.4810	0.0094	0.1281	0.1013
ENSMUSG00000002014	-0.2410	-0.2448	0.5079	-0.2401	-0.3695	-0.0897
ENSMUSG00000002068	0.3717	0.1810	-0.6499	-0.2944	-0.3558	0.1747
ENSMUSG00000002204	-0.1880	0.2907	-0.7442	0.0864	-0.1197	0.0109
ENSMUSG00000002325	-0.0996	-0.3139	-0.4830	-0.7943	-0.2475	0.1111
ENSMUSG00000002477	-0.3937	0.2727	0.0672	0.1224	-0.0799	-0.2339
ENSMUSG00000002658	0.5855	0.3567	0.5094	-0.1632	0.2791	0.2365
ENSMUSG00000002930	-0.4443	-0.1236	-0.0247	0.0662	0.3536	0.2721
ENSMUSG00000003031	-0.1183	-0.1744	-0.1686	0.0399	-0.4652	-0.2517
ENSMUSG00000003037	-0.7844	-0.2496	-0.1757	-0.2384	0.2711	0.2195
ENSMUSG00000003123	0.3793	0.3026	-0.2793	0.4762	-0.3779	0.4250
ENSMUSG00000003184	-0.3224	-0.5705	-0.1910	-0.4952	0.7554	-0.4919
ENSMUSG00000003226	0.4649	-0.0852	-0.6228	0.3127	0.0105	-0.4506
ENSMUSG00000003279	-0.3899	-0.1335	0.0109	0.0233	-0.1357	0.0941
ENSMUSG00000003283	-0.3337	0.0313	-0.0288	0.5125	0.1808	-0.1402
ENSMUSG00000003299	0.0469	0.0507	-0.7469	0.1481	-0.0659	0.6156
ENSMUSG00000003435	0.3906	0.0820	-0.0409	0.3289	-0.4441	-0.0950
ENSMUSG00000003778	-0.1216	-0.0028	-0.2104	0.3471	0.0899	-0.3000
ENSMUSG00000003848	0.4656	0.1022	-0.0240	-0.0688	0.5913	0.2256
ENSMUSG00000003863	-0.4006	-0.5411	-0.1083	0.1490	0.0366	-0.1747
ENSMUSG00000004099	-0.6106	-0.0158	-0.2405	0.5388	0.4980	-0.2287
ENSMUSG00000004187	-0.0492	-0.1665	0.6282	0.1738	0.1420	0.4336
ENSMUSG00000004221	-0.8090	0.1619	0.2250	-0.0738	-0.2273	-0.4016
ENSMUSG00000004347	0.0425	0.2060	0.3899	0.3779	0.0360	0.0788
ENSMUSG00000004415	0.2547	0.2144	0.1012	-0.1363	-0.0198	-0.6063
ENSMUSG00000004446	0.1869	-0.3081	0.6513	-0.0581	0.7531	-0.1278
ENSMUSG00000004609	0.1912	-0.3721	-0.1956	0.1199	0.2952	0.0531
ENSMUSG00000004677	0.3805	-0.0038	0.0227	-0.4641	0.4242	0.0062
ENSMUSG00000004698	0.4581	0.2158	0.5246	-0.1218	0.6392	-0.2295
ENSMUSG00000004936	0.3187	0.3486	0.0173	-0.4071	0.0985	-0.1541
ENSMUSG00000004937	0.0246	-0.2410	0.3486	0.6468	-0.1662	0.5395
ENSMUSG00000004980	-0.0645	0.0980	-0.1176	0.3914	-0.6598	-0.3111
ENSMUSG00000005262	-0.0922	-0.1308	0.1123	-0.0344	-0.2793	-0.0063
ENSMUSG00000005364	-0.6981	0.1338	-0.5532	-0.3479	0.2865	0.1919
ENSMUSG00000005370	-0.3186	-0.6615	-0.0458	0.2468	-0.1423	-0.9015
ENSMUSG00000005469	0.3011	0.4623	0.2183	0.5284	-0.2444	0.1487
ENSMUSG00000005553	-0.1821	0.2652	0.0888	0.2163	0.3574	0.6751
ENSMUSG00000005580	-0.2437	0.7379	-0.1611	-0.1383	0.0667	0.3646
ENSMUSG00000005583	-0.0627	-0.2633	0.0411	0.2311	0.0767	0.5112
ENSMUSG00000005615	0.2591	0.3601	0.2492	-0.4002	-0.1773	-0.1934
ENSMUSG00000005687	-0.0790	0.5723	0.1436	1.1897	-0.1830	0.0967
ENSMUSG00000005824	-0.2918	0.3543	-0.5580	0.7626	-0.2010	-0.1914
ENSMUSG00000005864	0.2063	-0.8167	-0.0860	-0.2506	0.1247	0.4179
ENSMUSG00000005871	-0.0679	0.0144	-0.3809	0.0423	-0.4796	-0.0552
ENSMUSG00000006134	0.4033	-0.1084	0.7993	0.3047	-0.1876	-0.2589
