#geneID	T00h	T02h	T06h	T12h	T18h	T24h
ENSMUSG00000000127	0.2598	0.0070	-0.0133	0.0186	-0.4775	0.7628
ENSMUSG00000000142	-0.4602	-0.8760	-0.0154	-0.3089	0.0636	0.0075
ENSMUSG00000000168	0.2564	0.0355	-0.3791	0.2891	-0.0806	-0.2471
ENSMUSG00000000171	0.1857	0.0179	-0.0423	0.4337	-0.4274	0.6578
ENSMUSG00000000182	-0.5498	-0.3950	0.2823	0.6747	-0.0300	0.2545
ENSMUSG00000000184	-0.2083	-0.7861	0.0107	0.2836	0.2797	0.1294
ENSMUSG00000000275	-0.0812	-0.0118	0.1964	0.1735	-0.0645	0.5981
ENSMUSG00000000290	-0.3455	0.3454	0.0397	0.1745	-0.0123	-0.4498
ENSMUSG00000000308	-0.2367	0.2571	-0.0813	0.8784	-0.4366	-0.2259
ENSMUSG00000000340	-0.1349	-0.3484	-0.1790	0.0845	-0.0535	0.6543
ENSMUSG00000000394	0.2001	0.6578	-0.8213	0.4282	-0.1566	-0.0252
ENSMUSG00000000555	-0.7395	-0.0168	-0.4320	-0.2730	0.4242	-0.5273
ENSMUSG00000000560	-0.4103	0.7338	-0.4721	0.0767	-0.2855	0.3458
ENSMUSG00000000563	-0.4005	-0.8229	0.1213	-0.1075	-0.1382	-0.0504
ENSMUSG00000000600	-0.1829	0.0873	-0.4373	-0.7997	-0.5461	-0.2996
ENSMUSG00000000731	0.3068	0.1038	0.2182	0.0434	-0.2184	0.4401
ENSMUSG00000000740	-1.6712	-1.5483	-1.9865	-2.0016	-2.9524	-2.7490
ENSMUSG00000000776	-0.0391	-0.2854	0.3136	0.4054	-0.0247	-0.0641
ENSMUSG00000000811	0.4855	-0.2784	-0.0897	-0.2217	0.1861	-0.1362
ENSMUSG00000000817	-0.1542	-0.0545	-0.3700	0.0194	-0.2460	-0.8179
ENSMUSG00000000826	-0.1840	0.7308	0.1603	0.0126	0.5920	-0.2321
ENSMUSG00000000869	-0.0339	-0.1039	0.1036	-0.4149	0.3220	0.0104
ENSMUSG00000000889	-0.0417	-0.4905	0.1603	-0.1908	0.2103	0.0742
ENSMUSG00000001023	-0.3887	-0.7289	0.4152	-0.3058	0.1426	0.4858
ENSMUSG00000001025	0.2251	-0.0710	-0.5864	-0.0270	-0.4894	0.3374
ENSMUSG00000001052	0.0384	-0.2669	-0.1050	-0.1167	0.4013	-0.2893
ENSMUSG00000001127	1.0411	1.0661	1.2362	0.8371	1.0070	1.0919
ENSMUSG00000001175	-0.0896	-0.2780	-0.1868	0.2770	0.4145	-0.1588
ENSMUSG00000001227	-0.0912	0.4652	0.2490	0.1199	-0.0110	-0.0315
ENSMUSG00000001260	0.4639	-0.3651	-0.2747	-0.2017	-0.7123	0.3807
ENSMUSG00000001270	0.1940	-0.3825	0.3062	0.3976	0.0166	0.0174
ENSMUSG00000001300	-0.2959	-0.3677	0.5271	-0.1513	0.2767	0.0706
ENSMUSG00000001380	1.3953	1.4505	1.5963	2.1553	2.4270	1.6372
ENSMUSG00000001415	0.5077	0.0076	0.2434	0.1688	-0.0537	0.1899
ENSMUSG00000001445	1.0285	2.0833	1.1747	2.3883	2.2358	2.3239
ENSMUSG00000001494	-0.0605	-0.0054	-0.5003	0.2623	0.6873	0.0122
ENSMUSG00000001507	0.3013	1.1294	1.0502	1.1878	0.8958	1.2156
ENSMUSG00000001524	-0.0372	-0.4116	-0.0914	-0.3610	0.1930	0.2128
ENSMUSG00000001566	0.0942	-0.5063	0.5956	0.4371	0.2684	-0.0417
ENSMUSG00000001642	-0.2501	-0.2143	0.0494	0.2868	0.4248	0.6363
ENSMUSG00000001739	0.0330	-0.4315	-0.3947	-0.3281	-0.3953	0.5741
ENSMUSG00000001750	-0.2404	0.0258	-0.1416	-0.1017	0.1420	0.2912
ENSMUSG00000001891	-0.0727	0.3317	-0.0596	0.0094	-0.0658	-0.3043
ENSMUSG00000002015	-0.0392	0.4178	-0.1464	0.5964	0.3382	-0.0317
ENSMUSG00000002033	0.0355	0.2395	-0.1030	-0.7114	0.0632	-0.5369
ENSMUSG00000002108	-0.4594	0.0399	-0.1069	0.5791	0.1122	-0.2224
ENSMUSG00000002204	0.2443	-0.0131	-0.3596	-0.1442	0.3104	-0.2573
ENSMUSG00000002308	-0.7819	-1.3297	-2.1528	-1.3493	-2.1956	-3.2884
ENSMUSG00000002326	0.1421	0.0253	0.0455	-0.0812	0.3121	0.4637
ENSMUSG00000002524	-0.2615	0.5536	-0.5569	-0.1241	0.5334	0.2005
ENSMUSG00000002602	0.0471	0.4408	-0.1565	-0.2144	-0.4270	-0.1593
ENSMUSG00000002658	0.1249	-0.6949	-0.1489	-0.4731	-0.1200	0.2085
ENSMUSG00000002767	-1.3969	-1.1496	-1.8054	-1.9576	-2.5970	-2.3798
ENSMUSG00000002771	-0.0924	0.0567	-0.1522	0.2614	-0.0875	-0.3929
ENSMUSG00000002847	-0.4966	-0.8292	0.1509	0.4560	0.5459	0.1852
ENSMUSG00000003072	0.6630	-0.3485	-0.4529	0.2060	0.4575	-0.7602
ENSMUSG00000003235	0.4576	0.2354	-0.2586	-0.8601	0.0821	-0.2797
ENSMUSG00000003309	0.2872	0.1951	-0.1703	0.1765	-0.3107	0.1921
ENSMUSG00000003429	1.2702	1.4175	1.3170	1.9728	2.3982	2.4681
ENSMUSG00000003452	-0.0845	0.1259	-0.4969	0.0547	0.4624	-0.0678
ENSMUSG00000003464	-0.1143	-0.1338	-0.6209	0.2827	0.1951	-0.3157
ENSMUSG00000003526	-0.3197	-0.3015	-0.2907	0.0753	-0.2471	-0.8689
ENSMUSG00000003559	-0.7265	-0.1564	0.3859	-0.3149	0.1253	-0.4311
ENSMUSG00000003660	-0.2955	-0.6696	0.5475	0.3476	-0.0864	-0.4120
ENSMUSG00000003731	-0.2477	-0.2039	0.3839	0.0747	0.2003	-0.2114
ENSMUSG00000003752	0.1561	0.3079	0.0054	-0.0605	0.5441	0.1994
ENSMUSG00000003808	-1.5298	-1.9398	-2.3553	-2.2171	-2.3169	-2.4441
ENSMUSG00000003809	0.3294	0.1862	-0.5698	0.0163	0.1122	-0.2203
ENSMUSG00000003848	-0.0024	0.0972	-0.0691	0.6427	0.7921	-0.1068
ENSMUSG00000003873	0.1990	-0.2520	0.5698	-0.0109	0.5250	-0.0376
ENSMUSG00000003970	-1.3846	-1.2566	-2.0322	-1.9705	-2.3750	-2.9194
ENSMUSG00000004032	0.2945	-0.5128	0.0002	-0.3423	0.4213	0.5113
ENSMUSG00000004056	-0.1235	-0.0290	0.2613	-0.4529	0.1527	0.3512
ENSMUSG00000004233	1.8447	1.7165	1.6327	2.5996	2.2781	2.4400
ENSMUSG00000004341	-0.4575	0.9560	0.1582	0.2094	0.6270	-0.3344
ENSMUSG00000004347	0.0674	0.4128	0.5674	0.2988	-0.2697	-0.0204
ENSMUSG00000004383	-0.5388	-1.8524	-2.3564	-2.2212	-2.2469	-2.1451
ENSMUSG00000004415	0.4234	-0.4012	0.2407	0.0152	0.1461	-0.3019
ENSMUSG00000004446	0.4983	0.0588	0.1090	-0.1236	0.5700	-0.4770
ENSMUSG00000004455	-0.0873	0.1849	0.1073	0.3643	0.1472	-0.5501
ENSMUSG00000004567	0.1935	-0.3057	0.0285	0.9487	0.1258	-0.0059
ENSMUSG00000004609	0.2221	0.1165	-0.0166	0.4790	-0.1374	0.8422
ENSMUSG00000004631	1.1131	0.4224	0.6983	0.6192	1.5895	1.0153
ENSMUSG00000004771	0.5996	-0.2623	0.0362	-0.0785	-0.3120	-0.1253
ENSMUSG00000004846	0.5396	0.2823	-0.4512	-0.6608	0.0669	0.1089
ENSMUSG00000004929	-0.2359	0.6444	0.1293	0.1072	0.2867	-0.0220
ENSMUSG00000004934	0.0132	0.0367	-0.3495	-0.3418	-0.1895	0.0471
ENSMUSG00000005089	1.0288	-0.0122	-0.1830	0.3264	-0.1241	0.3420
ENSMUSG00000005102	0.2467	0.2190	0.6987	-0.4952	0.4662	0.5042
ENSMUSG00000005237	0.4245	0.7270	0.5660	-0.0067	-0.5978	0.4918
ENSMUSG00000005320	0.3460	-0.0851	-0.1079	1.0005	0.2174	0.2746
ENSMUSG00000005354	-0.2082	0.4827	0.5269	-0.7120	0.0285	-0.3719
ENSMUSG00000005357	-0.2966	-0.1017	-0.2680	-0.5063	0.5546	0.2767
ENSMUSG00000005410	0.1127	0.7228	1.0495	1.0840	0.9685	0.6247
ENSMUSG00000005465	-0.0789	-0.4945	-0.4607	0.3522	-0.1111	0.8422
ENSMUSG00000005469	-0.4202	0.1737	-0.0386	0.7735	0.1313	0.4300
ENSMUSG00000005547	0.2772	-0.2044	-0.1412	0.1230	-0.2757	0.6089
ENSMUSG00000005575	-0.6143	0.4798	0.0037	-0.3073	0.1250	0.2887
ENSMUSG00000005683	0.9165	-0.2210	0.0044	0.1879	-0.2338	-0.0093
ENSMUSG00000005779	-0.0521	-0.0009	-0.1119	0.0206	-0.2896	0.3184
ENSMUSG00000005803	-0.5651	0.2758	0.2383	-0.0584	-0.7295	0.0281
ENSMUSG00000005892	-0.0878	-0.2046	0.3784	-0.1667	0.2874	0.0393
ENSMUSG00000005950	0.1215	-0.5317	-0.1533	0.9476	-0.1315	0.1487
ENSMUSG00000006005	0.0631	-0.0237	0.8026	0.6225	0.1786	-0.3943
ENSMUSG00000006056	-0.0783	0.2627	-0.1291	-0.1949	-0.3488	-0.2289
ENSMUSG00000006333	1.4321	1.6698	1.3892	1.8380	2.1098	2.8610
ENSMUSG00000006335	-0.0099	0.0502	-0.7384	-0.1745	0.0756	0.1800
ENSMUSG00000006369	0.0672	-0.6913	-0.3757	-0.2772	-0.0459	0.0673
ENSMUSG00000006398	-0.3710	0.5990	0.3671	0.6894	-0.0391	-0.1412
ENSMUSG00000006517	1.2803	1.6262	2.1093	1.6561	1.8185	3.1321
ENSMUSG00000006585	0.0956	0.6224	-0.3541	0.0953	-0.4132	-0.0982
ENSMUSG00000006641	-0.0501	0.1859	0.2782	0.6964	-0.6337	0.7099
ENSMUSG00000006649	-0.3362	0.4674	-0.6746	-0.0879	-0.0235	-0.1254
ENSMUSG00000006740	0.2483	-0.7662	-0.1599	0.1976	0.0625	0.3722
ENSMUSG00000006777	0.5533	-0.4795	0.7388	-0.1181	0.5713	0.1530
ENSMUSG00000006932	-0.0542	0.1035	-0.7017	-0.1538	0.1837	-0.2787
ENSMUSG00000007029	1.2582	1.6936	2.1872	1.9869	1.8538	3.0931
ENSMUSG00000007033	0.0968	-0.5418	-0.7256	0.4883	-0.1659	-0.0722
ENSMUSG00000007655	0.5167	-0.1475	0.5208	-0.0763	0.5469	-0.3606
ENSMUSG00000007805	0.9360	0.1572	-0.0885	0.4772	0.0772	-0.5979
ENSMUSG00000007880	-0.6824	-0.6839	0.0179	-0.2178	0.0331	0.2687
ENSMUSG00000007892	1.7050	1.7620	1.6955	1.8385	1.5472	2.4543
ENSMUSG00000007908	0.0552	-0.6586	-0.0426	0.0126	-0.6355	-0.1202
ENSMUSG00000008036	-0.3717	-0.3326	-0.2852	-0.0706	0.2139	0.2937
ENSMUSG00000008136	0.3464	-0.8513	-0.2720	-0.3668	-0.2444	-0.4276
ENSMUSG00000008668	1.0472	1.0507	1.5520	1.8605	2.6833	2.7901
ENSMUSG00000008763	0.0075	0.0534	-0.0017	-0.2038	0.4721	0.0346
ENSMUSG00000008859	0.3184	-0.6045	0.3205	-0.1925	0.5274	-0.0266
ENSMUSG00000008932	-0.3759	0.2423	-0.0078	0.2330	-0.2293	-0.1482
ENSMUSG00000009079	-0.4428	0.4185	0.2528	-0.2809	0.6322	0.1049
ENSMUSG00000009292	0.0408	-0.1897	-0.2433	0.2949	0.5095	0.1051
ENSMUSG00000009350	-0.2929	0.6107	-0.3876	-0.0742	0.2525	0.1506
ENSMUSG00000009406	-0.1634	-0.3042	0.3242	-0.1732	0.4482	0.1116
ENSMUSG00000009630	-0.5937	0.2762	-0.0013	0.4130	0.0969	-0.2216
ENSMUSG00000009640	0.2360	-0.3043	-0.1198	-0.3592	0.1708	-0.1184
ENSMUSG00000009927	1.4421	1.8017	1.9507	2.3330	1.6858	2.9592
ENSMUSG00000010025	-0.2943	0.0780	0.3820	-0.1333	0.0785	-0.5781
ENSMUSG00000010064	0.2734	0.4183	0.0779	0.4800	0.0597	0.8178
ENSMUSG00000010066	-0.3452	-0.1250	-0.2931	-0.1794	-0.9206	-0.1120
ENSMUSG00000010406	1.9469	1.1267	0.6853	2.2559	2.2460	2.3552
ENSMUSG00000010660	0.3285	-0.0568	0.1665	0.2759	0.5100	0.2558
ENSMUSG00000010803	-0.6182	0.0785	0.6222	-0.2266	-0.4605	0.3287
ENSMUSG00000011034	0.0696	0.1260	-0.2793	-0.1746	-0.0542	-0.6328
ENSMUSG00000011096	0.3507	0.2142	-0.2807	-0.1010	0.2851	0.1690
ENSMUSG00000012117	-1.3942	-1.7872	-1.4785	-2.6589	-2.5144	-2.9659
ENSMUSG00000012282	0.4192	-0.2032	0.0382	0.5913	0.1357	0.3159
ENSMUSG00000012405	1.1707	2.2976	1.8265	1.8523	2.6804	2.3796
ENSMUSG00000012848	1.0063	1.1066	0.9346	2.1999	2.2698	3.1225
ENSMUSG00000013663	-0.0691	-0.5292	0.1505	-0.0321	0.0568	0.0420
ENSMUSG00000013833	-0.2561	-0.3079	0.0789	-0.4582	0.1035	0.2312
ENSMUSG00000014226	0.2770	-0.1346	-0.1878	0.3846	-0.1114	0.4739
ENSMUSG00000014245	0.3519	-0.0943	-0.2046	-0.2045	-0.5560	0.2172
ENSMUSG00000014361	-0.1859	-0.3727	-0.0550	0.3545	-0.2180	0.1522
ENSMUSG00000014543	-0.6841	-0.3024	-0.1299	-0.2900	0.2087	0.2351
ENSMUSG00000014551	1.3482	1.2128	1.7838	2.0897	2.0898	2.7577
ENSMUSG00000014602	0.3287	0.1984	0.2198	0.3342	0.2247	0.2216
ENSMUSG00000014769	0.4914	0.0221	-0.0584	0.0004	-0.5270	-0.4387
ENSMUSG00000014776	-0.6096	-0.0672	-0.2326	-0.3198	0.5766	-0.1274
ENSMUSG00000014856	-0.3190	-0.1537	-0.2994	-0.1575	0.4879	0.0434
ENSMUSG00000014859	0.7958	-0.0983	0.2280	0.1885	0.1925	-0.9751
ENSMUSG00000015090	0.0838	0.3328	-0.5872	0.1238	-0.1231	-0.0075
ENSMUSG00000015120	0.1120	0.4233	-0.3317	0.2779	0.3447	-0.4193
ENSMUSG00000015316	0.2956	-0.1548	0.5838	-0.2386	-0.3980	0.0354
ENSMUSG00000015337	-0.4137	-0.5487	0.3792	0.0066	0.4394	-0.4196
ENSMUSG00000015340	0.5267	0.0854	-0.4073	0.4502	-0.3292	-0.0550
ENSMUSG00000015575	0.3365	-0.3976	0.4258	-0.2136	-0.6192	0.0400
ENSMUSG00000015619	-0.0754	0.0670	0.0998	-0.2069	-0.0907	-0.0273
ENSMUSG00000015652	0.3294	0.2020	0.5707	0.0221	-0.0348	-0.9607
ENSMUSG00000015748	-0.0841	0.1577	-0.1298	-0.0785	0.1458	0.3505
ENSMUSG00000015806	0.6157	-0.0636	-0.7222	0.0948	0.0920	-0.2536
ENSMUSG00000015812	-0.4819	0.4090	0.1608	-0.0824	-0.1459	0.2674
ENSMUSG00000015937	-0.0431	-0.0171	-0.5601	-0.0623	-0.7820	0.6127
ENSMUSG00000015950	0.3281	0.7162	0.2152	-0.1133	0.4862	0.3953
ENSMUSG00000015957	-0.2811	-0.4811	0.0044	0.1473	-0.1499	-0.6210
ENSMUSG00000015994	1.1458	2.2257	1.7753	2.2259	2.5252	2.3365
ENSMUSG00000016024	-0.3793	-0.8637	0.1014	-0.1907	-0.2654	-0.0311
ENSMUSG00000016087	-0.6429	-0.6091	-0.1191	-0.2975	-0.3487	-0.7417
ENSMUSG00000016206	-0.2053	0.2836	-0.1336	-0.2086	-0.4169	0.2184
ENSMUSG00000016253	-0.3068	0.1478	-0.2075	0.0736	0.0190	0.2218
ENSMUSG00000016319	-0.1373	-0.1438	-0.1376	-0.2359	-0.2098	-0.1899
ENSMUSG00000016494	0.1243	-0.4573	0.1772	0.3870	-0.0466	0.2966
ENSMUSG00000016498	-0.2956	-0.3371	0.0747	-0.4881	-0.4126	0.3059
ENSMUSG00000016528	0.3003	0.3793	0.1132	0.2178	-0.1427	0.1957
ENSMUSG00000016756	-0.0560	-0.3635	-0.1290	-0.1735	-0.0861	0.0505
ENSMUSG00000016758	-0.0601	-0.2042	-0.4186	0.0001	-0.2535	0.1536
ENSMUSG00000017009	0.1182	-0.2202	-0.2852	0.0506	0.1852	0.0093
ENSMUSG00000017057	0.3085	0.3478	0.0076	0.2840	-0.4410	0.2609
ENSMUSG00000017119	-0.5523	-0.4116	-0.5998	-0.2007	-0.1399	-0.6463
ENSMUSG00000017146	-0.1767	0.0818	-0.4436	-0.5429	0.0713	-0.1828
ENSMUSG00000017165	-0.1500	0.4239	0.0535	0.0316	0.2383	-0.2979
ENSMUSG00000017210	-0.0005	0.0284	-0.4590	-0.1804	-0.1217	0.3831
ENSMUSG00000017376	-0.6761	0.0333	0.4867	-0.4168	0.2392	-0.4858
ENSMUSG00000017390	-0.8717	-0.8458	-0.9932	-1.5700	-1.3981	-1.4027
ENSMUSG00000017404	1.3590	1.7036	2.2117	2.1008	2.2766	2.3550
ENSMUSG00000017428	0.1888	-0.0904	0.1509	-0.1977	0.0862	-0.6996
ENSMUSG00000017652	-0.0746	0.8396	0.1019	0.3449	-0.1811	0.8191
ENSMUSG00000017686	0.4814	-0.1048	-0.4601	-0.0696	-0.2497	-0.0173
ENSMUSG00000017715	0.5397	-0.5750	-0.0043	-0.1304	-0.0054	0.1036
ENSMUSG00000017718	0.0342	0.6521	0.3278	0.1377	-0.5428	0.4255
ENSMUSG00000017740	-0.9135	-0.1319	-0.0469	0.0280	-0.1261	-0.4639
ENSMUSG00000017950	-0.4428	0.3405	0.1251	-0.5650	0.0870	0.6175
ENSMUSG00000018008	-0.0890	-0.1109	0.5651	0.2369	0.1831	-0.0404
ENSMUSG00000018012	-0.0154	0.1841	0.0965	0.0363	0.0154	-0.1994
ENSMUSG00000018040	-0.5258	0.0948	-0.7159	-0.2075	-0.3656	-0.3735
ENSMUSG00000018286	-0.4574	0.3109	0.0135	0.0535	0.2370	-0.2559
ENSMUSG00000018293	0.1413	-0.0192	0.0733	-0.5947	-0.0276	-0.6700
ENSMUSG00000018334	-0.2689	0.4985	-0.6816	0.1739	-0.4486	0.2665
ENSMUSG00000018339	0.2572	-0.1605	0.3890	0.0212	-0.6920	-0.3442
ENSMUSG00000018362	0.3206	0.3130	-0.2479	0.2571	-0.2107	-0.2825
ENSMUSG00000018363	-0.2668	-0.1549	-0.2054	0.2125	-0.2247	-0.4912
ENSMUSG00000018395	0.0814	0.0795	-0.1277	0.4602	-0.4870	0.2897
ENSMUSG00000018486	0.3365	-0.1823	0.2831	-0.3625	0.5085	0.7797
ENSMUSG00000018537	0.1004	0.4145	0.8082	-0.0505	-0.3346	-0.3564
ENSMUSG00000018567	0.1515	-0.2671	-0.2741	-0.3282	-0.0415	0.1882
ENSMUSG00000018770	-0.2498	-0.1206	-0.5502	-0.4954	-0.6805	-0.1812
ENSMUSG00000018796	0.0860	0.2551	-0.5752	0.3202	0.0872	0.3979
ENSMUSG00000018822	-0.2744	0.5720	-0.1008	-0.0476	0.6905	-0.1724
ENSMUSG00000018830	-0.1698	-0.3615	-0.1271	-0.5025	1.1467	-0.6312
ENSMUSG00000018841	-0.2624	0.2167	-0.8058	-0.2929	0.3450	0.2080
ENSMUSG00000018848	1.3062	1.9960	1.9219	1.8269	2.1220	2.2416
ENSMUSG00000018882	0.7460	1.4569	1.5777	2.3063	2.6136	1.9663
ENSMUSG00000018899	0.1733	0.0553	0.4596	0.0457	-0.2997	0.3320
ENSMUSG00000018965	-0.3710	0.4664	0.0897	0.1233	-0.1213	-0.1826
ENSMUSG00000018973	0.6331	0.4140	0.1888	-0.2537	0.5699	-0.2328
ENSMUSG00000019054	-0.4146	-0.1360	-0.5404	-0.4104	0.0963	0.0882
ENSMUSG00000019102	0.4064	0.2055	0.2960	0.2539	0.0986	-0.3824
ENSMUSG00000019254	0.2227	0.3663	-0.2768	0.2088	-0.0880	0.2174
ENSMUSG00000019370	0.0383	-0.6237	0.3249	-0.2755	-0.0141	0.6863
ENSMUSG00000019487	0.2311	0.3639	0.5209	0.3498	-0.3817	-0.6197
