miRNA	Ensembl.Gene.ID	PLR
mmu-miR-100-3p	ENSMUSG00000016498	4.22
mmu-miR-100-3p	ENSMUSG00000022248	4.27
mmu-miR-100-3p	ENSMUSG00000027120	3.68
mmu-miR-100-3p	ENSMUSG00000028310	5.18
mmu-miR-100-3p	ENSMUSG00000039153	7.66
mmu-miR-100-3p	ENSMUSG00000040562	7.24
mmu-miR-100-3p	ENSMUSG00000042410	5.11
mmu-miR-100-3p	ENSMUSG00000079495	5.77
mmu-miR-100-5p	ENSMUSG00000033721	6.77
mmu-miR-100-5p	ENSMUSG00000048154	5.10
mmu-miR-100-5p	ENSMUSG00000062082	7.14
mmu-miR-100-5p	ENSMUSG00000073963	3.26
mmu-miR-100-5p	ENSMUSG00000077433	3.55
mmu-miR-100-5p	ENSMUSG00000095499	7.38
mmu-miR-101-3p	ENSMUSG00000015957	7.74
mmu-miR-101-3p	ENSMUSG00000018567	6.98
mmu-miR-101-3p	ENSMUSG00000056999	4.12
mmu-miR-101-3p	ENSMUSG00000096679	2.57
mmu-miR-101-3p	ENSMUSG00000118727	2.87
mmu-miR-101-3p	ENSMUSG00001118664	1.78
mmu-miR-101-5p	ENSMUSG00000022997	2.82
mmu-miR-101-5p	ENSMUSG00000027566	5.63
mmu-miR-101-5p	ENSMUSG00000030364	4.61
mmu-miR-101-5p	ENSMUSG00000036315	3.64
mmu-miR-101-5p	ENSMUSG00000040003	4.37
mmu-miR-101-5p	ENSMUSG00000041954	6.90
mmu-miR-101-5p	ENSMUSG00000047945	5.39
mmu-miR-101-5p	ENSMUSG00000050860	1.91
mmu-miR-101-5p	ENSMUSG00000057649	3.70
mmu-miR-101-5p	ENSMUSG00000088547	4.24
mmu-miR-101-5p	ENSMUSG00000094858	2.54
mmu-miR-101-5p	ENSMUSG00000106677	5.34
mmu-miR-102-3p	ENSMUSG00000021403	3.23
mmu-miR-102-3p	ENSMUSG00000022812	7.50
mmu-miR-102-3p	ENSMUSG00000029711	4.55
mmu-miR-102-3p	ENSMUSG00000038954	3.62
mmu-miR-102-3p	ENSMUSG00000040952	4.83
mmu-miR-102-3p	ENSMUSG00000048284	2.37
mmu-miR-102-3p	ENSMUSG00000060261	2.44
mmu-miR-102-3p	ENSMUSG00000069259	6.94
mmu-miR-102-3p	ENSMUSG00000075211	5.52
mmu-miR-102-3p	ENSMUSG00000119363	1.51
mmu-miR-102-3p	ENSMUSG00000119546	2.76
mmu-miR-102-5p	ENSMUSG00000002108	2.51
mmu-miR-102-5p	ENSMUSG00000002767	3.99
mmu-miR-102-5p	ENSMUSG00000003429	6.22
mmu-miR-102-5p	ENSMUSG00000006932	7.48
mmu-miR-102-5p	ENSMUSG00000023809	3.31
mmu-miR-102-5p	ENSMUSG00000033916	5.71
mmu-miR-102-5p	ENSMUSG00000035237	6.18
mmu-miR-102-5p	ENSMUSG00000036835	3.06
mmu-miR-102-5p	ENSMUSG00000043569	2.20
mmu-miR-102-5p	ENSMUSG00000046881	5.88
mmu-miR-102-5p	ENSMUSG00000119752	5.75
mmu-miR-103-3p	ENSMUSG00000018841	5.62
mmu-miR-103-3p	ENSMUSG00000024399	4.03
mmu-miR-103-3p	ENSMUSG00000025373	5.64
mmu-miR-103-3p	ENSMUSG00000031343	7.84
mmu-miR-103-3p	ENSMUSG00000031548	4.45
mmu-miR-103-3p	ENSMUSG00000060586	3.60
mmu-miR-103-3p	ENSMUSG00000063116	6.95
mmu-miR-103-3p	ENSMUSG00000063881	1.80
mmu-miR-103-3p	ENSMUSG00000095788	1.79
mmu-miR-103-3p	ENSMUSG00000116378	7.58
mmu-miR-103-3p	ENSMUSG00000118907	7.86
mmu-miR-103-5p	ENSMUSG00000014361	3.47
mmu-miR-103-5p	ENSMUSG00000023944	3.67
mmu-miR-103-5p	ENSMUSG00000025003	4.27
mmu-miR-103-5p	ENSMUSG00000031492	4.15
mmu-miR-103-5p	ENSMUSG00000032504	7.54
mmu-miR-103-5p	ENSMUSG00000049076	7.41
mmu-miR-103-5p	ENSMUSG00000052688	2.62
mmu-miR-103-5p	ENSMUSG00000060036	4.22
mmu-miR-103-5p	ENSMUSG00000096497	2.67
mmu-miR-103-5p	ENSMUSG00000119299	2.93
mmu-miR-104-3p	ENSMUSG00000022686	5.19
mmu-miR-104-3p	ENSMUSG00000024220	2.74
mmu-miR-104-3p	ENSMUSG00000032815	2.17
mmu-miR-104-3p	ENSMUSG00000040354	2.71
mmu-miR-104-3p	ENSMUSG00000109544	7.50
mmu-miR-104-5p	ENSMUSG00000021771	7.89
mmu-miR-104-5p	ENSMUSG00000029334	3.67
mmu-miR-104-5p	ENSMUSG00000030729	7.81
mmu-miR-104-5p	ENSMUSG00000031533	7.60
mmu-miR-104-5p	ENSMUSG00000032303	7.38
mmu-miR-104-5p	ENSMUSG00000039254	2.41
mmu-miR-104-5p	ENSMUSG00000077454	5.68
mmu-miR-104-5p	ENSMUSG00000118885	7.17
mmu-miR-104-5p	ENSMUSG00000119886	2.55
mmu-miR-105-3p	ENSMUSG00000030230	2.52
mmu-miR-105-3p	ENSMUSG00000047215	3.81
mmu-miR-105-3p	ENSMUSG00000055817	5.83
mmu-miR-105-3p	ENSMUSG00000059205	3.02
mmu-miR-105-3p	ENSMUSG00000061175	7.49
mmu-miR-105-3p	ENSMUSG00000063849	3.50
mmu-miR-105-3p	ENSMUSG00000079316	6.98
mmu-miR-105-3p	ENSMUSG00000088656	7.04
mmu-miR-105-5p	ENSMUSG00000016528	4.04
mmu-miR-105-5p	ENSMUSG00000034612	6.92
mmu-miR-105-5p	ENSMUSG00000042688	6.22
mmu-miR-105-5p	ENSMUSG00000106935	5.78
mmu-miR-105-5p	ENSMUSG00000108114	6.87
mmu-miR-105-5p	ENSMUSG00000118945	3.35
mmu-miR-105-5p	ENSMUSG00000119845	5.73
mmu-miR-106-3p	ENSMUSG00000029212	6.64
mmu-miR-106-3p	ENSMUSG00000030602	6.58
mmu-miR-106-3p	ENSMUSG00000030619	1.69
mmu-miR-106-3p	ENSMUSG00000084601	5.19
mmu-miR-106-3p	ENSMUSG00000095586	3.95
mmu-miR-106-5p	ENSMUSG00000003808	3.60
mmu-miR-106-5p	ENSMUSG00000020115	2.52
mmu-miR-106-5p	ENSMUSG00000021932	3.22
mmu-miR-106-5p	ENSMUSG00000024578	7.48
mmu-miR-106-5p	ENSMUSG00000026999	1.95
mmu-miR-106-5p	ENSMUSG00000036402	6.38
mmu-miR-106-5p	ENSMUSG00000047945	5.51
mmu-miR-106-5p	ENSMUSG00000057388	6.29
mmu-miR-106-5p	ENSMUSG00000064762	6.22
mmu-miR-106-5p	ENSMUSG00000095576	3.40
mmu-miR-106-5p	ENSMUSG00000095928	5.77
mmu-miR-106-5p	ENSMUSG00000118667	2.74
mmu-miR-107-3p	ENSMUSG00000021770	3.95
mmu-miR-107-3p	ENSMUSG00000022812	6.19
mmu-miR-107-3p	ENSMUSG00000045994	7.04
mmu-miR-107-3p	ENSMUSG00000109350	4.15
mmu-miR-107-3p	ENSMUSG00000109801	7.94
mmu-miR-107-3p	ENSMUSG00000119074	5.80
mmu-miR-107-5p	ENSMUSG00000019841	3.64
mmu-miR-107-5p	ENSMUSG00000021464	4.15
mmu-miR-107-5p	ENSMUSG00000021701	5.05
mmu-miR-107-5p	ENSMUSG00000026141	2.22
mmu-miR-107-5p	ENSMUSG00000038276	1.84
mmu-miR-107-5p	ENSMUSG00000045421	2.00
mmu-miR-107-5p	ENSMUSG00000050578	7.06
mmu-miR-107-5p	ENSMUSG00000058444	2.47
mmu-miR-107-5p	ENSMUSG00000062270	4.74
mmu-miR-107-5p	ENSMUSG00000065622	6.49
mmu-miR-107-5p	ENSMUSG00000077387	7.26
mmu-miR-107-5p	ENSMUSG00000119615	2.73
mmu-miR-108-3p	ENSMUSG00000018040	3.25
mmu-miR-108-3p	ENSMUSG00000018899	4.98
mmu-miR-108-3p	ENSMUSG00000023913	4.03
mmu-miR-108-3p	ENSMUSG00000024338	5.47
mmu-miR-108-3p	ENSMUSG00000030045	5.16
