#miRNA	T00h	T02h	T06h	T12h	T18h	T24h
mmu-miR-100-3p	0.2727	-0.1106	0.3511	-0.1675	-0.1073	-0.2794
mmu-miR-100-5p	0.7233	0.8527	1.3247	1.0552	1.9201	1.7128
mmu-miR-101-3p	-0.8285	-0.7677	-1.0577	-1.2638	-1.6828	-2.1146
mmu-miR-101-5p	-0.1343	0.0942	-0.1460	-0.5442	0.2345	-0.2933
mmu-miR-102-3p	-0.8368	-0.6970	-1.5615	-1.4524	-2.0598	-2.1832
mmu-miR-102-5p	-0.9992	-1.5202	-1.5502	-1.1616	-1.9172	-1.4703
mmu-miR-103-3p	-0.7471	-1.2858	-1.2854	-1.7271	-1.3297	-1.3116
mmu-miR-103-5p	-0.7983	-1.3353	-1.6811	-2.2872	-1.7426	-1.4190
mmu-miR-104-3p	-0.8889	-1.1333	-1.2187	-1.4493	-1.4579	-1.5900
mmu-miR-104-5p	-0.9929	-1.1836	-0.7927	-2.0519	-1.7890	-2.3173
mmu-miR-105-3p	-0.1808	-1.4083	-1.1007	-1.4877	-2.1517	-2.0830
mmu-miR-105-5p	1.4179	1.4014	1.1687	1.7884	1.5430	1.8713
mmu-miR-106-3p	-0.2415	0.0707	-0.0218	0.2948	-0.2268	0.6578
mmu-miR-106-5p	-1.1110	-1.1702	-1.2093	-1.4503	-1.6218	-2.2368
mmu-miR-107-3p	-1.4989	-1.4170	-1.4625	-1.1086	-1.4724	-2.6355
mmu-miR-107-5p	-1.5295	-1.5133	-1.7376	-1.3662	-1.3185	-2.2444
mmu-miR-108-3p	1.6207	1.0016	1.8853	1.9163	1.8974	2.3210
mmu-miR-108-5p	-0.1651	0.3521	-0.5022	0.1312	0.4423	0.2748
mmu-miR-109-3p	-0.0451	0.3089	-0.3524	-0.2572	0.3547	-0.0784
mmu-miR-109-5p	-1.1455	-1.1118	-0.8660	-1.2418	-2.0048	-2.3558
mmu-miR-110-3p	-0.2614	-0.0732	-0.1119	0.2722	-0.1870	0.0974
mmu-miR-110-5p	-0.8079	-1.6535	-2.0449	-1.2844	-1.7133	-2.3196
mmu-miR-111-3p	0.4112	0.4415	-0.2487	0.3291	0.3039	0.6229
mmu-miR-111-5p	-0.3329	0.4933	0.1626	0.6874	-0.5830	0.5337
mmu-miR-112-3p	-0.3523	0.0265	0.0412	0.3393	-0.2634	0.4748
mmu-miR-112-5p	-0.5364	-1.0152	-1.7377	-1.4918	-2.0574	-1.5682
mmu-miR-113-3p	0.5031	1.1951	1.3668	1.7774	1.6784	1.9291
mmu-miR-113-5p	-1.2162	-0.7159	-1.5607	-1.2630	-1.4203	-2.6116
mmu-miR-114-3p	0.5611	0.8965	1.1858	1.2843	1.9432	1.8545
mmu-miR-114-5p	-0.0944	-1.0537	-0.5463	0.5565	0.0702	-0.2329
mmu-miR-115-3p	-0.5560	-0.3707	0.3475	0.1472	-0.0433	-0.3834
mmu-miR-115-5p	-0.6121	-1.6997	-1.2988	-1.5674	-1.5362	-2.3179
mmu-miR-116-3p	-0.5032	-1.4786	-1.1696	-0.9800	-1.7521	-2.6698
mmu-miR-116-5p	-1.0137	-0.6343	-1.7154	-1.4892	-1.8875	-1.9656
mmu-miR-117-3p	-0.9576	-1.8489	-1.1426	-1.2550	-2.0419	-1.9944
mmu-miR-117-5p	-0.7679	-1.1275	-1.4418	-1.3884	-1.8500	-2.1746
mmu-miR-118-3p	1.0108	1.4603	1.3463	1.5801	2.5407	1.9532
mmu-miR-118-5p	-1.1343	-1.2042	-1.5198	-1.9025	-1.6877	-1.8511
mmu-miR-119-3p	0.5045	1.4182	1.5750	0.7932	1.8661	1.9334
mmu-miR-119-5p	-0.0625	0.2070	-0.2661	0.1054	-0.3484	-0.1131
mmu-miR-120-3p	-1.3105	-1.0339	-1.1419	-2.0817	-2.3779	-2.0275
mmu-miR-120-5p	0.1825	1.5761	1.3368	1.7143	2.1414	1.6719
mmu-miR-121-3p	-0.1146	0.2622	-0.6409	0.4724	0.3423	0.3405
mmu-miR-121-5p	0.4117	1.1747	1.4687	1.5245	2.5893	1.4569
mmu-miR-122-3p	-0.7048	-1.2187	-1.6676	-1.7917	-1.8088	-1.3965
mmu-miR-122-5p	0.6848	1.1388	1.4211	1.5970	1.3356	2.3253
mmu-miR-123-3p	0.4166	-0.2539	0.1920	0.0858	-0.3968	0.1459
mmu-miR-123-5p	0.4526	0.6460	0.9381	1.3160	2.1513	1.5912
mmu-miR-124-3p	0.2690	0.2796	0.0303	0.1562	-0.2921	0.0919
mmu-miR-124-5p	-0.2377	-0.0308	-0.1079	-0.3667	-0.3972	-0.0497
mmu-miR-125-3p	-1.2971	-0.7692	-1.4839	-1.4199	-1.8753	-2.4790
mmu-miR-125-5p	0.5068	0.3297	-0.1873	-0.0417	-0.3337	0.3405
mmu-miR-126-3p	0.2444	-0.5321	-0.7629	-0.0801	0.4971	-0.3389
mmu-miR-126-5p	-1.1767	-1.3068	-1.1151	-1.4822	-1.7169	-1.9245
mmu-miR-127-3p	-0.5902	-1.4739	-1.1758	-1.3670	-1.6442	-1.7088
mmu-miR-127-5p	-0.5066	0.1338	-0.1491	0.2672	-0.2333	0.3521
mmu-miR-128-3p	-1.3670	-1.4575	-1.0538	-1.8430	-1.4389	-2.3085
mmu-miR-128-5p	-0.0380	0.5040	-0.0875	-0.3444	-0.0414	0.7882
mmu-miR-129-3p	1.0303	0.9759	1.0414	1.2524	1.9211	1.0809
mmu-miR-129-5p	1.0462	1.1376	1.7372	1.7287	1.7876	2.4062
mmu-miR-130-3p	0.4653	0.0779	0.0675	0.4914	0.1485	-0.2611
mmu-miR-130-5p	-1.0155	-1.1547	-1.8176	-1.6797	-1.8716	-2.3603
mmu-miR-131-3p	-1.2674	-0.6799	-1.6289	-1.4511	-1.7949	-1.7581
mmu-miR-131-5p	0.9162	1.5968	2.2523	1.9705	1.8908	2.0518
mmu-miR-132-3p	-0.2286	0.1985	0.1576	-0.1919	0.5062	-0.6448
mmu-miR-132-5p	0.5123	0.5953	-0.2903	-0.0968	0.0807	-0.0006
mmu-miR-133-3p	-0.0557	0.3458	-0.1018	0.7098	-0.9151	-0.2462
mmu-miR-133-5p	-1.3746	-1.0407	-1.6964	-1.2201	-1.6020	-1.8910
mmu-miR-134-3p	-0.2247	0.2138	-0.3927	0.0919	-0.4649	0.6553
mmu-miR-134-5p	-0.5172	-1.6317	-1.5591	-1.8554	-1.5882	-2.1021
mmu-miR-135-3p	-1.3260	-0.9996	-1.1157	-1.2242	-1.7998	-2.1205
mmu-miR-135-5p	0.3195	0.0597	-0.3550	-0.2837	0.3735	-0.0345
mmu-miR-136-3p	1.1456	1.8619	1.0714	2.0209	1.1238	1.9061
mmu-miR-136-5p	-1.2128	-1.2515	-1.2477	-1.2708	-1.6415	-2.4473
mmu-miR-137-3p	0.1846	0.1191	-0.1018	0.5673	0.1429	0.0924
mmu-miR-137-5p	-0.9445	-1.0558	-1.4045	-0.9455	-1.7813	-2.3409
mmu-miR-138-3p	-0.6837	-1.5150	-1.3452	-1.5354	-2.1574	-2.2272
mmu-miR-138-5p	-1.5355	-0.9459	-0.9206	-1.6448	-1.7441	-1.8287
mmu-miR-139-3p	-1.3943	-1.1466	-1.5707	-1.1063	-1.5674	-1.6698
mmu-miR-139-5p	0.1491	0.0607	-0.0097	-0.1203	0.2333	0.0635
mmu-miR-140-3p	-0.1656	-0.4959	0.2134	0.1554	-0.2673	-0.5910
mmu-miR-140-5p	-1.0507	-1.5440	-1.8058	-1.5796	-1.0028	-1.9578
mmu-miR-141-3p	0.2942	0.0982	-0.1434	-0.1019	0.2947	0.0344
mmu-miR-141-5p	-0.4352	-0.7016	-0.8831	-1.2556	-2.6992	-2.0233
mmu-miR-142-3p	-0.6047	0.7039	0.1734	0.1854	-0.2054	-0.9041
mmu-miR-142-5p	0.0049	0.4182	-0.4857	-0.0135	0.3184	-0.1534
mmu-miR-143-3p	-1.3738	-1.4204	-1.2809	-1.6252	-1.3776	-2.5895
