GeneID	Control_R1	Control_R2	Control_R3	Early_R1	Early_R2	Early_R3	Mid_R1	Mid_R2	Mid_R3	Late_R1	Late_R2	Late_R3
ENSMUSG00000000489	-2.8730	-0.9826	3.6003	12.8363	13.0369	13.2728	4.4866	-0.6994	4.5406	6.1210	4.4558	3.2336
ENSMUSG00000000581	14.2356	12.8499	17.2001	5.0297	12.6944	10.3317	3.0081	8.5544	6.8538	8.0587	8.4274	6.5856
ENSMUSG00000001467	6.8008	8.8056	5.5217	18.8912	14.9987	16.3331	10.4179	6.0435	10.8803	12.4986	10.2544	9.8273
ENSMUSG00000002308	6.3662	10.9478	8.2387	6.7215	3.6456	6.2481	14.4264	12.4008	17.1576	1.8590	7.6089	0.9371
ENSMUSG00000002395	11.5129	2.8806	6.4765	6.8147	9.1091	8.7520	11.8788	11.7892	8.0698	12.4923	10.7674	10.8256
ENSMUSG00000002455	10.5476	12.7686	9.0320	9.0151	11.3226	7.8303	6.4540	4.5161	7.2325	11.3511	13.4739	12.7389
ENSMUSG00000002814	6.9265	7.7621	8.8438	9.8658	14.7714	6.2840	8.9798	5.5566	4.2809	10.9622	4.7203	8.8544
ENSMUSG00000002963	9.3340	5.0943	6.7709	2.2764	5.8562	7.7158	6.5807	6.9120	11.3276	6.5864	10.8169	11.7981
ENSMUSG00000005057	6.3695	9.1815	11.7696	7.9422	5.8824	8.8390	19.9204	17.9279	18.6559	15.2908	8.6706	7.4860
ENSMUSG00000006344	13.0232	14.2268	14.0996	7.9415	3.5089	5.1529	3.4846	-1.4855	2.3529	11.5932	10.5350	12.0751
ENSMUSG00000006728	8.5558	10.7983	7.6332	5.6993	10.7354	9.7833	8.9343	7.8331	8.5814	7.0635	7.1345	11.0706
ENSMUSG00000007080	11.8263	9.8397	11.0332	17.5189	16.4943	18.1868	11.1448	6.4869	12.5742	11.0263	7.8619	10.4283
ENSMUSG00000007207	10.4783	13.1471	13.0092	7.6031	4.6449	7.3124	5.2829	8.5019	10.0772	5.5799	5.6915	8.9085
ENSMUSG00000008859	0.6197	9.1911	4.7971	9.2404	11.8507	8.5558	4.0118	10.3079	12.3905	6.7478	5.0827	6.3685
ENSMUSG00000009907	12.2734	7.0418	8.4215	7.2918	8.2556	9.4170	9.9691	6.2014	8.9392	9.9867	7.8981	7.1862
ENSMUSG00000010392	9.8248	6.6024	10.1314	5.2459	3.2867	9.0815	5.2476	5.1316	9.4844	4.2820	5.7978	5.7896
