RegulatorID	Control_R1	Control_R2	Control_R3	Early_R1	Early_R2	Early_R3	Mid_R1	Mid_R2	Mid_R3	Late_R1	Late_R2	Late_R3
mmu-miR-200-5p	9.9642	7.7285	8.2007	5.1361	8.3521	5.9348	4.9080	7.2187	7.4679	4.9966	6.9866	2.0103
mmu-miR-201-5p	5.4626	4.7241	4.7780	6.1653	4.9035	6.7263	8.6007	6.1363	6.1626	6.0860	5.6403	6.8628
mmu-miR-202-5p	9.3054	8.1699	11.6954	3.0390	8.5603	6.8473	1.4215	4.9835	4.2372	4.8240	5.2943	3.7415
mmu-miR-203-5p	7.4202	4.2642	7.2684	3.0895	4.5263	5.3912	3.7198	8.9003	7.8046	4.1746	3.6560	6.0105
mmu-miR-204-5p	4.2113	6.9861	4.9408	4.0490	1.9018	3.7056	9.6425	7.9615	11.5129	0.6371	4.6845	-0.1750
mmu-miR-205-5p	3.3824	5.7597	4.1187	5.5158	7.1505	6.4692	7.6226	6.2111	4.9182	7.8692	6.9799	5.0881
mmu-miR-206-5p	6.3621	8.5197	5.6867	5.6449	7.3552	4.7378	4.0370	2.4913	4.2688	7.0888	8.8869	8.4635
mmu-miR-207-5p	5.0698	5.3657	5.8054	4.3317	5.7339	5.3003	5.3641	6.4127	8.5507	8.2548	7.4820	5.2898
mmu-miR-208-5p	-1.1443	3.5269	0.6767	3.6674	2.1424	4.2614	8.0728	8.5517	6.3299	6.3165	2.9276	1.1248
mmu-miR-209-5p	6.4531	5.4134	5.2468	5.3571	2.9282	3.8865	7.2992	8.0671	6.5084	5.7091	7.2946	6.9119
mmu-miR-210-5p	8.6714	9.7025	9.2289	4.6493	1.9445	3.1168	1.6512	-1.6768	1.1965	7.5497	6.6957	7.7915
mmu-miR-211-5p	3.2266	6.3974	5.2757	5.4427	7.9900	5.8105	8.1370	5.7158	4.9816	9.0952	5.2776	5.8409
mmu-miR-212-5p	5.8890	3.1228	4.2964	0.7419	3.2736	4.7890	4.0149	4.0399	7.5486	3.9083	7.0947	7.5370
mmu-miR-213-5p	6.9204	5.4874	6.5846	4.2438	3.5170	5.9243	2.0862	8.9637	6.1223	6.3591	3.2206	7.7614
mmu-miR-214-5p	-0.4009	5.4716	2.9006	5.9044	7.8664	5.5948	2.0229	6.4620	8.0227	4.0442	3.2329	3.9995
mmu-miR-215-5p	6.9994	5.4293	6.0221	4.7062	4.7861	7.0888	3.7513	5.9517	6.5554	4.9620	2.9113	6.4182
mmu-miR-216-5p	4.8935	4.8431	2.6716	6.7753	7.0963	7.3206	8.6113	6.0727	7.4446	7.8078	8.7298	7.2561
mmu-miR-217-5p	4.3539	4.7413	6.0327	3.8834	6.0167	5.5946	5.9690	7.5505	6.5046	5.7152	3.2262	5.0524
mmu-miR-218-5p	2.5971	6.5225	4.7352	3.3586	4.1154	3.0734	6.0523	4.6462	3.3821	6.4846	5.2979	4.0160
mmu-miR-219-5p	5.3248	5.6252	5.5431	5.5549	4.5853	7.0709	5.0040	7.5430	4.7340	9.5484	6.3023	6.0616
mmu-miR-220-5p	7.9917	6.2282	7.3140	11.9920	10.9836	12.1662	7.3890	3.8198	7.8766	7.2097	4.8647	6.5160
mmu-miR-221-5p	6.9623	7.4757	5.5987	7.6940	3.6775	4.4526	5.2767	3.4199	6.1433	6.4959	0.5541	3.7876
mmu-miR-222-5p	4.6013	6.6649	8.4812	5.6931	5.5228	4.9599	7.7829	7.2114	7.1063	6.4891	0.6923	2.3244
mmu-miR-223-5p	5.6832	7.1584	6.4426	5.2953	6.4579	3.7172	6.6982	4.9325	4.8308	6.4749	6.6654	6.4384
mmu-miR-224-5p	6.9198	4.5604	4.0801	12.0813	9.6714	9.5136	6.1526	7.4691	4.4903	9.6734	4.8106	9.9618
mmu-miR-225-5p	3.7022	6.4193	8.8858	7.8484	5.7797	4.9023	7.6523	5.9276	4.8370	5.6926	5.8141	5.0608
mmu-miR-226-5p	2.9349	1.9150	4.0703	2.6742	6.1142	2.4905	6.5872	5.2347	6.4141	7.4916	6.2782	5.0926
mmu-miR-227-5p	6.2316	6.8364	5.5390	5.5027	6.7250	8.6609	5.2875	6.2946	4.1524	5.6673	8.0066	6.8625
mmu-miR-228-5p	6.3344	4.0136	6.3659	3.1344	1.6278	5.6559	3.0247	3.0309	6.0939	2.4702	3.3224	3.4284
mmu-miR-229-5p	6.1078	8.7384	2.8126	3.9220	6.5036	7.5521	6.9308	8.7676	6.9733	5.4942	6.4869	3.7743
mmu-miR-230-5p	4.9763	9.4117	7.6026	7.3017	10.5313	13.0807	0.3360	2.5364	4.2228	7.5799	9.5300	9.0942
mmu-miR-231-5p	5.0112	5.1459	4.2779	5.0254	7.9265	5.4568	4.4733	5.7111	7.6948	11.0326	5.2431	7.6047
mmu-miR-232-5p	4.8873	5.0883	5.4086	10.5292	12.2696	11.8636	4.7334	6.4687	6.5382	8.0134	8.2048	7.8963
mmu-miR-233-5p	6.4171	6.1588	5.7716	7.3686	5.3091	4.0301	6.4926	6.2035	4.2521	6.5771	6.5684	4.2333
mmu-miR-234-5p	6.0750	9.1473	7.9256	4.0832	4.3493	0.3721	7.2734	9.1336	8.6480	4.6542	7.0705	6.9251
mmu-miR-235-5p	4.8658	6.4312	6.0936	8.2725	8.1999	6.6412	6.3302	6.1703	5.6702	7.9413	4.5216	6.3373
mmu-miR-236-5p	8.4270	7.8751	8.5015	7.2478	6.9511	7.1287	9.3022	3.6278	8.2541	6.9740	7.3043	8.2822
mmu-miR-237-5p	6.5656	5.9962	4.3111	6.1225	8.4142	5.1002	6.5317	6.0125	6.3241	4.9772	4.9485	3.9267
mmu-miR-238-5p	8.7868	6.9581	8.0809	5.6584	5.2393	5.8102	7.3403	8.2894	7.2123	7.2792	10.1311	7.6567
mmu-miR-239-5p	5.8973	6.9624	6.8274	5.0861	5.7077	4.5011	6.0249	4.7803	8.0140	5.8671	7.6429	6.1796
