RegulatorID	Control_R1	Control_R2	Control_R3	Early_R1	Early_R2	Early_R3	Mid_R1	Mid_R2	Mid_R3	Late_R1	Late_R2	Late_R3
TF000	6.3294	8.5130	6.4491	4.0135	3.8138	6.8485	6.8005	10.2488	6.2728	2.7877	2.9469	2.0915
TF001	4.3924	5.5707	4.7088	4.7045	7.6942	5.3277	6.8293	7.3505	7.5147	5.9123	6.8974	6.1194
TF002	-2.7386	-1.1389	1.6139	8.3497	8.6797	8.8586	2.4581	-0.7428	2.6918	3.4443	2.0975	1.4973
TF003	7.1618	7.3960	5.1148	6.1476	5.7188	7.0544	3.4391	5.2405	6.5907	9.1268	7.4945	8.9810
TF004	4.0620	5.5444	3.1566	12.6867	9.8631	10.8715	6.8582	3.6428	7.1270	8.0528	6.3518	6.4635
TF005	5.5503	7.1251	4.9014	3.6528	7.0169	6.2367	5.8379	4.6216	5.3013	4.3839	4.3742	7.0791
TF006	7.2904	1.6326	3.9629	4.0688	5.6539	5.6704	8.3788	7.4256	5.2166	8.0145	7.0300	7.0651
TF007	8.0372	4.5965	5.3613	4.4801	5.3053	5.7708	6.4143	3.4904	5.5030	6.5883	4.9684	4.5455
TF008	1.4046	-1.3181	2.8273	9.0812	11.9706	7.3129	6.5244	4.7187	3.1038	1.3897	2.7876	2.0142
TF009	5.7580	5.5290	5.9344	7.0248	8.3667	4.4287	5.5216	7.6768	5.5434	6.4510	4.1118	6.5774
TF010	3.6009	5.6209	7.5074	5.0100	3.2136	5.4984	13.6136	11.7043	12.6050	10.4698	5.3153	4.7725
TF011	4.2456	7.7056	6.7889	5.8899	7.1049	8.5315	6.1457	6.0171	5.4006	5.7614	4.9599	4.1780
TF012	4.1881	4.5669	5.6104	6.2581	9.8242	4.0009	5.5166	3.2570	2.3308	7.2188	2.7142	5.5379
TF013	6.9658	4.8320	5.1166	7.3036	8.2627	4.5395	4.4258	4.9884	6.3746	6.6655	4.9922	4.6293
TF014	5.0536	5.8494	6.0949	11.1778	5.7854	7.3427	5.7043	5.9485	2.6151	1.4544	8.1418	2.7115
TF015	5.9522	5.1781	8.0142	6.2752	6.6208	5.5994	7.5876	8.5340	5.8014	6.6051	7.4882	7.8664
TF016	1.8254	0.1299	0.4066	7.3050	3.8554	6.7844	6.6733	7.5650	5.7103	-1.8065	0.0977	-1.5131
TF017	6.7594	6.3629	4.6252	5.5615	6.7268	5.4942	4.5057	6.9277	7.1871	8.8978	5.3043	6.3129
TF018	7.0911	7.2949	4.7774	1.1635	2.9692	4.0428	12.8693	11.5365	9.6140	3.8999	3.8978	3.5024
TF019	6.2098	6.0178	6.7660	6.9872	4.9209	7.0947	5.1270	4.6146	6.7412	5.5838	5.4928	9.7155
TF020	4.8085	7.2348	5.7991	9.6607	8.5475	7.1991	1.3959	3.0232	0.6716	9.0350	10.4005	10.0352
TF021	6.4544	1.8722	4.6830	6.9276	9.5416	7.8936	5.4901	5.5934	8.5816	2.8999	3.3882	5.6337
TF022	4.1776	2.1129	9.1118	5.2851	2.8075	7.4643	10.8568	8.7070	10.1913	9.9659	9.5941	10.6696
TF023	6.3661	5.4800	4.2274	8.9949	4.7719	4.7920	2.6846	7.2298	6.8753	8.6864	4.2444	8.4385
TF024	6.6410	8.7725	8.6708	4.4444	2.6247	4.4510	2.7244	5.3569	6.4724	3.3558	3.4934	5.5112
TF025	3.9518	3.9507	5.6478	4.3326	4.3256	5.8536	10.7431	6.7004	5.1092	6.6288	5.0314	8.9493
TF026	11.5879	8.2344	8.7020	7.4519	6.5122	4.0002	5.6492	7.7679	6.7442	5.2218	3.7832	2.1272
TF027	3.5936	5.1952	4.4642	4.6385	6.7152	5.7068	6.7507	7.5436	7.3003	6.4191	6.9064	7.2954
TF028	4.2906	0.0925	1.4950	3.3341	2.2445	0.9113	2.9124	2.5549	5.9906	5.5356	3.8249	1.2440
TF029	6.3850	7.1823	6.9083	5.5705	6.0094	4.4805	4.3816	4.4621	6.9270	8.8551	5.7673	4.4308
TF030	5.4031	6.9361	7.0212	5.0394	8.2358	9.3752	7.7739	10.2775	7.5881	9.5462	7.5540	7.3052
TF031	7.3729	5.1603	5.0719	5.6932	7.6328	6.5660	6.8669	5.3148	5.9579	6.5166	4.4357	4.0037
TF032	2.6952	3.1363	7.0326	5.9626	0.6359	2.6845	8.9713	8.7035	11.6291	2.7820	3.0033	3.5631
TF033	8.4467	7.4152	6.4430	5.5096	3.6799	4.6109	5.3767	5.9823	9.7177	6.2495	7.1291	4.4783
TF034	4.7750	3.9819	4.7110	12.2851	12.0112	11.0532	1.1051	1.5403	-0.0262	2.8236	4.1562	2.3608
TF035	8.7947	5.8480	7.5439	0.8527	6.0120	7.3471	7.4218	7.5447	7.9767	5.9680	4.3998	7.7151
TF036	8.9247	6.4872	6.8231	8.1202	8.7334	9.4291	7.6118	4.3821	3.2736	1.7666	2.7076	3.4639
TF037	7.9956	5.3092	3.6614	7.4480	4.6688	4.7627	6.9804	7.1970	8.1920	4.7913	4.3897	7.0161
TF038	3.7469	4.7514	5.8813	11.8802	12.9317	10.9593	9.3567	12.9982	10.5662	5.3610	1.8069	5.7382
TF039	7.0760	5.8768	3.5607	6.6034	4.4833	7.3134	7.5980	5.7024	5.0993	6.3355	6.6569	4.3224
