#Gene name	I/C_0h	I/C_2h	I/C_6h	I/C_12h	I/C_18h	I/C_24h
ENSMUSG00000000001	0.082196	0.058411	-0.061253	-0.018681	-0.248735	-0.315424
ENSMUSG00000000028	0.117459	-0.316039	0.155653	-0.197852	0.109043	0.144393
ENSMUSG00000000031	0.335376	0.804284	0.461160	1.120232	2.023173	-0.004087
ENSMUSG00000000049	0.224578	0.127883	0.145306	0.424821	-0.010605	0.324581
ENSMUSG00000000056	-0.406610	-0.655008	-0.607655	-0.200625	-0.905084	-0.901463
ENSMUSG00000000078	-0.047466	0.030828	-0.084849	-0.220750	-0.190262	0.137294
ENSMUSG00000000085	1.384618	0.827229	0.190935	0.007739	0.161830	0.228155
ENSMUSG00000000088	0.396522	0.116538	0.310430	1.431863	0.613502	1.290052
ENSMUSG00000000093	0.098365	-0.212623	-0.219838	-0.437204	-0.390130	-0.329440
ENSMUSG00000000094	-0.481909	-0.519086	-0.265219	-0.443282	-0.556148	-0.749222
ENSMUSG00000000120	-0.766243	0.033217	-0.277549	0.376720	-0.079172	0.237104
ENSMUSG00000000126	-0.723195	0.080974	-0.218162	0.224457	-0.277599	-0.252818
ENSMUSG00000000127	0.101425	0.477719	0.830944	1.073491	1.028498	0.847590
ENSMUSG00000000131	0.515593	-0.202586	0.327682	-0.011533	0.127631	0.176206
ENSMUSG00000000134	-0.431524	-0.256590	-0.110469	-0.066346	-0.450396	-0.232343
ENSMUSG00000000142	-0.650178	0.177923	-0.106622	0.446018	-0.117647	0.363534
ENSMUSG00000000149	0.339697	0.186906	0.112163	1.172812	0.447547	0.815816
ENSMUSG00000000154	-0.404656	0.103553	-0.305779	-0.083143	-0.338035	-0.099834
ENSMUSG00000000159	-0.237782	0.402568	0.089244	0.354001	0.130553	0.528549
ENSMUSG00000000167	0.291977	-0.086741	-0.220114	-0.385065	-0.272769	-0.372595
ENSMUSG00000000168	0.011914	-0.072609	-0.068325	-0.292539	0.349216	-0.148879
ENSMUSG00000000171	-0.229672	0.034605	0.477265	-0.279205	-0.025654	-0.162798
ENSMUSG00000000183	-0.640992	0.203689	0.167606	0.430990	-0.119400	0.299832
ENSMUSG00000000184	0.298891	-0.437206	-0.756253	-0.589524	-0.749309	-0.955127
ENSMUSG00000000194	-0.228365	0.008779	-0.218029	0.254055	-0.142647	0.391323
