#geneID	Ikaros/Control_0h	Ikaros/Control_2h	Ikaros/Control_6h	Ikaros/Control_12h	Ikaros/Control_18h	Ikaros/Control_24h
ENSMUSG00000000001	0.044209	-0.082011	0.623569	0.114620	0.665593	0.553714
ENSMUSG00000000028	-0.227702	0.007544	0.111625	0.275575	-0.027788	-1.008999
ENSMUSG00000000031	-0.717082	0.023039	0.413079	-1.513558	-1.803417	-1.787977
ENSMUSG00000000056	0.161541	0.614396	0.709572	1.506421	1.714617	1.514711
ENSMUSG00000000078	0.187193	0.419384	0.708853	2.084011	2.340583	2.720289
ENSMUSG00000000085	0.033399	0.369413	0.000213	0.581923	0.107946	0.292330
ENSMUSG00000000088	-0.246085	-0.726465	-0.873874	-0.087884	-0.898832	-1.720854
ENSMUSG00000000093	-1.110827	-1.030587	0.326273	1.018301	1.987774	2.493700
ENSMUSG00000000131	-0.086794	-0.125927	-0.376943	-0.365390	-1.025066	-1.061593
ENSMUSG00000000134	0.147522	-0.149043	-0.602614	-0.546492	-0.496664	-0.320384
ENSMUSG00000000148	0.031547	0.292241	0.828030	0.541099	0.657880	0.420120
ENSMUSG00000000149	0.340224	0.583449	1.220413	0.988588	1.485464	1.371286
ENSMUSG00000000159	0.572314	0.643713	2.044184	2.708792	1.444981	1.241782
ENSMUSG00000000167	-0.224996	-0.692977	-0.926155	-1.780494	-1.570822	-2.221702
ENSMUSG00000000168	-0.088908	-0.185035	-0.017071	-0.528236	-0.537328	-0.751217
ENSMUSG00000000171	-0.300053	-0.191252	-0.461716	-0.061364	-0.124692	-0.782732
ENSMUSG00000000184	0.697371	-0.662658	-1.911564	-2.535570	-3.402249	-3.247857
ENSMUSG00000000194	0.340991	0.414528	0.435029	0.828455	0.703634	1.133137
ENSMUSG00000000223	-0.475776	0.409092	-0.756798	-0.272878	-0.375103	-1.120130
ENSMUSG00000000244	0.079724	0.228633	-0.058343	0.623735	0.243325	0.583139
ENSMUSG00000000247	0.045102	-0.417993	0.399270	-0.067802	-0.428978	-1.367403
ENSMUSG00000000275	0.103995	-0.424307	0.583297	0.027793	0.569606	0.244932
ENSMUSG00000000276	0.317072	0.411369	-0.013126	-0.105546	-0.476411	-0.786125
ENSMUSG00000000278	0.948038	0.604670	1.218985	0.840252	1.395666	1.873604
ENSMUSG00000000282	-0.197002	-0.449832	0.341586	0.420843	0.616798	0.410442
ENSMUSG00000000290	-0.304733	0.199806	0.743771	0.844427	0.445162	0.523409
ENSMUSG00000000295	0.126951	0.483473	-0.342872	-0.976887	-1.767310	-1.846848
ENSMUSG00000000301	-0.103912	-0.025958	-0.588936	-1.665453	-3.009890	-3.530063
ENSMUSG00000000308	2.530597	1.746610	0.704837	-0.795699	-2.508088	-3.093122
ENSMUSG00000000325	0.602853	1.930347	3.873179	4.295476	4.730330	4.378327
ENSMUSG00000000326	0.036773	0.355751	-0.102714	0.184229	-0.634630	-0.343940
ENSMUSG00000000339	-0.054735	0.065337	0.073677	-0.004624	-0.402485	-0.470699
ENSMUSG00000000340	0.264287	-0.386617	0.043381	-0.778054	-0.047812	-0.074801
ENSMUSG00000000346	-0.077887	0.021082	0.265116	0.699445	0.997890	0.638704
ENSMUSG00000000355	-0.158426	-0.078929	-0.341040	-0.281240	-0.701735	-0.548366
ENSMUSG00000000374	-0.001237	-0.199152	0.303871	0.326095	0.876695	0.682731
ENSMUSG00000000378	-0.483974	0.060804	0.172468	1.150076	1.630604	1.826753
ENSMUSG00000000384	-0.163236	-0.209168	-0.476701	-1.083748	-1.754583	-2.050528
ENSMUSG00000000399	-0.053408	-0.010757	-0.255446	0.223606	-0.094540	-0.636251
ENSMUSG00000000409	0.709472	0.076632	-0.143545	-0.604130	-0.279315	0.019111
ENSMUSG00000000420	-0.063588	0.031623	-0.065207	-0.501173	-0.819068	-1.099113
ENSMUSG00000000439	0.236980	0.352658	0.824708	0.108720	0.464835	0.267325
ENSMUSG00000000441	-0.222166	-0.096940	-0.150454	0.040133	-0.060872	-0.299023
ENSMUSG00000000486	0.527315	1.039758	1.191162	1.655329	2.274547	2.397000
ENSMUSG00000000531	0.211932	0.298857	0.122116	1.347908	2.140409	2.417003
ENSMUSG00000000532	0.154387	0.244337	0.723093	0.208426	0.882898	0.980273
ENSMUSG00000000538	-0.060001	-0.029673	-0.187230	0.069028	0.064444	0.159097
ENSMUSG00000000552	0.868333	0.499989	0.046181	0.809205	0.443024	0.128511
ENSMUSG00000000555	6.124301	4.170082	0.734649	0.908048	0.207340	0.193023
ENSMUSG00000000561	-0.254524	-0.594448	-0.995271	-1.225721	-1.571436	-1.737054
ENSMUSG00000000562	-0.413236	0.534026	1.460880	1.318229	0.502775	0.585396
ENSMUSG00000000563	-0.168826	0.002325	-0.290952	0.220372	-0.338873	-0.586695
ENSMUSG00000000568	-0.026518	0.273686	-0.112767	-0.246279	-1.164755	-1.194116
ENSMUSG00000000579	0.010350	0.191665	0.337469	0.917817	1.300206	1.939856
ENSMUSG00000000581	-0.004114	-0.210927	-0.114225	-0.278049	-0.687726	-0.108668
ENSMUSG00000000594	0.955514	1.277726	1.833919	3.349036	3.759381	2.947358
ENSMUSG00000000600	0.203872	0.646738	0.264733	0.451463	0.719900	1.039794
ENSMUSG00000000605	-0.110900	0.251496	0.399240	0.163305	0.090693	0.376123
ENSMUSG00000000628	0.252727	-0.285538	-0.219214	-1.532741	-2.595894	-3.098787
ENSMUSG00000000631	0.281577	-0.350794	-0.711076	-0.643900	-0.477952	-0.192550
ENSMUSG00000000673	1.019044	0.819653	1.081939	2.568348	1.421831	1.385562
ENSMUSG00000000682	-0.935704	-0.910614	-1.498342	-1.042456	-1.970391	-1.781144
ENSMUSG00000000686	-0.163642	-0.865872	-0.140068	-1.082652	0.039836	1.059564
ENSMUSG00000000690	1.626310	0.291358	-0.258859	0.683941	0.257048	0.113312
ENSMUSG00000000693	-1.171506	-0.121608	-0.017525	-0.596401	-0.782455	-0.471351
ENSMUSG00000000708	0.168050	-0.452862	0.054965	0.568617	1.074677	1.282471
ENSMUSG00000000711	0.170963	0.183429	0.342486	0.825722	1.315558	1.344453
ENSMUSG00000000738	-0.329454	-0.061107	0.091561	0.045094	-0.166073	-0.118029
ENSMUSG00000000740	-0.125245	-0.129827	0.110652	-0.317163	-0.307041	0.027017
ENSMUSG00000000743	0.000759	-0.095014	0.248630	0.359932	0.854640	1.017851
ENSMUSG00000000751	0.224608	0.187194	0.700702	0.288158	0.221055	-0.318491
ENSMUSG00000000753	1.967642	1.563934	-0.797601	-1.811948	-2.462436	-2.132654
ENSMUSG00000000759	0.045464	0.080473	0.167450	0.173750	-0.006259	-0.280988
ENSMUSG00000000776	-0.391048	-0.572300	-0.693713	-1.071165	-1.771973	-2.052910
ENSMUSG00000000782	0.286234	-0.000038	0.094101	-1.520651	-3.176586	-2.255686
ENSMUSG00000000787	0.157722	0.026147	0.243016	-0.197382	0.157943	0.112891
ENSMUSG00000000791	-1.387189	-0.954729	-0.537626	-0.705690	-0.496030	-0.073705
ENSMUSG00000000792	-0.284027	0.482959	-0.427357	0.787043	0.101456	0.715019
ENSMUSG00000000804	0.050005	0.218226	0.368697	0.285890	0.560185	1.114418
ENSMUSG00000000811	1.008730	0.130656	-0.809997	-1.498890	-1.941147	-1.882665
ENSMUSG00000000823	0.249475	0.892046	1.045557	1.253960	1.159315	1.150496
ENSMUSG00000000826	0.109508	0.086282	0.270055	-0.006536	0.297618	0.041126
ENSMUSG00000000827	-0.289607	-0.068953	-0.413645	-0.531484	-0.521827	-0.490907
ENSMUSG00000000838	-0.177518	-0.421942	0.223706	-0.484774	-0.368140	-0.441492
ENSMUSG00000000861	0.425335	-1.150161	-1.263682	-1.533416	-2.030300	-2.036956
ENSMUSG00000000876	0.038621	0.492253	0.128242	1.019817	0.767433	0.714923
ENSMUSG00000000884	-0.491900	-0.225243	-0.838229	-0.690651	-1.810933	-2.530580
ENSMUSG00000000901	0.168604	-0.268161	-0.395455	0.061665	0.186715	0.322689
ENSMUSG00000000902	-0.072996	-0.184664	-0.283129	-0.032423	-0.468166	-0.890461
ENSMUSG00000000903	-0.220863	-0.366667	-0.806496	-0.291022	0.031372	-0.651275
ENSMUSG00000000915	0.219525	0.778524	1.432180	1.464284	1.184940	1.278265
ENSMUSG00000000916	-0.251450	-0.242099	-1.150386	-1.166932	-1.797394	-2.148697
ENSMUSG00000000934	-1.025979	-0.286450	-1.474223	-1.850755	-2.827988	-2.852392
ENSMUSG00000000957	0.028050	-0.417962	-0.609973	-0.616431	-0.096088	-0.196486
ENSMUSG00000000958	0.320518	-0.085179	-0.436463	0.603626	1.900881	2.403926
ENSMUSG00000000959	0.093016	0.256570	-0.117768	0.363448	0.668261	0.634874
ENSMUSG00000000976	-0.126628	-0.053931	-0.289631	0.128316	0.284477	0.262769
ENSMUSG00000000982	1.755697	0.232834	2.274476	3.606118	4.816209	3.946021
ENSMUSG00000001016	-0.068423	-0.156340	-0.339896	-0.369928	-0.562981	-0.759478
ENSMUSG00000001017	-0.091723	0.011684	0.143606	-0.363362	-0.583390	-0.546528
ENSMUSG00000001018	-0.054338	0.038343	0.123961	0.669548	0.746064	1.303515
ENSMUSG00000001027	1.322579	1.210537	0.515168	0.568760	1.021380	1.498661
ENSMUSG00000001029	0.050920	0.562371	0.920494	1.405549	1.376806	1.409430
ENSMUSG00000001034	-0.165633	0.154405	-0.114960	0.119192	-0.044493	-0.031318
ENSMUSG00000001039	-0.040212	0.697606	0.164505	1.115957	0.033737	1.052471
ENSMUSG00000001052	0.382725	0.289263	0.375177	0.411732	0.538920	0.296658
ENSMUSG00000001053	0.689863	0.399240	0.953366	-0.061980	-0.609079	0.134638
ENSMUSG00000001054	-0.123667	0.383699	1.038303	1.164386	0.941170	1.198788
ENSMUSG00000001056	-0.285138	-0.380666	-1.021162	-1.407647	-2.244689	-2.411327
ENSMUSG00000001062	0.018141	0.303982	0.360674	0.636590	0.651662	0.671962
ENSMUSG00000001065	-0.030410	-0.080325	-0.419629	-0.266802	-0.203430	0.076121
ENSMUSG00000001082	0.118658	-0.364456	-0.617474	-0.848934	-0.966216	-1.215182
ENSMUSG00000001089	0.683559	0.062500	-0.340096	-0.286923	-0.323177	-0.087352
ENSMUSG00000001098	0.006958	-0.254603	0.619818	0.200755	1.361659	1.341528
ENSMUSG00000001100	0.034280	0.095196	-0.156578	-0.332543	-0.686510	-0.783476
ENSMUSG00000001105	0.023301	0.019006	-0.351285	0.102656	-0.428925	-0.365638
ENSMUSG00000001123	-0.518911	-0.522559	-1.133429	-1.867395	-1.919153	-2.044614
ENSMUSG00000001127	-0.217033	0.194360	-0.169611	0.445053	-0.001360	-0.118584
ENSMUSG00000001128	0.038357	0.126257	0.341345	0.563140	0.432695	0.127992
ENSMUSG00000001134	-0.237817	0.086411	-0.553944	-0.098157	-1.051088	-0.604579
ENSMUSG00000001138	0.117032	0.037382	0.090497	-0.119084	0.100511	-0.111387
ENSMUSG00000001143	0.161143	0.128770	0.482974	0.825155	0.820285	0.540887
ENSMUSG00000001150	0.040568	-0.080667	0.378853	0.332458	0.940424	0.780214
ENSMUSG00000001151	-0.025538	-0.260617	-0.127498	-0.403723	-0.003185	0.121065
ENSMUSG00000001156	-0.043375	-0.034130	0.076499	1.323346	1.347456	1.385651
ENSMUSG00000001157	0.036256	-0.083483	0.210966	0.069802	0.386667	0.219801
ENSMUSG00000001158	-0.171437	-0.211457	-0.153935	-0.564207	-0.917208	-0.144346
ENSMUSG00000001166	-0.337187	-0.668461	-0.007872	0.485309	0.529266	0.757830
ENSMUSG00000001173	-0.066965	-0.629159	-1.065361	-1.010502	-0.907413	-0.715036
ENSMUSG00000001175	-0.093267	-0.069297	0.166490	0.001027	-0.125406	-0.268947
ENSMUSG00000001211	0.634922	0.931300	0.951658	0.804233	0.456537	0.458330
ENSMUSG00000001227	0.425815	-1.787389	-2.634441	-1.529655	-2.016204	-2.214182
ENSMUSG00000001228	-0.084403	-0.258805	-0.120172	-0.245224	-0.353703	-1.143980
ENSMUSG00000001229	0.042923	-0.149776	0.310914	0.127822	0.343874	0.011263
ENSMUSG00000001240	-0.947553	-0.761213	-2.432034	-2.824905	-4.519058	-4.555993
ENSMUSG00000001247	-0.302171	0.020547	-0.924403	0.358230	-0.478935	0.310089
ENSMUSG00000001248	0.163805	0.133590	0.045662	0.901267	1.576962	2.200807
ENSMUSG00000001280	0.293078	-0.439923	0.159146	-0.471678	0.267816	-0.086218
ENSMUSG00000001281	0.987527	2.386129	5.269181	4.372658	2.949283	1.094786
ENSMUSG00000001285	0.112571	0.319684	0.357164	0.241705	-0.182783	-0.259599
ENSMUSG00000001288	0.810351	0.760550	2.170723	0.169001	0.774460	0.267996
ENSMUSG00000001289	0.243042	0.681101	0.509893	0.326699	0.207205	1.174429
ENSMUSG00000001300	-0.291639	0.052697	-1.826522	-0.828212	-0.485583	-1.022376
ENSMUSG00000001305	-0.022199	0.189156	-0.476004	-1.336135	-2.315823	-1.966045
ENSMUSG00000001313	-0.123202	1.257193	2.006963	1.734880	1.262865	0.679290
ENSMUSG00000001323	0.563193	0.789902	0.618115	0.409157	0.788227	0.833967
ENSMUSG00000001348	-0.374180	-0.488026	-1.704831	-1.235551	-0.585390	0.067166
ENSMUSG00000001366	0.126241	-0.109646	0.158939	-0.322476	-0.179852	-0.213037
ENSMUSG00000001376	-0.008568	0.069014	-0.506686	-0.730114	-0.438857	-0.214911
ENSMUSG00000001379	-0.110910	0.103964	0.150957	0.044714	0.357405	0.134368
ENSMUSG00000001380	-0.127666	-0.218484	0.021167	-0.183892	-0.269279	-0.625404
ENSMUSG00000001383	-0.023749	0.100821	-0.077969	0.240590	0.143903	0.186401
ENSMUSG00000001403	0.066504	0.255827	0.269729	0.137793	0.279344	0.183541
ENSMUSG00000001415	-0.057228	-0.001513	-0.119480	-0.249661	-0.604215	-0.724502
ENSMUSG00000001416	0.038450	0.086942	-0.144838	-0.722324	-1.194699	-1.480972
ENSMUSG00000001418	0.337844	0.187816	-2.541335	-2.270200	-1.933362	-1.966081
ENSMUSG00000001419	-0.390682	-0.294328	0.305716	0.464997	0.923104	0.581234
