# Gene name	miRNA ID
ENSMUSG00000000001	mmu-miR-151-3p
ENSMUSG00000000001	mmu-miR-363-5p
ENSMUSG00000000001	mmu-miR-450b-5p
ENSMUSG00000000001	mmu-miR-542-3p
ENSMUSG00000000001	mmu-miR-669f-3p
ENSMUSG00000000028	mmu-miR-342-3p
ENSMUSG00000000056	mmu-miR-1187
ENSMUSG00000000056	mmu-miR-1198-5p
ENSMUSG00000000056	mmu-miR-151-3p
ENSMUSG00000000056	mmu-miR-188-3p
ENSMUSG00000000056	mmu-miR-342-3p
ENSMUSG00000000056	mmu-miR-363-5p
ENSMUSG00000000056	mmu-miR-450b-5p
ENSMUSG00000000056	mmu-miR-466d-5p
ENSMUSG00000000056	mmu-miR-466k
ENSMUSG00000000056	mmu-miR-466n-3p
ENSMUSG00000000056	mmu-miR-501-3p
ENSMUSG00000000056	mmu-miR-532-3p
ENSMUSG00000000056	mmu-miR-542-3p
ENSMUSG00000000056	mmu-miR-542-5p
ENSMUSG00000000056	mmu-miR-669f-3p
ENSMUSG00000000078	mmu-miR-1187
ENSMUSG00000000078	mmu-miR-1198-5p
ENSMUSG00000000078	mmu-miR-151-3p
ENSMUSG00000000078	mmu-miR-152-3p
ENSMUSG00000000078	mmu-miR-188-3p
ENSMUSG00000000078	mmu-miR-188-5p
ENSMUSG00000000078	mmu-miR-200a-5p
ENSMUSG00000000078	mmu-miR-22-3p
ENSMUSG00000000078	mmu-miR-3074-1-3p
ENSMUSG00000000078	mmu-miR-342-3p
ENSMUSG00000000078	mmu-miR-381-3p
ENSMUSG00000000078	mmu-miR-410-3p
ENSMUSG00000000078	mmu-miR-450b-5p
ENSMUSG00000000078	mmu-miR-466d-5p
ENSMUSG00000000078	mmu-miR-466k
ENSMUSG00000000078	mmu-miR-466n-3p
ENSMUSG00000000078	mmu-miR-501-3p
ENSMUSG00000000078	mmu-miR-532-3p
ENSMUSG00000000078	mmu-miR-542-3p
ENSMUSG00000000078	mmu-miR-669f-3p
ENSMUSG00000000078	mmu-miR-674-3p
ENSMUSG00000000085	mmu-miR-34b-5p
ENSMUSG00000000085	mmu-miR-450b-5p
ENSMUSG00000000085	mmu-miR-532-3p
ENSMUSG00000000093	mmu-miR-151-3p
ENSMUSG00000000093	mmu-miR-501-3p
ENSMUSG00000000093	mmu-miR-532-3p
ENSMUSG00000000131	mmu-miR-34b-5p
ENSMUSG00000000131	mmu-miR-362-5p
ENSMUSG00000000131	mmu-miR-363-5p
ENSMUSG00000000134	mmu-miR-151-3p
ENSMUSG00000000134	mmu-miR-188-5p
ENSMUSG00000000134	mmu-miR-3091-3p
ENSMUSG00000000134	mmu-miR-342-3p
ENSMUSG00000000134	mmu-miR-363-5p
ENSMUSG00000000134	mmu-miR-532-3p
ENSMUSG00000000148	mmu-miR-3058-5p
ENSMUSG00000000148	mmu-miR-363-5p
ENSMUSG00000000149	mmu-miR-342-3p
ENSMUSG00000000149	mmu-miR-34b-3p
ENSMUSG00000000149	mmu-miR-362-3p
ENSMUSG00000000149	mmu-miR-450b-5p
ENSMUSG00000000149	mmu-miR-466d-5p
ENSMUSG00000000159	mmu-miR-1198-5p
ENSMUSG00000000159	mmu-miR-362-5p
ENSMUSG00000000159	mmu-miR-409-3p
ENSMUSG00000000168	mmu-miR-188-3p
ENSMUSG00000000168	mmu-miR-342-3p
ENSMUSG00000000168	mmu-miR-34b-5p
ENSMUSG00000000168	mmu-miR-450b-5p
ENSMUSG00000000168	mmu-miR-466n-3p
ENSMUSG00000000168	mmu-miR-532-3p
ENSMUSG00000000168	mmu-miR-542-5p
ENSMUSG00000000168	mmu-miR-669f-3p
ENSMUSG00000000184	mmu-miR-1187
ENSMUSG00000000184	mmu-miR-1198-5p
ENSMUSG00000000184	mmu-miR-151-3p
ENSMUSG00000000184	mmu-miR-15a-5p
ENSMUSG00000000184	mmu-miR-188-3p
ENSMUSG00000000184	mmu-miR-188-5p
ENSMUSG00000000184	mmu-miR-26a-5p
ENSMUSG00000000184	mmu-miR-3074-1-3p
ENSMUSG00000000184	mmu-miR-3091-3p
ENSMUSG00000000184	mmu-miR-342-3p
ENSMUSG00000000184	mmu-miR-34b-3p
ENSMUSG00000000184	mmu-miR-362-5p
ENSMUSG00000000184	mmu-miR-363-5p
ENSMUSG00000000184	mmu-miR-434-5p
ENSMUSG00000000184	mmu-miR-450b-5p
ENSMUSG00000000184	mmu-miR-466d-5p
ENSMUSG00000000184	mmu-miR-501-3p
ENSMUSG00000000184	mmu-miR-501-5p
ENSMUSG00000000184	mmu-miR-532-3p
ENSMUSG00000000184	mmu-miR-674-3p
ENSMUSG00000000184	mmu-miR-93-5p
ENSMUSG00000000194	mmu-miR-1187
ENSMUSG00000000194	mmu-miR-188-3p
ENSMUSG00000000194	mmu-miR-188-5p
ENSMUSG00000000194	mmu-miR-339-3p
ENSMUSG00000000194	mmu-miR-342-3p
ENSMUSG00000000194	mmu-miR-34b-5p
ENSMUSG00000000194	mmu-miR-363-5p
ENSMUSG00000000194	mmu-miR-450b-5p
ENSMUSG00000000194	mmu-miR-501-5p
ENSMUSG00000000194	mmu-miR-532-3p
ENSMUSG00000000194	mmu-miR-532-5p
ENSMUSG00000000223	mmu-miR-1187
ENSMUSG00000000223	mmu-miR-1198-5p
ENSMUSG00000000223	mmu-miR-151-3p
ENSMUSG00000000223	mmu-miR-3074-1-3p
ENSMUSG00000000223	mmu-miR-3091-3p
ENSMUSG00000000223	mmu-miR-342-3p
ENSMUSG00000000223	mmu-miR-34b-5p
ENSMUSG00000000223	mmu-miR-362-5p
ENSMUSG00000000223	mmu-miR-409-3p
ENSMUSG00000000223	mmu-miR-450b-5p
ENSMUSG00000000223	mmu-miR-466d-5p
ENSMUSG00000000223	mmu-miR-466k
ENSMUSG00000000223	mmu-miR-466n-3p
ENSMUSG00000000223	mmu-miR-532-3p
ENSMUSG00000000223	mmu-miR-532-5p
ENSMUSG00000000223	mmu-miR-542-3p
ENSMUSG00000000223	mmu-miR-669f-3p
ENSMUSG00000000247	mmu-miR-34a-5p
ENSMUSG00000000247	mmu-miR-362-3p
ENSMUSG00000000247	mmu-miR-409-3p
ENSMUSG00000000247	mmu-miR-450b-5p
ENSMUSG00000000247	mmu-miR-532-3p
ENSMUSG00000000247	mmu-miR-542-5p
ENSMUSG00000000247	mmu-miR-669f-3p
ENSMUSG00000000275	mmu-miR-188-3p
ENSMUSG00000000275	mmu-miR-188-5p
ENSMUSG00000000275	mmu-miR-34b-3p
ENSMUSG00000000275	mmu-miR-362-3p
ENSMUSG00000000275	mmu-miR-362-5p
ENSMUSG00000000275	mmu-miR-450b-5p
ENSMUSG00000000275	mmu-miR-501-5p
ENSMUSG00000000275	mmu-miR-532-3p
ENSMUSG00000000275	mmu-miR-532-5p
ENSMUSG00000000275	mmu-miR-542-3p
ENSMUSG00000000276	mmu-miR-151-3p
ENSMUSG00000000276	mmu-miR-188-3p
ENSMUSG00000000276	mmu-miR-3074-1-3p
ENSMUSG00000000276	mmu-miR-339-3p
ENSMUSG00000000276	mmu-miR-342-3p
ENSMUSG00000000276	mmu-miR-34b-5p
ENSMUSG00000000276	mmu-miR-362-3p
ENSMUSG00000000276	mmu-miR-363-5p
ENSMUSG00000000276	mmu-miR-434-5p
ENSMUSG00000000276	mmu-miR-450b-5p
ENSMUSG00000000276	mmu-miR-466d-5p
ENSMUSG00000000276	mmu-miR-466k
ENSMUSG00000000276	mmu-miR-466n-3p
ENSMUSG00000000276	mmu-miR-532-3p
ENSMUSG00000000276	mmu-miR-532-5p
ENSMUSG00000000276	mmu-miR-542-3p
ENSMUSG00000000276	mmu-miR-669f-3p
ENSMUSG00000000278	mmu-miR-532-3p
ENSMUSG00000000282	mmu-miR-1187
ENSMUSG00000000282	mmu-miR-1198-5p
ENSMUSG00000000282	mmu-miR-188-3p
ENSMUSG00000000282	mmu-miR-34b-5p
ENSMUSG00000000282	mmu-miR-466d-5p
ENSMUSG00000000282	mmu-miR-466k
ENSMUSG00000000282	mmu-miR-532-3p
ENSMUSG00000000290	mmu-miR-362-5p
ENSMUSG00000000290	mmu-miR-450b-5p
ENSMUSG00000000290	mmu-miR-466n-3p
ENSMUSG00000000301	mmu-miR-532-5p
ENSMUSG00000000325	mmu-miR-188-3p
ENSMUSG00000000325	mmu-miR-34b-5p
ENSMUSG00000000325	mmu-miR-362-5p
ENSMUSG00000000325	mmu-miR-532-3p
ENSMUSG00000000325	mmu-miR-532-5p
ENSMUSG00000000325	mmu-miR-542-3p
ENSMUSG00000000326	mmu-miR-151-3p
ENSMUSG00000000326	mmu-miR-188-3p
ENSMUSG00000000326	mmu-miR-34b-5p
ENSMUSG00000000326	mmu-miR-362-3p
ENSMUSG00000000326	mmu-miR-466d-5p
ENSMUSG00000000326	mmu-miR-466k
ENSMUSG00000000326	mmu-miR-542-3p
ENSMUSG00000000340	mmu-miR-151-3p
ENSMUSG00000000340	mmu-miR-3074-1-3p
ENSMUSG00000000340	mmu-miR-342-3p
ENSMUSG00000000340	mmu-miR-363-3p
ENSMUSG00000000340	mmu-miR-409-3p
ENSMUSG00000000340	mmu-miR-450b-5p
ENSMUSG00000000340	mmu-miR-466n-3p
ENSMUSG00000000346	mmu-miR-151-3p
ENSMUSG00000000346	mmu-miR-362-5p
ENSMUSG00000000346	mmu-miR-501-3p
ENSMUSG00000000346	mmu-miR-669f-3p
ENSMUSG00000000378	mmu-miR-3074-1-3p
ENSMUSG00000000378	mmu-miR-466d-5p
ENSMUSG00000000384	mmu-miR-1187
ENSMUSG00000000384	mmu-miR-1198-5p
ENSMUSG00000000384	mmu-miR-466k
ENSMUSG00000000409	mmu-miR-1198-5p
ENSMUSG00000000409	mmu-miR-151-3p
ENSMUSG00000000409	mmu-miR-34b-5p
ENSMUSG00000000409	mmu-miR-466d-5p
ENSMUSG00000000409	mmu-miR-466k
ENSMUSG00000000409	mmu-miR-542-3p
ENSMUSG00000000409	mmu-miR-542-5p
ENSMUSG00000000420	mmu-miR-188-3p
ENSMUSG00000000420	mmu-miR-450b-5p
ENSMUSG00000000420	mmu-miR-532-3p
ENSMUSG00000000439	mmu-miR-32-3p
ENSMUSG00000000439	mmu-miR-362-3p
ENSMUSG00000000439	mmu-miR-450b-5p
ENSMUSG00000000439	mmu-miR-542-3p
ENSMUSG00000000531	mmu-miR-1187
ENSMUSG00000000531	mmu-miR-188-3p
ENSMUSG00000000531	mmu-miR-450b-5p
ENSMUSG00000000531	mmu-miR-466d-5p
ENSMUSG00000000531	mmu-miR-466k
ENSMUSG00000000531	mmu-miR-532-3p
ENSMUSG00000000532	mmu-miR-188-3p
ENSMUSG00000000532	mmu-miR-188-5p
ENSMUSG00000000532	mmu-miR-342-3p
ENSMUSG00000000532	mmu-miR-362-3p
ENSMUSG00000000532	mmu-miR-450b-5p
ENSMUSG00000000532	mmu-miR-532-3p
ENSMUSG00000000532	mmu-miR-542-3p
ENSMUSG00000000532	mmu-miR-669f-3p
ENSMUSG00000000538	mmu-miR-1187
ENSMUSG00000000538	mmu-miR-151-3p
ENSMUSG00000000538	mmu-miR-188-3p
ENSMUSG00000000538	mmu-miR-3074-1-3p
ENSMUSG00000000538	mmu-miR-342-3p
ENSMUSG00000000538	mmu-miR-34b-5p
ENSMUSG00000000538	mmu-miR-450b-5p
ENSMUSG00000000538	mmu-miR-501-5p
ENSMUSG00000000538	mmu-miR-532-3p
ENSMUSG00000000538	mmu-miR-532-5p
ENSMUSG00000000538	mmu-miR-542-3p
ENSMUSG00000000538	mmu-miR-542-5p
ENSMUSG00000000555	mmu-miR-151-3p
ENSMUSG00000000555	mmu-miR-34b-5p
ENSMUSG00000000555	mmu-miR-450b-5p
ENSMUSG00000000561	mmu-miR-1198-5p
ENSMUSG00000000561	mmu-miR-188-3p
ENSMUSG00000000561	mmu-miR-188-5p
ENSMUSG00000000561	mmu-miR-3074-1-3p
ENSMUSG00000000561	mmu-miR-339-3p
ENSMUSG00000000561	mmu-miR-342-3p
ENSMUSG00000000561	mmu-miR-363-5p
ENSMUSG00000000561	mmu-miR-409-3p
ENSMUSG00000000561	mmu-miR-450b-5p
ENSMUSG00000000561	mmu-miR-466n-3p
ENSMUSG00000000561	mmu-miR-532-5p
ENSMUSG00000000561	mmu-miR-542-3p
ENSMUSG00000000561	mmu-miR-669f-3p
ENSMUSG00000000562	mmu-miR-188-3p
ENSMUSG00000000562	mmu-miR-342-3p
ENSMUSG00000000562	mmu-miR-363-5p
ENSMUSG00000000562	mmu-miR-501-3p
ENSMUSG00000000562	mmu-miR-501-5p
ENSMUSG00000000568	mmu-miR-1198-5p
ENSMUSG00000000568	mmu-miR-151-3p
ENSMUSG00000000568	mmu-miR-188-3p
ENSMUSG00000000568	mmu-miR-200b-3p
