Protein	Ratio_0	Ratio_2	Ratio_6	Ratio_12	Ratio_18	Ratio_24
41700	0.984932	1.345787	-2.178549	3.104833	0.064510	0.979295
41884	1.722798	2.321551	-0.682355	3.167509	-1.776586	-0.765697
41888	0.984932	-0.207584	0.621730	3.801886	-2.691291	0.516244
41889	-0.707514	1.633329	-0.820461	0.600845	-1.419426	0.237157
41891	1.504547	2.358439	-0.961949	-1.209947	0.335622	0.888409
41893	-1.065889	0.973950	-0.391717	0.787819	-5.315184	-1.906534
Aacs	0.984932	2.337657	-1.067347	0.672080	0.064510	-1.147971
Aars	-0.845178	1.931205	-0.316481	-0.820755	-1.004967	-0.641305
Aatf	4.387123	0.287959	-1.284441	-3.544938	0.425918	-0.859152
Abcb7	-0.207331	0.818810	0.219607	-2.235634	-2.210406	-0.034193
Abcd1	14.843500	10.315581	1.113210	0.672080	4.089930	-1.147971
Abcd3	0.984932	-1.136315	-0.836588	0.672080	0.064510	-0.212916
Abce1	-0.456474	1.180160	-0.249197	0.604413	2.353801	-1.262426
Abcf1	-1.739494	1.186352	-0.990521	-3.214038	-1.048077	0.193602
Abcf2	-0.780431	1.958399	-0.802014	-0.610422	-3.220587	-1.123889
Abi1	0.984932	-2.811179	-2.171082	0.672080	0.064510	-0.299337
Abi3	0.984932	3.247998	-0.647376	0.672080	0.064510	-0.606512
Abracl	0.984932	-0.873764	-0.225768	4.806752	0.064510	-2.065858
Acaa1a	0.984932	2.015490	-1.632509	0.894885	0.064510	1.037200
Acaa2	0.514490	1.027998	-0.592372	2.968165	0.573930	-0.307035
Acaca	-1.599246	1.566327	-0.432576	-2.424402	-1.402423	0.852301
Acad9	-0.670793	0.466909	-0.714831	0.732153	-2.806017	-0.825923
Acadl	-0.212211	0.475634	0.128628	-0.011906	0.452075	-0.748185
Acadm	-0.948267	-0.030027	-1.795821	2.213415	-3.497424	1.247823
Acads	0.209984	0.901716	-1.332951	2.534214	0.064510	-0.861006
Acadsb	0.984932	3.773466	-1.623908	0.672080	0.064510	2.297884
Acadvl	3.036326	-0.694269	-0.409576	-2.151631	-1.937802	0.348383
Acap1	11.678460	11.943294	1.113210	0.728365	0.064510	-1.147971
Acat1	0.162525	1.023009	-0.235086	0.270592	-0.949390	-0.960623
Acat2	0.984932	4.771314	0.146164	3.102100	0.064510	0.001158
Acbd3	0.070801	1.221580	-0.786311	2.275959	0.932390	0.212620
Acin1	-0.723096	0.574832	0.059720	1.041141	0.620236	-0.685718
Acly	-1.019297	1.297029	-0.439321	-0.550818	-2.204156	-0.894799
Aco1	0.984932	1.533827	-2.539168	9.568249	0.064510	-0.742732
Aco2	-0.174680	1.278886	-0.463498	0.602063	0.115412	-0.592973
Acot13	-0.736981	0.643315	0.461189	-2.718973	0.428490	0.272023
Acot7	-0.835960	-1.942655	-0.393395	6.895015	0.064510	-2.745205
Acp1	0.360729	1.947925	-1.026968	1.423536	-1.403511	-0.753023
Acp6	-0.506302	2.996077	-0.591943	-1.045728	-1.408021	-0.956313
Acsf2	-0.181741	0.410821	0.270237	-2.252093	2.110774	-0.368221
Acsl3	-0.598896	0.799356	1.101054	0.106700	2.385974	-0.198069
Acsl4	0.139335	2.758272	-1.315453	-1.972068	-3.694813	-0.177216
Acsl5	-0.864890	5.121149	-0.766089	-1.336186	-0.181764	-0.024418
Acss1	-0.587937	-0.658682	1.113210	-1.356273	-0.104664	-2.637198
Acta1	0.984932	3.624768	0.109528	11.834526	-4.437805	-0.997167
Actb	-0.142687	0.330074	-0.119326	-0.261087	-0.547608	-0.976646
Actbl2	0.947527	1.191722	3.067019	-6.248282	-2.310116	-0.519039
Actg1	0.001987	0.760508	0.034474	-0.754074	-0.646281	-1.147971
Actl6a	-1.090183	1.399537	-0.059613	-0.897505	-1.128664	-0.820052
Actn4	0.018950	1.487383	-0.070442	1.289493	-1.292286	-0.788230
Actr1a	-1.086937	5.332003	-0.865248	-2.982742	-1.707498	-1.078082
Actr2	0.274403	1.429303	-0.645897	-0.503991	-0.736706	-0.244437
Actr3	-0.574720	1.149390	-0.502268	0.436316	-0.448541	-0.733448
Acy1	0.984932	1.399583	-3.530387	0.672080	-1.474227	-1.147971
Acyp1	0.984932	0.896736	-2.642135	0.672080	2.320388	-1.147971
Add1	2.438721	2.915046	1.508404	-1.117916	2.574605	-1.147971
Adh5	0.062407	0.047548	-0.831322	-0.203333	-4.004638	-0.759519
Adk	1.262705	5.257668	1.113210	0.672080	0.360091	-1.147971
Adnp	-2.162895	2.962779	-3.261751	-2.836903	-2.227194	-1.147971
Adpgk	-1.367233	1.116494	-1.694484	0.672080	-3.976136	-1.022635
Adrbk1	1.439111	0.047491	-0.454345	-5.879661	-2.883997	0.226175
Adrm1	0.817257	1.037803	-0.581388	-4.513620	1.986731	0.153242
Adsl	0.187620	2.001252	-0.302836	-0.334178	-3.370499	-0.852690
Adss	1.460360	2.059126	-0.117589	4.804354	-2.862736	-1.217241
Adssl1	2.215813	2.543090	-0.552096	-3.259128	1.164314	0.988325
Afg3l2	1.084857	1.154426	1.113210	-2.010606	2.140428	-1.147971
Agk	0.984932	-0.852686	-1.457159	2.562276	0.064510	-0.743908
Agpat9	0.984932	1.221580	1.113210	-3.157458	2.849417	-1.147971
Agps	0.005060	-2.053236	4.077407	-3.227289	2.237976	-1.309995
Ahcy	-0.367333	0.739469	-0.331394	0.415154	-1.024478	-0.985953
Ahcyl2	0.359526	-0.928747	1.113210	0.672080	-2.698212	-1.147971
Ahsa1	-0.477435	2.293989	-0.398771	-1.235367	0.006862	-0.974954
Aifm1	-0.984494	3.089580	-0.848103	-1.655163	0.055880	-0.507355
Aimp1	-0.382327	1.735618	-0.555584	-0.208162	-2.025910	-0.920232
Aimp2	3.204175	-1.586026	1.986145	1.042101	-1.061071	-1.218522
Aip	0.984932	2.174098	-0.509272	4.619698	0.064510	0.536107
Ak2	-0.291101	1.095529	-0.511245	-1.070864	-0.460065	-1.032450
Akap12	0.250634	-2.148288	0.500573	-4.325323	2.532050	3.890349
Akap8	0.806511	1.289477	1.113210	-3.855766	1.820976	-2.033925
Akr1a1	0.338108	1.318951	-0.547429	0.729460	-0.855851	-0.791489
Akr1b1	-0.562741	0.858254	-0.388778	-0.848801	-0.892970	-0.750758
Akr1c13	0.128181	0.865369	-0.830776	1.757849	2.853549	1.047907
Akr1e2	-3.808048	1.221580	1.113210	0.672080	2.492114	-1.147971
Akr7a2	-0.426943	0.131380	-0.355722	-1.843957	1.374633	-0.081084
Aktip	0.984932	8.093310	-0.769463	6.166777	0.064510	-0.236006
Alad	0.984932	0.012490	0.010995	6.889513	0.064510	-1.138333
Aldh16a1	-1.006004	5.318821	-2.570905	2.354200	-2.140408	0.588688
Aldh18a1	-0.838406	1.449293	-0.248478	-0.371286	-2.331738	-0.573160
Aldh2	-0.372096	1.386363	-0.065841	0.530576	-0.850582	-0.310097
Aldh4a1	0.283166	0.338044	-1.261439	-3.206178	-0.180115	-1.440460
Aldh9a1	-0.055694	1.121591	-0.389146	-0.467577	0.159306	-0.375333
Aldoa	-0.504910	1.123393	-0.358177	-0.478499	-0.585163	-1.461420
Alg2	0.984932	-0.063911	-0.686286	0.672080	0.064510	-0.912044
Alpl	-1.061979	-0.129339	-0.086169	-2.069581	-1.391940	-2.024555
Alyref	-1.270232	1.977380	-0.488991	7.765403	0.046101	-0.833420
Anapc1	0.111614	2.060194	1.113210	-2.437413	-0.268187	-1.147971
Ankle2	0.984932	1.221580	9.667488	-2.642026	0.801566	-1.147971
Ankrd17	-0.140854	-1.542537	-0.736904	0.672080	-0.088518	-1.147971
Ankrd28	0.984932	-1.500002	-1.231337	-2.760173	0.064510	-1.972777
Anln	2.951901	1.221580	1.113210	-3.063534	1.931988	-1.147971
Anp32a	-0.891632	0.475525	0.136243	-0.514535	-2.064892	-1.522944
Anp32b	-1.070830	1.935599	-0.233799	1.964877	-0.996000	-0.374469
Anp32e	0.680586	3.230582	-0.026236	8.599734	-1.581313	-0.028072
Anxa1	0.935754	3.593078	-0.846053	-0.012531	0.064510	-0.307585
Anxa7	3.267325	0.949086	1.558920	-1.353855	2.175479	-1.003286
Ap1b1	0.824780	1.466237	-3.515940	-4.247638	0.627566	-5.844062
Ap1m1	13.559269	10.678481	1.113210	0.672080	0.064510	-1.147971
Ap1s1	-1.445591	1.221580	1.113210	2.862883	-0.481534	-1.147971
Ap2a1	-1.555736	1.282046	-0.848527	-2.474498	0.064510	0.435415
Ap2b1	-0.579448	3.061493	-1.334762	-2.425566	-0.841185	1.062543
Ap2m1	4.235733	0.682928	-0.162658	0.672080	-1.714535	-0.781163
Ap3d1	0.984932	-0.368577	-1.737251	0.672080	0.064510	-0.520667
Apbb1ip	-3.526599	1.221580	1.113210	-3.948931	0.516622	-1.147971
Apeh	0.984932	4.158008	1.113210	0.672080	0.064510	-0.040817
Apex1	-0.977452	0.663723	-0.465249	-0.402569	-0.264157	-0.920238
Api5	0.086844	1.012367	-0.510098	0.638079	-3.462219	-1.162138
Apip	0.984932	1.221580	1.113210	0.441794	-0.005300	-1.147971
Apmap	-0.566620	-0.191820	0.314528	1.807014	-2.103440	-1.991241
Apoa1bp	0.984932	1.561033	-1.361884	4.375016	0.064510	0.105189
Apoo	1.358244	0.057942	1.113210	2.598120	-1.169407	0.118969
Apool	-1.794556	0.886350	0.444941	-1.239964	-0.416108	-1.465648
Aprt	0.984932	0.229032	0.044568	4.132896	-1.407739	-0.522836
Aqr	0.086382	1.014561	-1.776542	-0.922448	-1.244552	-1.147971
Arcn1	-0.760978	1.084664	-1.227179	1.096607	-0.277741	-0.208508
Arf1	-1.033619	0.800225	0.391521	1.156164	-1.366387	-0.905331
Arf4	-0.859095	3.892959	0.084729	-1.294500	-1.365225	-0.027178
Arf5	-0.795831	4.083558	0.086636	-3.393995	1.903789	0.606736
Arf6	-1.383335	-2.927641	0.780810	5.769971	-2.079746	0.705121
Arfgap2	4.084337	1.221580	-5.055795	0.672080	0.064510	-1.147971
Arglu1	-0.470098	6.403156	1.113210	0.672080	2.904308	0.018841
Arhgap1	2.835959	4.855306	-2.251462	0.672080	0.064510	-1.578216
Arhgap17	0.984932	1.221580	0.630127	0.672080	0.810010	1.368205
Arhgap18	-0.437644	1.150909	0.431439	-0.787146	0.064510	-3.932417
Arhgdia	1.266257	2.513250	-0.325512	1.421850	-0.982694	-0.208720
Arhgdib	0.391727	1.191078	-0.277988	-1.359426	-1.140005	-1.286492
Arhgef1	0.796806	1.134820	-0.454841	-0.349869	0.754154	-1.245342
Arhgef2	-0.759043	2.282330	-0.589110	-1.971989	0.767681	-1.298697
Arid1a	-2.521710	-1.071367	1.113210	-4.179078	1.281220	-3.332242
Arih1	0.169275	1.221580	1.113210	0.672080	-1.470577	-1.147971
Arl6ip5	0.908258	0.321403	-1.076628	-2.218402	-2.403863	-1.988535
Arl8b	-0.180708	2.600231	1.435908	-0.614852	-2.445487	3.784490
Armc1	0.984932	1.182390	-2.375721	0.672080	0.064510	1.104804
Armc10	0.194649	1.785551	-1.462183	0.672080	0.064510	-1.147971
Armc6	-0.312216	1.521819	-0.416667	0.672080	0.064510	-0.354745
Armc8	-2.768497	1.221580	10.886159	10.172271	0.064510	-1.147971
Arpc1b	-0.813423	0.339676	-0.190592	-0.568485	-0.242790	-1.639942
Arpc2	-0.577927	1.705491	-0.261416	0.779744	0.071882	-0.331230
Arpc3	-0.411419	0.414439	-0.523829	-0.593616	-1.615419	-1.367790
Arpc4	0.412320	1.085485	-0.440588	2.562580	0.626841	-0.495297
Arpc5	-1.316684	0.442832	-0.540204	1.262541	-0.263175	-1.092133
Arpc5l	0.984932	3.449395	0.130021	5.625620	0.064510	1.536883
Arpp19	-0.518666	-0.295429	4.026625	-4.549323	-1.740390	-1.147971
Arsb	1.939952	2.742900	1.113210	0.672080	1.047977	-1.147971
Asap1	-0.701678	1.221580	1.113210	-4.711535	-0.291832	-1.147971
Asf1b	0.984932	0.296224	-1.208390	0.672080	0.064510	1.940273
Asna1	-0.661980	0.227196	0.479409	0.672080	-0.948984	-1.355713
Asns	0.561999	1.395262	-0.286896	1.286439	-0.538992	-0.754773
Asrgl1	0.810345	1.221580	1.113210	0.672080	-1.880668	-1.147971
Ass1	4.720255	2.022423	-1.886827	5.096940	0.064510	-0.239211
Atad1	0.033661	1.708794	-0.373200	0.222801	2.995767	-0.151300
Atad2	4.418576	-0.261382	-2.408445	-4.676089	3.049725	-1.341191
Atad3	-3.864279	1.189239	-1.035876	0.250252	-1.520810	-1.238281
Atic	0.100564	1.297070	-0.407330	1.150888	-0.430562	-1.401052
Atl3	0.163019	0.885483	-0.161597	4.222459	-1.313132	-1.014243
Atox1	0.984932	1.656152	-0.128847	4.117442	0.064510	3.013350
Atp13a1	-0.070879	5.186133	-3.360412	-3.373919	-1.303721	0.220131
Atp1a1	-0.583456	1.089415	-0.301460	-0.026607	0.152184	-0.354777
Atp1b3	-0.778200	1.024859	-2.300960	5.701477	-3.759450	-2.447306
Atp2a2	-0.312780	0.570285	-0.548288	-0.800278	-0.550903	-0.666498
Atp2a3	0.984932	-0.070350	-0.525470	2.961387	0.064510	-1.147971
Atp5a1	0.366972	0.395223	-0.309540	0.264336	-0.335616	-0.643302
Atp5b	0.262269	1.507867	-0.399166	1.039292	-0.739647	-0.951269
Atp5c1	-0.518705	0.745969	-0.277968	-1.257606	-0.831945	-0.427418
Atp5d	-0.789828	0.933569	-0.490889	-1.759126	-0.623913	-0.599023
Atp5e	-3.977390	1.001815	-1.032561	-1.686477	0.931302	-0.740841
Atp5f1	-0.872501	0.715877	-0.304221	0.063209	-1.437919	-0.679417
Atp5h	-0.840686	1.188988	-0.558991	0.136583	-0.413261	-0.222063
Atp5i	0.006023	-0.149643	-2.077372	-1.612487	0.152695	-0.443509
Atp5j	-1.132606	0.628479	-0.020722	0.813829	-0.717196	-0.487362
Atp5j2	-1.074225	0.597588	-0.357420	1.822645	-1.295474	-0.370354
Atp5l	0.584857	1.524172	-0.083031	-0.193296	-0.994404	-0.787542
Atp5o	-0.636820	1.495839	-0.440984	1.051070	-1.880933	-0.395719
Atp6v0c	0.984932	2.306389	-0.504581	0.672080	0.064510	-0.533849
Atp6v0d1	0.097563	1.221580	1.113210	0.672080	-1.650316	-1.147971
Atp6v1a	-1.533677	1.152910	0.157355	-0.235567	-1.310360	-0.374643
Atp6v1b2	-0.959962	1.409749	-0.456893	-0.890183	-2.942822	-1.590984
Atp6v1c1	-1.204257	0.739721	0.454498	0.672080	0.064510	-1.089614
Atp6v1e1	0.984932	-1.761170	-2.263959	3.131587	-2.319609	-3.609857
Atp6v1g1	-1.496104	1.705613	-0.212227	-1.455668	-0.800742	1.609057
Atp6v1h	-1.670015	1.783093	-0.382955	-0.451635	-0.904405	1.075105
Atpif1	0.520161	-0.103616	-0.580784	1.123514	-4.642217	-0.593765
Atrx	3.155005	4.876622	1.113210	-3.778453	3.644428	-1.298909
Atxn10	-0.368815	1.049338	0.067202	-1.339208	-0.858569	0.361001
Atxn2l	-0.243666	-0.217639	-0.537049	-2.055469	-1.670887	0.081406
Aurkb	-2.399134	6.707396	-0.854150	2.423693	-0.623352	-0.187782
B2m	-0.653525	0.161442	-0.521283	-0.233980	-1.431606	-0.807206
Bag2	-0.239596	0.522385	0.217365	0.368984	1.595858	-1.127518
Bag6	-3.646607	0.978102	-1.618734	1.307612	-0.496632	0.318251
Banf1	-0.225682	0.613417	0.211440	0.565619	-3.179546	-1.571548
Bap18	0.984932	0.559537	-0.457452	0.672080	0.064510	-0.956697
Bax	-0.475996	0.520415	-1.098107	-1.639902	0.258596	-1.283186
Baz1a	-0.718211	0.785722	-1.324923	-1.853237	-0.565711	-2.731092
Baz1b	-1.566832	0.421519	-0.542784	0.134237	-1.582127	-1.021505
Bcap29	0.984932	1.041809	0.025438	-0.133459	1.348500	-0.970619
Bcap31	-0.591568	2.212218	-0.381784	-1.667196	-0.052000	-0.490223
Bcas2	-3.223856	0.243325	-1.455206	-0.324477	1.911428	-0.255924
Bcat2	-0.621775	0.293924	-0.456585	0.254605	-1.852974	0.300323
Bccip	0.984932	1.968071	0.245199	0.672080	0.064510	2.063803
Bckdha	0.984932	1.046097	-0.250218	-0.559056	0.064510	-0.252675
Bcl2l13	-0.720862	1.265286	-0.940749	-3.911931	1.077927	-1.413330
Bcl7c	-1.016831	1.221580	10.477747	10.015322	0.088431	-1.147971
Bclaf1	-0.652860	1.318126	-0.207738	0.028088	0.269839	-0.360757
Bcs1l	0.984932	-0.603242	-0.262858	-4.511028	-0.393321	-1.825993
Begain	0.984932	-0.040524	0.813127	6.942831	0.064510	0.428331
Bin1	-0.994821	1.845323	-0.584423	-2.861986	1.883189	-1.784692
Bin2	-0.026938	1.618851	-0.771773	-4.320777	0.931314	-1.147971
Birc6	0.984932	2.057540	-1.078480	-2.475982	1.413864	0.249712
Blmh	0.984932	3.440690	-0.738872	6.147592	1.784681	2.267709
Blvra	-0.232982	1.221580	1.113210	-3.532269	0.064510	-1.147971
Bola2	0.475503	-0.231205	0.996069	3.294419	-2.091603	-0.951300
Bop1	-2.444043	1.990385	-1.825128	2.821341	0.064510	0.309496
Brd3	-2.599467	-4.326797	1.113210	-3.772357	2.031699	-1.147971
Brd4	-0.535666	1.699837	-0.281108	0.756301	0.106324	1.372080
Bri3bp	-0.607747	-1.305484	-1.409200	-2.475390	0.264136	-1.147971
Brix1	0.984932	5.695878	-0.555093	3.198945	0.064510	2.727489
Bsg	-0.540651	1.562877	-0.870150	-0.518127	-1.426692	-0.708366
Btf3	-1.428088	1.865978	-0.668982	-1.632426	-3.033356	-1.919807
Btk	-0.124572	1.461276	-1.186079	0.743012	-3.959583	-2.539254
Bub3	-0.031388	1.552741	-0.232191	-1.048543	0.053123	-0.469176
Bud31	-0.336687	0.889763	0.326557	-3.985010	0.376134	-0.458182
Bzw1	-0.705112	3.052647	-0.541249	0.015491	-0.787275	-0.592571
Bzw2	2.032963	3.001435	-0.986615	2.122818	-5.110355	-2.726488
C1qbp	0.984932	1.349432	-0.528774	6.164939	0.064510	-0.502572
Ca2	-0.149598	1.470765	0.214203	-2.956498	-0.477243	-0.663551
Cab39	0.984932	3.363825	-1.353839	0.672080	0.064510	-0.544947
Cacybp	-0.078452	2.209357	-0.526587	1.043042	-1.146944	-1.203598
Cad	-0.691333	1.340685	-0.330110	0.190097	-0.754939	-0.573711
Calm1	-0.087285	0.764546	0.148458	0.692656	-0.483385	-0.513180
Calr	-1.216280	0.400526	-0.318167	0.139695	-0.661140	-1.295594
Calu	-0.140140	-0.046980	0.284016	-3.394656	-1.429776	-0.895094
Camk2d	-1.095962	1.736452	-0.673900	-0.564201	0.902227	-1.029221
Cand1	0.374495	3.340838	-0.557462	8.007277	-2.190299	0.916859
Canx	-0.172731	1.294064	-0.247286	-0.482066	-0.560275	-0.870172
Cap1	-0.936788	1.259440	-0.722644	-0.937240	-1.093463	-1.374048
Capn1	-0.178835	1.221580	1.113210	0.672080	-1.575088	-1.147971
Caprin1	-0.931356	1.325851	-0.152720	-0.922714	-1.691279	-2.358717
