Sample	Ctr_0H	Ctr_2H	Ctr_6H	Ctr_12H	Ctr_18H	Ctr_24H	Ik_0H	Ik_2H	Ik_6H	Ik_12H	Ik_18H	Ik_24H
Batch_1_Ctr_0H	1	0	0	0	0	0	0	0	0	0	0	0
Batch_2_Ctr_0H	1	0	0	0	0	0	0	0	0	0	0	0
Batch_4_Ctr_0H	1	0	0	0	0	0	0	0	0	0	0	0
Batch_1_Ctr_2H	0	1	0	0	0	0	0	0	0	0	0	0
Batch_3_Ctr_2H	0	1	0	0	0	0	0	0	0	0	0	0
Batch_4_Ctr_2H	0	1	0	0	0	0	0	0	0	0	0	0
Batch_1_Ctr_6H	0	0	1	0	0	0	0	0	0	0	0	0
Batch_3_Ctr_6H	0	0	1	0	0	0	0	0	0	0	0	0
Batch_4_Ctr_6H	0	0	1	0	0	0	0	0	0	0	0	0
Batch_1_Ctr_12H	0	0	0	1	0	0	0	0	0	0	0	0
Batch_3_Ctr_12H	0	0	0	1	0	0	0	0	0	0	0	0
Batch_4_Ctr_12H	0	0	0	1	0	0	0	0	0	0	0	0
Batch_1_Ctr_18H	0	0	0	0	1	0	0	0	0	0	0	0
Batch_3_Ctr_18H	0	0	0	0	1	0	0	0	0	0	0	0
Batch_4_Ctr_18H	0	0	0	0	1	0	0	0	0	0	0	0
Batch_1_Ctr_24H	0	0	0	0	0	1	0	0	0	0	0	0
Batch_3_Ctr_24H	0	0	0	0	0	1	0	0	0	0	0	0
Batch_4_Ctr_24H	0	0	0	0	0	1	0	0	0	0	0	0
Batch_1_Ik_0H	0	0	0	0	0	0	1	0	0	0	0	0
Batch_2_Ik_0H	0	0	0	0	0	0	1	0	0	0	0	0
Batch_4_Ik_0H	0	0	0	0	0	0	1	0	0	0	0	0
Batch_1_Ik_2H	0	0	0	0	0	0	0	1	0	0	0	0
Batch_3_Ik_2H	0	0	0	0	0	0	0	1	0	0	0	0
Batch_4_Ik_2H	0	0	0	0	0	0	0	1	0	0	0	0
Batch_1_Ik_6H	0	0	0	0	0	0	0	0	1	0	0	0
Batch_3_Ik_6H	0	0	0	0	0	0	0	0	1	0	0	0
Batch_4_Ik_6H	0	0	0	0	0	0	0	0	1	0	0	0
Batch_1_Ik_12H	0	0	0	0	0	0	0	0	0	1	0	0
Batch_3_Ik_12H	0	0	0	0	0	0	0	0	0	1	0	0
Batch_4_Ik_12H	0	0	0	0	0	0	0	0	0	1	0	0
Batch_1_Ik_18H	0	0	0	0	0	0	0	0	0	0	1	0
Batch_3_Ik_18H	0	0	0	0	0	0	0	0	0	0	1	0
Batch_4_Ik_18H	0	0	0	0	0	0	0	0	0	0	1	0
Batch_1_Ik_24H	0	0	0	0	0	0	0	0	0	0	0	1
Batch_3_Ik_24H	0	0	0	0	0	0	0	0	0	0	0	1
Batch_4_Ik_24H	0	0	0	0	0	0	0	0	0	0	0	1
