GeneID	Batch_1_Ctr_0H	Batch_2_Ctr_0H	Batch_4_Ctr_0H	Batch_1_Ctr_2H	Batch_3_Ctr_2H	Batch_4_Ctr_2H	Batch_1_Ctr_6H	Batch_3_Ctr_6H	Batch_4_Ctr_6H	Batch_1_Ctr_12H	Batch_3_Ctr_12H	Batch_4_Ctr_12H	Batch_1_Ctr_18H	Batch_3_Ctr_18H	Batch_4_Ctr_18H	Batch_1_Ctr_24H	Batch_3_Ctr_24H	Batch_4_Ctr_24H	Batch_1_Ik_0H	Batch_2_Ik_0H	Batch_4_Ik_0H	Batch_1_Ik_2H	Batch_3_Ik_2H	Batch_4_Ik_2H	Batch_1_Ik_6H	Batch_3_Ik_6H	Batch_4_Ik_6H	Batch_1_Ik_12H	Batch_3_Ik_12H	Batch_4_Ik_12H	Batch_1_Ik_18H	Batch_3_Ik_18H	Batch_4_Ik_18H	Batch_1_Ik_24H	Batch_3_Ik_24H	Batch_4_Ik_24H
ENSMUSG00000000148	10.929295	11.000511	11.089329	10.871239	10.940397	11.105837	10.335968	10.799983	10.936809	10.989852	10.891972	11.138637	10.670666	10.833228	10.952718	11.012847	10.949957	11.185086	11.181971	10.955578	10.976226	11.188053	11.443534	11.162610	11.363835	11.511481	11.681534	11.415270	11.463760	11.764728	11.593811	11.405745	11.430695	11.433317	11.532337	11.442596
ENSMUSG00000000184	14.693561	14.615472	15.103816	14.791366	14.905556	14.610717	14.351010	14.850629	14.401879	14.820251	14.859071	14.654785	14.778348	14.827171	14.612341	14.676109	14.739305	14.512854	15.478497	15.478000	15.548464	14.219083	14.157022	13.943562	12.800925	12.744076	12.323824	11.923611	12.429457	12.374328	11.082474	11.545336	11.383301	11.301445	11.863750	11.019503
ENSMUSG00000000194	11.386606	11.447011	11.383656	11.412205	11.422436	11.303807	11.409029	11.443764	11.449370	11.231801	11.141794	11.097392	11.469106	11.415384	11.694408	11.373078	11.360824	11.386786	11.864639	11.790244	11.585363	11.781291	11.726379	11.874362	11.881543	11.765842	11.959866	12.030261	11.824392	12.101699	12.225807	12.194075	12.269919	12.543876	12.525153	12.451071
ENSMUSG00000000441	14.008916	14.149913	13.923750	14.149976	13.977803	14.288020	14.356063	14.200672	14.229443	14.106281	14.150877	14.283394	14.026041	13.998700	14.352940	14.243000	14.257697	14.452720	13.962667	13.691251	13.762162	13.811704	14.094588	14.218686	13.988254	14.142904	14.203659	14.213685	14.107572	14.339692	14.062696	14.087807	14.044562	14.055080	13.980988	14.020279
ENSMUSG00000000690	10.952152	11.137212	10.898076	10.582126	10.985206	11.016553	10.928277	11.209016	11.274554	10.510765	10.965321	11.123994	10.729852	10.966641	11.225131	10.820164	11.082459	10.919354	12.621477	12.875724	12.369170	10.978441	11.233120	11.246399	10.870394	11.008284	10.756593	11.277010	11.600376	11.774518	11.252272	11.175384	11.265112	10.765244	11.219785	11.176884
ENSMUSG00000000861	13.439494	13.484747	13.684371	13.556814	13.616893	13.414410	13.396260	13.261049	13.108432	13.572618	13.499056	13.337772	13.537706	13.581532	13.395322	13.562366	13.544228	13.574611	13.909592	13.970783	14.004243	12.482183	12.365532	12.289918	12.199403	11.884156	11.891135	11.964420	12.203333	11.641445	11.386040	11.556935	11.480684	11.447968	11.804942	11.317427
ENSMUSG00000001054	11.407344	11.427822	11.428765	11.789854	11.548109	11.764653	11.582560	11.507448	11.647091	11.423492	11.444034	11.457807	11.393231	11.401238	11.746872	11.386708	11.348351	11.437265	11.243929	11.265560	11.383440	11.904117	11.963759	12.385836	12.460344	12.610170	12.781494	12.489859	12.505769	12.822861	12.461915	12.383447	12.519489	12.484702	12.647054	12.636930
ENSMUSG00000001105	11.916865	12.026553	11.666873	12.329756	11.735579	12.531968	12.428793	12.176213	12.655722	11.881297	12.112107	12.452421	11.817600	12.030413	12.849122	12.112737	12.060816	12.184183	12.038389	11.889479	11.752326	11.947102	11.969791	12.737428	11.834233	12.232123	12.140517	12.290595	12.050903	12.412297	11.943393	11.837945	11.629023	11.659862	11.749922	11.851038
ENSMUSG00000001128	9.781348	10.249834	9.840006	10.218851	10.205909	10.953218	9.942858	10.503604	10.690387	9.931984	10.029632	10.473613	9.830889	10.052895	10.493841	10.315925	10.284605	10.856308	10.044800	10.002610	9.938850	10.239398	10.515721	11.001630	10.395116	10.632755	11.133013	10.446141	10.586751	11.091756	10.706360	10.612764	10.356586	10.570948	10.674111	10.595756
ENSMUSG00000001473	6.852449	7.209314	6.844431	7.013021	7.284004	6.760715	6.590782	7.418505	6.866564	7.446573	7.229358	6.820106	7.501815	6.350937	5.832866	7.314387	7.659855	7.893620	7.302208	6.979545	7.556303	7.711137	8.533843	7.753731	4.274500	3.034333	4.905256	4.226592	3.669618	5.877956	3.968608	3.465222	4.054978	3.689546	4.301893	3.515660
