RegulatorID	Batch_1_Ctr_0H	Batch_2_Ctr_0H	Batch_4_Ctr_0H	Batch_1_Ctr_2H	Batch_3_Ctr_2H	Batch_4_Ctr_2H	Batch_1_Ctr_6H	Batch_3_Ctr_6H	Batch_4_Ctr_6H	Batch_1_Ctr_12H	Batch_3_Ctr_12H	Batch_4_Ctr_12H	Batch_1_Ctr_18H	Batch_3_Ctr_18H	Batch_4_Ctr_18H	Batch_1_Ctr_24H	Batch_3_Ctr_24H	Batch_4_Ctr_24H	Batch_1_Ik_0H	Batch_2_Ik_0H	Batch_4_Ik_0H	Batch_1_Ik_2H	Batch_3_Ik_2H	Batch_4_Ik_2H	Batch_1_Ik_6H	Batch_3_Ik_6H	Batch_4_Ik_6H	Batch_1_Ik_12H	Batch_3_Ik_12H	Batch_4_Ik_12H	Batch_1_Ik_18H	Batch_3_Ik_18H	Batch_4_Ik_18H	Batch_1_Ik_24H	Batch_3_Ik_24H	Batch_4_Ik_24H
Aatf	13.856402	13.960953	14.100803	13.884969	13.960499	14.187058	14.324727	14.168393	14.345704	14.055891	14.141520	14.282197	13.987074	14.252584	14.445714	14.050894	14.057459	14.316148	13.712249	13.727359	13.906842	14.010366	14.040611	14.255720	13.430425	13.658139	13.593678	12.958088	13.340890	12.786998	12.239065	12.605859	12.381500	12.349124	12.699916	12.535392
Aebp2	12.223948	12.150306	12.466659	12.329609	12.180327	11.748933	11.626264	11.913101	11.474894	12.197574	12.158654	11.997173	12.267234	12.339893	11.880226	11.986783	12.055868	11.841033	12.352378	12.455321	12.328838	12.235555	11.950428	11.588762	12.143692	11.834333	11.623020	11.651536	11.600475	11.216958	11.208026	11.586468	11.492008	11.125295	10.962137	11.392141
Apc	11.702500	11.667488	11.948717	11.783401	11.839570	11.840783	11.465113	11.820641	11.753999	11.738571	11.648517	11.745734	11.833910	11.893483	11.499311	11.684645	11.665366	11.458268	11.641756	11.884594	11.974710	11.677461	11.665929	11.614735	11.633362	11.522646	11.444167	11.352075	11.575966	11.716505	11.491691	11.684538	11.755211	11.718590	11.808123	11.837007
Apex1	15.465486	15.308753	15.578959	15.277544	15.456823	15.161861	15.060421	15.449198	15.197891	15.424307	15.563327	15.408278	15.472706	15.756762	15.300133	15.332592	15.423979	15.019635	15.343854	15.528611	15.389387	15.483074	15.195812	14.993188	14.935865	15.045515	14.950695	14.794272	14.852048	14.381579	14.108147	14.421330	14.405538	13.910164	13.786310	14.159311
Arl6ip5	14.749222	14.713297	14.582586	14.838860	14.718439	14.513903	14.819441	14.719032	14.500648	14.762497	14.655775	14.581302	14.701756	14.483780	14.669775	14.845478	14.745356	14.855677	14.893224	14.648101	14.529548	14.288588	14.513598	14.371787	14.454427	14.467960	14.232072	14.642031	14.409229	14.770838	14.484036	14.451889	14.654673	14.570450	14.580867	14.491947
Arnt	12.071383	12.097724	11.952975	11.784392	12.044853	11.827481	12.243666	11.955008	11.966136	12.068147	12.026589	11.801792	11.921475	11.860101	11.999485	12.133407	12.223146	12.141061	12.123337	11.951414	11.958987	12.020870	12.189801	11.943750	12.330229	12.282499	12.389968	12.449216	12.456238	12.459544	12.789090	12.467490	12.565559	12.918348	12.665808	12.844620
Arntl	14.494972	14.386199	14.306551	14.132144	14.234652	13.902594	13.422329	13.665983	13.625853	13.672324	13.346619	13.296780	13.764102	13.329338	13.284015	13.499729	13.418888	13.386063	13.791579	13.917875	13.731865	14.277208	14.107627	13.782988	14.161618	13.789586	13.589110	14.055004	13.907240	14.085618	15.022913	14.677327	14.852523	14.739237	14.618985	14.486000
Arntl2	10.926522	10.870120	10.929017	10.826976	10.872773	10.780484	10.599107	10.916811	11.057803	10.961441	10.878216	11.006234	11.145486	11.010142	10.589933	10.859235	10.974037	10.629938	11.092584	11.212917	11.140086	11.499776	11.429938	11.179523	11.873956	11.811092	11.900807	12.296252	11.833772	12.319763	12.596634	12.367069	12.727607	12.753903	12.666200	12.863069
Ash1l	13.323942	13.351335	13.492156	13.278803	13.461653	12.896910	12.630032	13.260316	12.683002	13.467507	13.328027	13.207153	13.383425	13.276514	12.729751	13.191758	13.224387	13.272245	13.231894	13.452279	13.436316	13.322899	13.259977	12.659714	13.463151	13.335363	13.253479	12.825062	13.380711	12.865313	13.426527	13.587040	13.415568	13.704915	13.988756	13.665615
Atf1	12.368230	12.268318	12.420666	12.460332	12.487688	12.255607	11.918609	12.111790	11.858394	12.354987	12.316221	12.100261	12.450792	12.447834	12.159451	12.285655	12.405824	12.208752	12.205980	12.102578	12.362760	12.257003	12.055478	11.800458	12.321346	12.335467	12.088600	11.958062	12.011829	11.925924	11.973671	12.095212	12.007860	11.919800	11.956924	11.718328
