#sample	condition
Ctr_0H_B10	Ctr_0H
Ctr_0H_B11	Ctr_0H
Ctr_0H_B9	Ctr_0H
Ctr_2H_B10	Ctr_2H
Ctr_2H_B11	Ctr_2H
Ctr_2H_B9	Ctr_2H
Ctr_6H_B10	Ctr_6H
Ctr_6H_B11	Ctr_6H
Ctr_6H_B9	Ctr_6H
Ctr_12H_B10	Ctr_12H
Ctr_12H_B11	Ctr_12H
Ctr_12H_B9	Ctr_12H
Ctr_18H_B10	Ctr_18H
Ctr_18H_B11	Ctr_18H
Ctr_18H_B9	Ctr_18H
Ctr_24H_B10	Ctr_24H
Ctr_24H_B11	Ctr_24H
Ctr_24H_B9	Ctr_24H
Ik_0H_B10	Ik_0H
Ik_0H_B11	Ik_0H
Ik_0H_B9	Ik_0H
Ik_2H_B10	Ik_2H
Ik_2H_B11	Ik_2H
Ik_2H_B9	Ik_2H
Ik_6H_B10	Ik_6H
Ik_6H_B11	Ik_6H
Ik_6H_B9	Ik_6H
Ik_12H_B10	Ik_12H
Ik_12H_B11	Ik_12H
Ik_12H_B9	Ik_12H
Ik_18H_B10	Ik_18H
Ik_18H_B11	Ik_18H
Ik_18H_B9	Ik_18H
Ik_24H_B10	Ik_24H
Ik_24H_B11	Ik_24H
Ik_24H_B9	Ik_24H
