#compound	Ctr_0H_B10	Ctr_0H_B11	Ctr_0H_B9	Ctr_2H_B10	Ctr_2H_B11	Ctr_2H_B9	Ctr_6H_B10	Ctr_6H_B11	Ctr_6H_B9	Ctr_12H_B10	Ctr_12H_B11	Ctr_12H_B9	Ctr_18H_B10	Ctr_18H_B11	Ctr_18H_B9	Ctr_24H_B10	Ctr_24H_B11	Ctr_24H_B9	Ik_0H_B10	Ik_0H_B11	Ik_0H_B9	Ik_2H_B10	Ik_2H_B11	Ik_2H_B9	Ik_6H_B10	Ik_6H_B11	Ik_6H_B9	Ik_12H_B10	Ik_12H_B11	Ik_12H_B9	Ik_18H_B10	Ik_18H_B11	Ik_18H_B9	Ik_24H_B10	Ik_24H_B11	Ik_24H_B9
Alanine	-4.809782	-5.145618	-4.810761	-4.999718	-4.996830	-5.021492	-4.421886	-4.551634	-4.412859	-3.494585	-4.039110	-4.115609	-4.604873	-4.807070	-4.708864	-4.728160	-4.839074	-4.738153	-4.285449	-4.549123	-4.239593	-4.672428	-4.652257	-4.676746	-4.452762	-4.385990	-4.369611	-4.845108	-4.877175	-4.765239	-5.220188	-5.129743	-5.250831	-5.433815	-5.458689	-5.392739
Valine	-3.762248	-3.723449	-3.807318	-3.828859	-3.490234	-3.859058	-3.301684	-3.181247	-3.166726	-2.908859	-2.481684	-3.020354	-3.530423	-3.488670	-3.920640	-3.738221	-3.417948	-3.676646	-3.195668	-3.138692	-3.421546	-3.202847	-3.592524	-3.609403	-3.419952	-3.356450	-3.379316	-3.376390	-3.379190	-3.183939	-3.790583	-3.501688	-3.872969	-4.208975	-3.919486	-3.815777
Leucine	-1.065252	-1.040188	-1.062655	-1.087907	-0.797527	-1.098276	-0.512296	-0.427790	-0.459300	-0.230357	0.252865	-0.269079	-0.752048	-0.709531	-1.107775	-0.933317	-0.679248	-0.904146	-0.399926	-0.445359	-0.622822	-0.518060	-0.827973	-0.834333	-0.622034	-0.604603	-0.610791	-0.627712	-0.609049	-0.396253	-1.035596	-0.755689	-1.141838	-1.445161	-1.173599	-1.056354
Isoleucine	-1.302781	-1.259319	-1.258596	-1.314343	-1.010401	-1.300719	-0.666296	-0.673594	-0.683044	-0.559048	-0.006204	-0.494713	-0.950508	-0.926237	-1.346343	-1.196044	-0.879261	-1.132894	-0.701224	-0.657579	-0.897786	-0.721664	-1.040648	-1.055830	-0.838937	-0.829530	-0.860684	-0.888095	-0.840080	-0.662657	-1.303769	-1.015057	-1.405615	-1.657442	-1.386940	-1.344492
Proline	-0.507200	-0.678944	-0.406879	-0.636673	-0.544484	-0.653131	0.077968	-0.086771	0.082390	0.445339	0.507107	0.307232	-0.176253	-0.329723	-0.515511	-0.349720	-0.347435	-0.396890	0.095393	-0.011498	0.110205	-0.187267	-0.426477	-0.364792	-0.060433	-0.144977	0.003160	-0.432462	-0.436933	-0.227885	-0.817671	-0.641411	-1.024214	-1.245869	-1.088467	-0.993660
Serine	-0.770764	-0.851148	-0.425549	-0.932608	-0.736080	-0.907474	-0.368433	-0.243304	-0.345771	1.997034	0.226010	-0.111423	-0.574277	-0.585120	-0.733614	-0.773584	-0.664779	-0.494912	-0.294849	-0.332837	-0.337631	-0.525016	-0.597983	-0.738565	-0.489102	-0.477657	-0.438793	-0.690108	-0.566363	-0.507286	-1.021898	-0.804289	-1.047523	-1.405658	-1.030364	-1.097372
Threonine	-0.016434	-0.057319	0.030481	-0.106738	0.170407	-0.100949	0.490028	0.537975	0.488157	0.908617	1.204849	0.724095	0.233057	0.276994	0.004245	0.054948	0.277076	0.110637	0.587995	0.580319	0.558050	0.350780	0.216287	0.152510	0.365926	0.459465	0.482742	0.191485	0.278222	0.407384	-0.209087	0.109940	-0.279933	-0.583060	-0.275742	-0.302011
Glutamic acid	-3.077377	-3.176943	-2.683250	-2.928149	-2.899823	-3.107979	-2.378522	-2.442093	-2.300278	-2.359793	-2.054113	-2.203067	-2.703783	-2.564714	-2.538637	-2.685531	-2.826468	-2.685851	-2.525918	-2.563602	-2.010796	-2.873821	-2.553458	-2.652412	-2.611128	-2.385429	-2.170830	-3.158987	-2.874088	-3.014673	-3.532574	-3.203949	-3.653150	-3.792587	-3.789533	-3.839068
Phenylalanine	-1.395281	-1.290004	-1.325751	-1.415758	-1.098899	-1.406895	-0.822791	-0.713986	-0.744350	-0.414222	-0.082997	-0.614783	-1.076939	-1.042907	-1.374792	-1.276784	-1.000305	-1.181956	-0.732120	-0.734368	-0.950436	-0.833270	-1.191841	-1.155660	-0.959180	-0.930631	-0.953921	-0.954008	-0.901596	-0.820852	-1.448276	-1.059982	-1.473007	-1.749582	-1.504961	-1.417410
Asparagine	-1.586989	-1.538998	-1.485391	-1.597541	-1.367759	-1.585492	-1.027065	-0.992184	-0.971168	-0.821297	-0.430295	-0.778459	-1.267385	-1.239954	-1.381134	-1.410593	-1.329402	-1.370229	-0.926865	-1.011115	-0.980574	-1.201865	-1.285305	-1.382427	-1.133634	-1.074476	-1.070560	-1.383360	-1.263391	-1.190471	-1.737281	-1.490769	-1.715048	-2.042637	-1.832371	-1.823359
Glutamine	-3.593633	-3.358539	-3.522299	-3.571124	-3.169695	-3.642595	-2.969980	-2.788895	-2.951560	-3.192486	-2.108566	-2.751687	-3.256936	-3.005032	-3.551276	-3.455821	-3.042181	-3.417274	-2.863980	-2.736248	-2.990972	-3.049253	-3.135054	-3.398015	-3.100122	-2.890664	-3.031842	-3.186167	-3.028642	-3.028805	-3.613320	-3.173202	-3.765146	-4.036720	-3.614879	-3.767732
Lysine	-1.342633	-1.096731	-1.251301	-1.248379	-0.912409	-1.216392	-0.721285	-0.504457	-0.664469	-0.428352	0.150070	-0.466699	-0.962955	-0.802450	-1.356850	-1.244883	-0.820254	-1.088379	-0.629355	-0.517819	-0.954422	-0.685464	-0.980208	-1.024491	-0.853824	-0.697252	-0.803345	-0.781756	-0.741970	-0.612023	-1.233524	-0.856295	-1.220467	-1.572002	-1.226820	-1.230584
Tyrosine	0.969957	1.083743	1.034096	0.998579	1.312491	0.989256	1.498259	1.708674	1.567074	1.981039	2.314937	1.757304	1.256600	1.387782	0.959713	1.056233	1.405169	1.181182	1.635691	1.682374	1.384860	1.464983	1.285886	1.236834	1.346749	1.546934	1.421734	1.354583	1.469184	1.582079	0.930082	1.300181	0.921695	0.572836	0.883907	0.910368
Tryptophan	1.096861	1.265513	1.233930	1.151694	1.475014	1.081775	1.679153	1.791254	1.771554	2.289581	2.459708	1.919621	1.439657	1.555747	1.210645	1.273174	1.502217	1.302737	1.777884	1.800618	1.600130	1.596480	1.473802	1.295786	1.525465	1.733226	1.541718	1.492703	1.625393	1.708150	1.080603	1.474366	1.143367	0.743106	1.108542	1.019228
Glycine	0.731857	0.527765	1.069593	0.557161	0.582919	0.568128	1.185593	1.219188	1.273602	2.585633	1.563379	1.553865	1.037023	1.022707	0.995263	0.883846	0.818648	0.951396	1.387225	1.262880	1.720598	0.786207	0.882520	0.924754	1.215321	1.314099	1.450046	0.727750	0.750862	0.922198	0.272385	0.545263	0.106382	-0.012808	0.112830	0.023340
Methionine	4.876677	4.927787	4.777458	4.738475	5.224200	4.757778	5.307122	5.433782	5.479232	5.386403	6.022029	5.550146	5.108805	5.274865	4.747438	5.074013	5.463196	4.990404	5.441418	5.517387	5.205851	5.321945	4.999938	5.010112	5.242684	5.245789	5.207390	4.897301	5.372972	5.264030	4.683460	5.276268	4.709074	4.191374	4.648689	4.774929
beta-alanine	-5.171159	-6.074305	-5.772071	-5.765783	-6.062872	-5.473818	-5.490402	-5.965776	-5.411411	-6.030029	-5.801729	-5.243397	-5.423981	-6.340801	-5.154915	-5.465596	-6.135149	-5.673691	-5.275712	-6.060272	-5.157204	-5.784815	-5.375341	-5.808926	-5.086840	-5.674771	-5.485042	-5.941369	-6.075184	-6.245414	-5.902866	-6.656429	-5.642048	-6.000332	-6.402213	-6.163071
Pipecolic acid	-7.571289	-7.941912	-8.034432	-7.859874	-7.715735	-7.739864	-7.870764	-7.478943	-7.284874	-8.071957	-6.645154	-7.252378	-7.678164	-8.070128	-7.828634	-7.955980	-7.483479	-7.891629	-7.052969	-7.250959	-7.679866	-7.085265	-7.650001	-7.712388	-7.328037	-7.760245	-7.726680	-7.298988	-7.283302	-7.461861	-7.304825	-7.625318	-7.633589	-7.531560	-8.030894	-7.841103
L-histidine	-2.055927	-1.940927	-1.741264	-2.074595	-1.746407	-2.053855	-1.536736	-1.413416	-1.405583	0.007830	-0.688418	-1.275926	-1.795125	-1.614740	-1.960949	-1.921790	-1.669361	-1.701891	-1.403257	-1.424808	-1.605215	-1.602214	-1.736277	-1.852369	-1.715521	-1.491186	-1.609377	-1.738706	-1.620871	-1.500414	-2.120254	-1.727079	-2.049605	-2.396470	-2.013819	-2.185804
L-4-hydroxyproline	-5.732563	-5.526762	-5.436272	-5.695550	-5.501306	-5.519975	-4.936017	-4.873348	-4.813487	-5.132725	-4.550713	-4.642989	-5.233111	-5.172490	-5.529323	-5.449099	-5.301092	-5.471100	-5.059191	-4.924416	-4.845155	-5.190607	-5.309434	-5.222695	-5.184163	-5.032790	-4.879067	-5.611881	-5.360523	-5.094423	-5.752206	-5.389059	-5.828619	-6.353897	-6.097313	-5.828288
taurine	-0.861943	-1.250578	-0.368813	-0.987101	-1.232943	-1.119894	-0.201193	-0.382455	-0.248354	-0.327745	-0.554763	0.116409	-0.428514	-0.462626	-0.241952	-0.540860	-0.990427	-0.641374	-0.061232	-0.337339	0.753723	-1.149038	-0.404906	-0.392946	-0.148037	0.039068	0.273595	-1.103250	-1.030386	-0.973716	-1.441477	-1.345329	-1.985897	-2.017147	-2.392066	-2.735274
glycylglycine	-1.585197	-1.551353	-1.504826	-1.604233	-1.367467	-1.595732	-1.041023	-1.007238	-0.970320	-0.829337	-0.447626	-0.788406	-1.274141	-1.247670	-1.382318	-1.410193	-1.349842	-1.387496	-0.925241	-1.009812	-0.978110	-1.200165	-1.300911	-1.380238	-1.130812	-1.087317	-1.085970	-1.382185	-1.274326	-1.210437	-1.743209	-1.499040	-1.736481	-2.091380	-1.833595	-1.829221
L-arginine	-4.391215	-4.186866	-4.301828	-4.247709	-3.983434	-4.292673	-3.836667	-3.699798	-3.710902	-4.077146	-2.934809	-3.576518	-4.021869	-3.981473	-4.308541	-4.382741	-3.999653	-4.233572	-3.689233	-3.646636	-4.024136	-3.783573	-4.106204	-4.084334	-3.966615	-3.816673	-3.932238	-3.887481	-3.830217	-3.643777	-4.306400	-3.924868	-4.290900	-4.616305	-4.387328	-4.247515
L-homoserine	-2.289924	-3.088668	-2.456341	-2.440379	-2.917169	-2.965629	-2.048695	-2.758638	-2.153755	-2.542258	-2.128908	-1.932689	-2.517226	-3.130522	-1.764121	-2.424392	-2.997843	-2.681279	-1.986285	-2.933881	-1.439122	-3.090447	-2.176752	-2.867827	-2.268622	-2.639764	-2.535918	-2.896065	-3.074576	-3.010362	-3.427715	-3.789630	-2.945880	-3.754731	-4.053457	-3.600341
L-aspartic acid	-0.837389	-0.998186	-0.594596	-0.853458	-0.936071	-0.995380	-0.299036	-0.526426	-0.266443	0.696204	-0.172413	-0.107633	-0.652527	-0.503200	-0.568618	-0.791951	-0.827728	-0.577585	-0.033930	-0.132107	0.342099	-0.582203	-0.500443	-0.702690	-0.325087	-0.369679	0.079379	-0.507589	-0.312526	-0.428691	-0.793571	-0.337171	-0.968616	-0.942766	-0.834990	-1.120093
ethanolamine	-2.516020	-3.008520	-2.942181	-3.176895	-2.936750	-2.936691	-2.823479	-2.738083	-2.543634	-2.082831	-2.183779	-2.387599	-2.831293	-3.250360	-2.724970	-2.953576	-3.031045	-2.853238	-2.719558	-2.958471	-2.722844	-2.825374	-2.626503	-3.334101	-2.714631	-2.994464	-2.916712	-2.828953	-2.877488	-2.656280	-2.926281	-3.232328	-2.517778	-3.091873	-3.236650	-2.976827
L-methionine sulfoxide	-6.293967	-6.853571	-6.743181	-6.558141	-6.928684	-6.725591	-6.062081	-6.405148	-5.799968	-5.315798	-5.654040	-5.823379	-6.303706	-6.833986	-6.769631	-6.683015	-6.400035	-6.248514	-5.973973	-6.663707	-6.260755	-6.163622	-6.647934	-6.725027	-6.007074	-6.524809	-6.376467	-5.997004	-6.353766	-5.823754	-6.442540	-6.754406	-6.313499	-7.049357	-6.937424	-6.846474
gamma-aminobutyric acid	-2.538638	-2.858661	-1.567721	-2.417741	-2.486990	-2.442812	-1.595315	-1.805222	-1.461778	-1.678267	-1.895479	-0.898043	-1.973282	-1.874960	-1.388891	-1.960065	-2.248765	-1.804739	-1.963221	-2.017843	-0.584632	-2.501431	-1.824409	-1.509005	-1.545937	-1.096905	-0.832077	-2.720709	-2.158536	-2.114687	-2.798557	-2.527544	-3.325166	-3.056407	-3.213523	-3.457894
L-2-aminoadipic acid	-1.172674	-1.067786	-0.570007	-0.724831	-0.917011	-1.044804	-0.464759	-0.424048	-0.306284	-0.355704	-0.092439	-0.075445	-0.695394	-0.459855	-0.805687	-0.518197	-0.844211	-0.597459	-0.547438	-0.392565	-0.115153	-0.677577	-0.624328	-0.887004	-0.597280	-0.507433	-0.333377	-0.779446	-0.729517	-0.710639	-1.119750	-0.934202	-1.416746	-1.892081	-1.480817	-1.864393
L-alpha-aminobutyric acid	-1.545473	-1.385986	-1.362669	-1.810713	-1.436258	-1.455246	-0.942747	-0.852062	-0.815639	-0.896629	-0.272997	-0.686543	-1.166198	-1.322688	-1.437839	-1.270094	-1.337517	-1.374497	-0.875921	-0.784344	-0.839463	-1.000756	-1.312655	-1.208362	-1.097721	-0.975730	-1.002784	-0.977974	-1.187525	-0.958266	-1.716374	-1.438028	-1.527136	-1.664345	-1.788529	-1.669752
