Target	Regulator
ENSMUSG00000000489	TF002
ENSMUSG00000000489	TF013
ENSMUSG00000000489	TF035
ENSMUSG00000000581	TF003
ENSMUSG00000000581	TF022
ENSMUSG00000000581	TF033
ENSMUSG00000001467	TF004
ENSMUSG00000001467	TF009
ENSMUSG00000001467	TF019
ENSMUSG00000002308	TF001
ENSMUSG00000002308	TF008
ENSMUSG00000002308	TF011
ENSMUSG00000002395	TF006
ENSMUSG00000002395	TF010
ENSMUSG00000002395	TF028
ENSMUSG00000002455	TF004
ENSMUSG00000002455	TF011
ENSMUSG00000002455	TF021
ENSMUSG00000002814	TF012
ENSMUSG00000002814	TF034
ENSMUSG00000002814	TF039
ENSMUSG00000002963	TF017
ENSMUSG00000002963	TF020
ENSMUSG00000002963	TF022
ENSMUSG00000005057	TF007
ENSMUSG00000005057	TF010
ENSMUSG00000005057	TF026
ENSMUSG00000006344	TF002
ENSMUSG00000006344	TF007
ENSMUSG00000006344	TF018
ENSMUSG00000006728	TF005
ENSMUSG00000006728	TF014
ENSMUSG00000006728	TF022
ENSMUSG00000007080	TF012
ENSMUSG00000007080	TF015
ENSMUSG00000007080	TF031
ENSMUSG00000007207	TF023
ENSMUSG00000007207	TF024
ENSMUSG00000007207	TF030
ENSMUSG00000008859	TF003
ENSMUSG00000008859	TF009
ENSMUSG00000008859	TF026
ENSMUSG00000009907	TF007
ENSMUSG00000009907	TF016
ENSMUSG00000009907	TF019
ENSMUSG00000010392	TF012
ENSMUSG00000010392	TF013
ENSMUSG00000010392	TF029
ENSMUSG00000011096	TF018
ENSMUSG00000011096	TF021
ENSMUSG00000011096	TF032
ENSMUSG00000014294	TF006
ENSMUSG00000014294	TF010
ENSMUSG00000014294	TF030
ENSMUSG00000014776	TF009
ENSMUSG00000014776	TF032
ENSMUSG00000014776	TF034
ENSMUSG00000015605	TF009
ENSMUSG00000015605	TF010
ENSMUSG00000015605	TF027
ENSMUSG00000016921	TF022
ENSMUSG00000016921	TF031
ENSMUSG00000016921	TF037
ENSMUSG00000017716	TF014
ENSMUSG00000017716	TF017
ENSMUSG00000017716	TF021
ENSMUSG00000018401	TF001
ENSMUSG00000018401	TF011
ENSMUSG00000018401	TF026
ENSMUSG00000019087	TF006
ENSMUSG00000019087	TF027
ENSMUSG00000019087	TF037
ENSMUSG00000019518	TF021
ENSMUSG00000019518	TF022
ENSMUSG00000019518	TF026
ENSMUSG00000019888	TF006
ENSMUSG00000019888	TF025
ENSMUSG00000019888	TF039
ENSMUSG00000019935	TF013
ENSMUSG00000019935	TF022
ENSMUSG00000019935	TF027
ENSMUSG00000019989	TF009
ENSMUSG00000019989	TF030
ENSMUSG00000019989	TF035
ENSMUSG00000019998	TF015
ENSMUSG00000019998	TF030
ENSMUSG00000019998	TF037
ENSMUSG00000020260	TF014
ENSMUSG00000020260	TF022
ENSMUSG00000020260	TF026
ENSMUSG00000020388	TF015
ENSMUSG00000020388	TF020
ENSMUSG00000020388	TF021
ENSMUSG00000020471	TF005
ENSMUSG00000020471	TF012
ENSMUSG00000020471	TF019
ENSMUSG00000020630	TF003
ENSMUSG00000020630	TF034
ENSMUSG00000020630	TF037
ENSMUSG00000020868	TF002
ENSMUSG00000020868	TF006
ENSMUSG00000020868	TF021
ENSMUSG00000020894	TF007
ENSMUSG00000020894	TF011
ENSMUSG00000020894	TF028
ENSMUSG00000020946	TF003
ENSMUSG00000020946	TF011
ENSMUSG00000020946	TF018
ENSMUSG00000020974	TF006
ENSMUSG00000020974	TF009
ENSMUSG00000020974	TF032
ENSMUSG00000021360	TF001
ENSMUSG00000021360	TF008
ENSMUSG00000021360	TF019
ENSMUSG00000021538	TF019
ENSMUSG00000021538	TF023
ENSMUSG00000021538	TF026
ENSMUSG00000021636	TF007
ENSMUSG00000021636	TF014
ENSMUSG00000021636	TF022
ENSMUSG00000021775	TF002
ENSMUSG00000021775	TF018
ENSMUSG00000021775	TF037
ENSMUSG00000022350	TF014
ENSMUSG00000022350	TF023
ENSMUSG00000022350	TF025
ENSMUSG00000022435	TF006
ENSMUSG00000022435	TF019
ENSMUSG00000022435	TF021
ENSMUSG00000022453	TF026
ENSMUSG00000022453	TF030
ENSMUSG00000022453	TF038
ENSMUSG00000022517	TF006
ENSMUSG00000022517	TF011
ENSMUSG00000022517	TF023
ENSMUSG00000022545	TF015
ENSMUSG00000022545	TF026
ENSMUSG00000022545	TF037
ENSMUSG00000022765	TF002
ENSMUSG00000022765	TF019
ENSMUSG00000022765	TF023
ENSMUSG00000022766	TF002
ENSMUSG00000022766	TF018
ENSMUSG00000022766	TF031
ENSMUSG00000022779	TF007
ENSMUSG00000022779	TF016
ENSMUSG00000022779	TF019
ENSMUSG00000022793	TF028
ENSMUSG00000022793	TF037
ENSMUSG00000022793	TF038
ENSMUSG00000023921	TF002
ENSMUSG00000023921	TF025
ENSMUSG00000023921	TF039
ENSMUSG00000024085	TF001
ENSMUSG00000024085	TF016
ENSMUSG00000024085	TF026
ENSMUSG00000024456	TF011
ENSMUSG00000024456	TF014
ENSMUSG00000024456	TF026
ENSMUSG00000024620	TF008
ENSMUSG00000024620	TF017
ENSMUSG00000024620	TF029
ENSMUSG00000024781	TF011
ENSMUSG00000024781	TF028
ENSMUSG00000024781	TF031
ENSMUSG00000024807	TF006
ENSMUSG00000024807	TF034
ENSMUSG00000024807	TF037
ENSMUSG00000024887	TF018
ENSMUSG00000024887	TF034
ENSMUSG00000024887	TF037
ENSMUSG00000025138	TF014
ENSMUSG00000025138	TF025
ENSMUSG00000025138	TF031
ENSMUSG00000025395	TF017
ENSMUSG00000025395	TF026
ENSMUSG00000025395	TF036
ENSMUSG00000025464	TF002
ENSMUSG00000025464	TF005
ENSMUSG00000025464	TF007
ENSMUSG00000025878	TF000
ENSMUSG00000025878	TF010
ENSMUSG00000025878	TF021
ENSMUSG00000026113	TF002
ENSMUSG00000026113	TF013
ENSMUSG00000026113	TF038
ENSMUSG00000026196	TF003
ENSMUSG00000026196	TF004
ENSMUSG00000026196	TF007
ENSMUSG00000026246	TF007
ENSMUSG00000026246	TF018
ENSMUSG00000026246	TF020
ENSMUSG00000026496	TF003
ENSMUSG00000026496	TF026
ENSMUSG00000026496	TF034
ENSMUSG00000026600	TF006
ENSMUSG00000026600	TF017
ENSMUSG00000026600	TF030
ENSMUSG00000026675	TF009
ENSMUSG00000026675	TF012
ENSMUSG00000026675	TF025
ENSMUSG00000026766	TF005
ENSMUSG00000026766	TF020
ENSMUSG00000026766	TF029
ENSMUSG00000026818	TF013
ENSMUSG00000026818	TF030
ENSMUSG00000026818	TF034
ENSMUSG00000026928	TF003
ENSMUSG00000026928	TF005
ENSMUSG00000026928	TF006
ENSMUSG00000027186	TF022
ENSMUSG00000027186	TF023
ENSMUSG00000027186	TF035
ENSMUSG00000027204	TF001
ENSMUSG00000027204	TF013
ENSMUSG00000027204	TF034
ENSMUSG00000027255	TF015
ENSMUSG00000027255	TF019
ENSMUSG00000027255	TF034
ENSMUSG00000027287	TF005
ENSMUSG00000027287	TF028
ENSMUSG00000027287	TF035
ENSMUSG00000027323	TF007
ENSMUSG00000027323	TF014
ENSMUSG00000027323	TF037
ENSMUSG00000027342	TF008
ENSMUSG00000027342	TF018
ENSMUSG00000027342	TF021
ENSMUSG00000027395	TF001
ENSMUSG00000027395	TF030
ENSMUSG00000027395	TF038
ENSMUSG00000027630	TF013
ENSMUSG00000027630	TF030
ENSMUSG00000027630	TF035
ENSMUSG00000027642	TF001
ENSMUSG00000027642	TF035
ENSMUSG00000027642	TF036
ENSMUSG00000028104	TF021
ENSMUSG00000028104	TF022
ENSMUSG00000028104	TF025
ENSMUSG00000028262	TF002
ENSMUSG00000028262	TF003
ENSMUSG00000028262	TF027
ENSMUSG00000028310	TF019
ENSMUSG00000028310	TF034
ENSMUSG00000028310	TF038
ENSMUSG00000028423	TF001
ENSMUSG00000028423	TF006
ENSMUSG00000028423	TF018
ENSMUSG00000028435	TF019
ENSMUSG00000028435	TF025
ENSMUSG00000028435	TF034
ENSMUSG00000028538	TF008
ENSMUSG00000028538	TF023
ENSMUSG00000028538	TF038
ENSMUSG00000028541	TF006
ENSMUSG00000028541	TF018
ENSMUSG00000028541	TF039
ENSMUSG00000028552	TF003
ENSMUSG00000028552	TF030
ENSMUSG00000028552	TF039
ENSMUSG00000028553	TF002
ENSMUSG00000028553	TF003
ENSMUSG00000028553	TF026
ENSMUSG00000028687	TF010
ENSMUSG00000028687	TF014
ENSMUSG00000028687	TF015
