T00h	T02h	T06h	T12h	T18h	T24h
ENSMUSG00000000394	ENSMUSG00000000037	ENSMUSG00000000394	ENSMUSG00000000037	ENSMUSG00000000157	ENSMUSG00000000037
ENSMUSG00000001445	ENSMUSG00000000157	ENSMUSG00000000579	ENSMUSG00000000394	ENSMUSG00000000394	ENSMUSG00000000157
ENSMUSG00000001918	ENSMUSG00000000394	ENSMUSG00000001445	ENSMUSG00000000751	ENSMUSG00000000579	ENSMUSG00000000394
ENSMUSG00000002748	ENSMUSG00000000876	ENSMUSG00000002015	ENSMUSG00000000876	ENSMUSG00000000751	ENSMUSG00000000440
ENSMUSG00000002814	ENSMUSG00000001445	ENSMUSG00000002688	ENSMUSG00000001445	ENSMUSG00000000876	ENSMUSG00000000579
ENSMUSG00000003299	ENSMUSG00000001995	ENSMUSG00000002763	ENSMUSG00000001995	ENSMUSG00000001029	ENSMUSG00000000751
ENSMUSG00000003752	ENSMUSG00000002395	ENSMUSG00000002797	ENSMUSG00000002010	ENSMUSG00000001445	ENSMUSG00000000876
ENSMUSG00000004069	ENSMUSG00000002763	ENSMUSG00000002814	ENSMUSG00000002015	ENSMUSG00000001918	ENSMUSG00000001029
ENSMUSG00000004233	ENSMUSG00000002797	ENSMUSG00000003429	ENSMUSG00000002395	ENSMUSG00000001995	ENSMUSG00000001445
ENSMUSG00000004285	ENSMUSG00000003299	ENSMUSG00000003752	ENSMUSG00000002748	ENSMUSG00000002010	ENSMUSG00000001918
ENSMUSG00000005142	ENSMUSG00000003429	ENSMUSG00000004018	ENSMUSG00000002797	ENSMUSG00000002015	ENSMUSG00000001995
ENSMUSG00000005958	ENSMUSG00000003545	ENSMUSG00000004296	ENSMUSG00000002814	ENSMUSG00000002395	ENSMUSG00000002010
ENSMUSG00000006333	ENSMUSG00000003752	ENSMUSG00000004952	ENSMUSG00000002963	ENSMUSG00000002688	ENSMUSG00000002015
ENSMUSG00000007038	ENSMUSG00000003970	ENSMUSG00000005069	ENSMUSG00000003299	ENSMUSG00000002748	ENSMUSG00000002395
ENSMUSG00000012483	ENSMUSG00000004018	ENSMUSG00000005142	ENSMUSG00000003429	ENSMUSG00000002763	ENSMUSG00000002688
ENSMUSG00000015575	ENSMUSG00000004296	ENSMUSG00000005682	ENSMUSG00000003545	ENSMUSG00000002797	ENSMUSG00000002748
ENSMUSG00000016018	ENSMUSG00000004846	ENSMUSG00000006411	ENSMUSG00000003752	ENSMUSG00000002814	ENSMUSG00000002763
ENSMUSG00000016496	ENSMUSG00000004952	ENSMUSG00000006445	ENSMUSG00000003970	ENSMUSG00000002957	ENSMUSG00000002797
ENSMUSG00000017404	ENSMUSG00000005682	ENSMUSG00000006542	ENSMUSG00000004018	ENSMUSG00000002963	ENSMUSG00000002814
ENSMUSG00000017929	ENSMUSG00000005958	ENSMUSG00000007038	ENSMUSG00000004233	ENSMUSG00000003429	ENSMUSG00000002957
ENSMUSG00000018001	ENSMUSG00000006333	ENSMUSG00000007050	ENSMUSG00000004285	ENSMUSG00000003752	ENSMUSG00000002963
