#CHR	start	end	T00h	T02h	T06h	T12h	T18h	T24h
1	40098	40498	-0.1143	0.1536	-0.1026	0.7611	0.6654	-0.0459
1	60000	60400	-0.3096	0.2624	-0.0683	0.4886	-0.2826	-0.3134
1	129499	129899	-0.0957	-0.1797	-0.1881	-0.3045	-0.0931	0.0142
1	180000	180400	-0.3622	0.1446	0.0454	-0.6588	0.0093	-0.0697
1	249499	249899	0.9513	1.2350	1.4294	1.4289	1.4829	1.9084
1	300000	300400	0.4605	-0.9533	0.5380	0.3687	-0.0468	0.1511
1	400098	400498	-0.5967	0.0526	0.0004	-0.6113	0.2193	0.6376
1	420000	420400	-0.1630	0.4823	-0.6140	0.6478	0.1541	-0.0915
1	489499	489899	0.1190	-0.4769	-0.5144	-0.1921	0.3528	0.3772
1	540000	540400	0.4678	-0.2663	0.2497	-0.0789	0.2633	0.0791
1	609499	609899	-0.0372	0.6742	-0.1106	0.4130	0.1630	-0.3085
1	660000	660400	0.3191	-0.5208	-0.0546	0.6341	0.3153	0.3613
1	760098	760498	-0.2248	0.1022	0.1522	0.4067	0.4581	0.1844
1	780000	780400	0.1230	0.3372	-0.0501	0.2741	0.1760	-0.0994
1	849499	849899	-0.3615	0.3020	0.3829	-0.5447	0.2922	0.0899
1	900000	900400	0.1509	-0.3529	-0.0483	0.2118	-0.1568	-0.4892
1	969499	969899	0.5431	0.8264	0.8878	1.9847	1.6974	1.7764
1	1020000	1020400	0.3584	0.2477	0.2914	0.0243	0.2302	0.1161
1	1120098	1120498	0.0839	0.0047	0.1004	0.0735	-0.0981	0.5270
1	1140000	1140400	0.0476	0.2857	-0.2940	0.0125	-0.1011	-0.3177
1	1209499	1209899	0.1298	-0.4992	-0.5470	0.4359	-0.2150	0.0817
1	1260000	1260400	0.1922	-0.1679	-0.0070	-0.8818	-0.8935	-0.0161
1	1329499	1329899	0.1351	0.7794	-0.1170	0.0306	-0.0945	0.0002
1	1380000	1380400	0.7866	-0.4382	0.2775	0.2464	-0.5069	-0.3286
1	1480098	1480498	0.3560	-0.1294	0.1065	-0.1926	-0.7413	-0.3201
1	1500000	1500400	-0.2756	-0.5363	-0.4423	0.3786	0.2729	-0.4307
1	1569499	1569899	-0.3711	0.3095	-0.4475	0.1233	-0.5056	-0.0930
1	1620000	1620400	0.0838	0.0030	0.0148	0.2489	-0.6057	-0.0260
1	1689499	1689899	-0.0674	-0.6102	-0.5835	0.0704	-0.2373	-0.1965
1	1740000	1740400	-0.0227	0.0520	-0.1626	-0.4671	-0.3274	-0.0169
1	1840098	1840498	0.1613	0.3505	0.0292	-0.0348	0.1063	-0.2489
1	1860000	1860400	-0.1592	0.0705	0.1141	0.1723	0.1635	-0.2546
1	1929499	1929899	0.0114	-0.1434	-0.5503	0.0835	0.0568	0.2854
1	1980000	1980400	0.0889	0.4863	0.6128	-0.0995	-0.6280	-0.2812
1	2049499	2049899	0.3474	-0.4054	0.2492	-0.1116	-0.2746	-0.0961
1	2100000	2100400	0.5536	0.2663	-0.4636	-0.1046	-0.5395	-0.2097
1	2200098	2200498	0.6005	-0.6982	-0.1798	0.4452	-0.5345	0.3728
1	2220000	2220400	0.3815	-0.0478	-0.2073	0.0180	0.6615	-0.4718
1	2289499	2289899	-0.2920	-0.4050	-0.1957	-0.4132	-0.2282	0.0527
1	2340000	2340400	-0.5246	-0.7253	0.4070	-0.3575	-0.2684	0.2928
1	2409499	2409899	-0.2529	-0.0501	0.0096	0.9858	-0.0804	0.3683
1	2460000	2460400	-0.3691	-0.3286	-0.4267	0.1569	0.1925	-0.2701
1	2560098	2560498	0.4142	-0.0244	-0.0179	0.2661	0.6377	0.0296
1	2580000	2580400	0.5665	-0.0419	-0.6988	0.1805	0.1267	-0.2198
1	2649499	2649899	-1.1751	-0.7723	-1.4860	-1.9759	-2.0321	-1.5422
1	2700000	2700400	-1.4712	0.3135	-0.2940	0.0658	-0.2443	0.0753
1	2769499	2769899	-0.5777	-0.1699	-0.2199	0.0322	-0.4704	-0.4823
1	2820000	2820400	-0.1872	-0.1951	-0.1152	0.0264	0.3780	0.1753
1	2920098	2920498	0.6869	1.0597	1.5548	1.2050	1.2409	1.7297
1	2940000	2940400	0.2342	0.0962	-0.6249	-0.0965	0.0215	0.1870
1	3009499	3009899	-0.8387	0.5609	0.5260	0.2048	-0.0501	0.2496
1	3060000	3060400	-0.6109	-0.0596	-0.3182	-0.6165	-0.0807	-0.4622
1	3129499	3129899	-0.3669	0.4872	1.3081	0.0329	0.2048	0.0155
1	3180000	3180400	0.5671	0.1376	0.3314	0.2823	-0.1237	0.0472
1	3280098	3280498	0.2217	-0.3323	-0.0753	0.2263	-0.4640	0.6143
1	3300000	3300400	0.5634	0.2650	0.4255	0.3791	-0.0070	-0.1077
1	3369499	3369899	-0.3661	-0.3029	0.1811	0.4972	0.2342	-0.1882
1	3420000	3420400	-0.2804	-0.7416	0.2180	-0.1699	-0.0941	-0.0617
1	3489499	3489899	-0.0621	-0.2921	0.1776	0.3776	0.3757	0.0367
1	3540000	3540400	-0.0339	0.0206	0.0679	0.4858	0.1533	-0.1838
1	3640098	3640498	0.3901	1.7738	1.6206	1.3572	1.5184	2.1741
1	3660000	3660400	-0.3214	0.1673	-0.3931	-0.3092	-0.2569	-0.3236
1	3729499	3729899	-0.1624	-0.3117	-0.0040	-0.2382	-0.1088	0.0222
1	3780000	3780400	-0.0115	0.3206	0.1914	-0.6341	0.1294	0.1100
1	3849499	3849899	-0.0765	-0.3195	-0.7251	-0.0704	-0.0542	-0.0402
1	3900000	3900400	0.4360	0.2437	-0.8198	0.1822	-0.8634	0.6104
1	4000098	4000498	1.0483	-0.0281	1.3266	1.4543	1.0492	2.2162
1	4020000	4020400	0.2861	0.3910	-0.0585	-0.0958	0.0785	-0.2958
1	4089499	4089899	-0.0823	0.2489	0.6245	-0.2407	-0.0482	-0.5347
1	4140000	4140400	0.4507	0.9141	0.0038	0.1252	-0.3411	0.2403
1	4209499	4209899	0.9083	0.4247	-0.0472	0.3926	-0.1159	0.4513
1	4260000	4260400	0.3657	0.8113	0.4907	0.2523	-0.8762	-0.1743
1	4360098	4360498	0.0516	0.2824	-0.2368	0.2117	-0.2676	-0.0454
1	4380000	4380400	-0.1661	0.3200	0.3096	0.2582	0.1405	0.2002
1	4449499	4449899	0.9838	1.5857	0.6652	1.0806	1.4027	2.4329
1	4500000	4500400	0.0819	-0.1450	-0.1334	0.5080	0.5149	-0.4794
1	4569499	4569899	-0.1434	-0.1247	-0.3441	-0.0584	-0.3677	-0.0804
1	4620000	4620400	0.2272	0.1342	-0.2658	0.0495	0.0965	0.3954
1	4720098	4720498	-0.0734	-0.2585	0.4406	-0.2511	-0.3152	0.3301
1	4740000	4740400	-0.1511	-0.2778	-0.1107	-0.2532	-0.1053	-0.2255
1	4809499	4809899	-0.9371	-1.7239	-1.0997	-1.3993	-1.3550	-1.7299
