#CHR	start	end	Ikaros/Control_0h	Ikaros/Control_2h	Ikaros/Control_6h	Ikaros/Control_12h	Ikaros/Control_18h	Ikaros/Control_24h
1	63176480	63177113	-0.021452	-0.084766	-0.070148	-0.389868	-0.064354	-0.351834
1	125435495	125436168	0.710049	-0.143838	0.157869	-0.427291	0.037238	0.005001
1	128319376	128319506	-0.219151	-0.113350	0.322962	-0.210712	0.410304	0.248211
1	139067124	139067654	-0.255247	0.244475	1.171394	0.611829	0.623809	0.889079
1	152305595	152305752	-0.051165	0.083442	-0.606718	-0.155585	-0.258295	0.413116
1	172490322	172490824	-0.506802	-0.108578	-0.584745	-0.201347	0.222352	-0.143720
1	183369390	183369977	0.198092	-0.094012	-0.018954	-0.066388	0.193139	0.083152
1	9748193	9748790	0.099332	-0.292105	-0.099863	-0.369058	0.365892	0.242357
1	13647787	13648320	0.201128	-0.033622	0.077088	0.163773	0.069646	0.151137
1	14729170	14729291	-0.916949	0.418062	-0.352643	0.589296	-0.696164	-0.495118
1	51445391	51445982	0.691544	0.159006	0.763775	0.125992	0.613298	0.083557
1	51478208	51478829	0.879312	-0.289099	0.243968	-0.246626	0.062481	-0.127321
1	53296778	53297316	0.196133	0.211662	0.379969	-0.137464	0.021776	0.032242
1	53313367	53313883	-0.174894	0.304666	0.087865	-0.064304	-0.037889	-0.223492
1	53952508	53953008	0.423893	1.027416	0.046253	0.378248	0.958889	0.688524
1	55557711	55558355	-0.106770	-0.290160	-0.105179	-0.409725	-0.225699	-0.296727
1	58392540	58393395	0.765995	0.049464	0.403355	-0.322765	0.084955	-0.459122
1	58802145	58802841	-0.190158	-0.615942	-0.661097	-0.435151	-0.696708	-0.627834
1	60702591	60703130	0.272327	-0.288485	-0.169698	-0.168962	-0.147769	0.315906
1	65388236	65388742	-0.746558	0.376288	-0.307708	0.183679	0.437700	0.236063
1	66174824	66175324	1.078040	-0.191112	0.888879	0.173122	0.128990	0.025092
1	66895783	66895939	-0.178370	0.082231	-0.389817	-0.172049	0.081727	-0.118976
1	73826252	73826759	-0.847804	0.157414	-0.461864	0.396488	-0.044767	0.354976
1	74284503	74285142	0.152383	-0.345148	-0.124402	-0.612585	0.213021	0.054725
1	75251619	75251863	0.309888	-0.083692	0.205931	-0.152760	-0.169650	-0.174310
1	80756715	80757223	0.215709	0.222363	0.213532	0.175059	-0.294804	-0.240991
1	86228562	86229178	-0.289224	0.049618	0.032363	0.121752	0.325509	-0.025892
1	86425157	86425658	0.095962	-0.268637	-0.171106	-0.799637	-0.726903	-1.082286
1	87326577	87327149	0.627317	0.105809	0.384051	-0.472598	-0.058058	-0.274624
1	90603167	90603695	0.436976	0.193491	0.759052	-0.019602	0.642714	0.050682
1	91913761	91914264	-0.427082	0.016869	-0.173509	0.045816	0.057359	-0.297932
1	95223374	95223878	-0.300325	0.107709	0.189614	0.121276	0.390485	0.754272
1	106151690	106152190	0.256622	-0.119192	0.127614	-0.076834	0.007199	-0.341096
1	119504556	119505115	0.257094	-0.042232	0.500281	-0.509451	-0.038492	0.066673
1	120274928	120275428	-0.203264	-0.038798	0.645228	1.024772	0.686377	0.549985
1	127500157	127500673	-0.560316	0.033685	-0.009243	0.255532	0.132932	0.087943
1	127696479	127696979	-0.825303	0.688268	-0.307796	0.127400	0.033507	0.648505
1	128548811	128548941	0.731419	1.386660	0.099354	0.320080	-0.677308	-0.252417
1	133381972	133382479	-0.680020	0.036430	-0.062054	0.017122	-0.209040	-0.088110
1	134791147	134791277	-0.552632	0.873531	0.686078	1.536617	0.352923	0.294832
1	146259462	146259979	-0.003349	-0.260160	-0.308181	-0.492232	-0.610663	-0.220225
1	153255917	153256047	1.217550	-0.431116	0.816200	0.985805	0.448767	-0.747949
1	153386664	153387167	-0.169811	0.023876	-0.474908	-0.346045	-0.181533	-0.669110
1	153550739	153551246	-0.815192	-0.013718	-0.174315	0.099814	0.067222	-0.217086
1	153894858	153895367	-0.164999	-0.215931	-0.079413	0.868961	0.063508	0.603710
1	155140035	155140535	-0.334578	0.204728	-0.226328	-0.280088	0.006532	-0.405564
1	160268273	160268795	-0.340281	-0.065156	0.331913	0.569714	0.632209	0.769778
1	160743399	160743538	-0.136738	-0.023848	-0.646658	-0.259469	-0.689942	0.155436
1	161070427	161071154	0.090015	-0.100367	0.021391	-0.422370	0.215556	-0.201845
1	161250892	161251641	0.179710	0.107160	0.238787	-0.087215	0.071654	-0.124206
1	165642107	165642616	0.813509	0.306876	0.209197	-0.621601	-0.008179	-0.805739
1	165658533	165659036	0.224496	0.516674	-0.198475	0.382065	-0.213496	0.337362
1	166002573	166003694	1.028644	0.206024	0.435390	-0.236695	0.401632	0.198567
1	168214092	168214592	-0.756273	0.143448	0.002796	-0.265661	0.229134	0.137651
1	169459321	169459834	-0.141575	0.646275	0.156611	0.445972	0.172918	0.674512
1	170622826	170623326	-0.173744	0.734126	0.043946	0.119648	-0.273167	0.534379
1	170868580	170868777	0.170576	-0.055467	-0.178905	-0.803247	0.052126	-0.692019
1	171294424	171295081	0.323569	0.374903	-0.103595	-0.049249	-0.128010	-0.326020
1	172310034	172310542	0.136007	-0.068243	-0.375528	-0.283844	-0.474032	-0.373633
1	175669123	175669259	-0.067731	0.072132	-0.847936	0.068172	-0.448289	0.206847
1	177110511	177111079	-0.649668	-0.164719	0.194416	0.738818	1.209436	0.719536
1	177258491	177258991	0.978847	0.249870	0.000257	-0.104832	-0.104911	-0.370144
1	180387382	180387899	0.465972	-0.383942	-0.090212	-0.777415	-0.076814	-0.496830
1	180813303	180813875	0.939155	0.425705	0.650790	-0.290749	0.327698	0.113524
1	181845947	181846099	0.545436	-0.437896	-0.553859	-0.005243	-0.735031	-0.450170
1	182124400	182125483	0.697248	-0.154520	0.000170	-0.494960	-0.149215	-0.264193
1	189628366	189628866	-0.524621	0.160530	-0.397682	-0.153517	-0.217559	-0.044859
1	191283113	191283613	-0.210278	-0.395070	-0.072985	-0.362108	0.100178	-0.714533
1	191396823	191397943	0.381409	-0.272703	-0.044692	-0.514778	-0.082697	-0.295934
1	193363939	193364069	-0.331480	-0.509636	-0.403122	-0.070413	0.197088	-0.208032
1	3670777	3670902	-1.090576	0.252368	-0.590331	0.086295	0.778140	-0.247161
1	3873195	3873351	-1.009530	-0.312706	0.115180	0.878292	1.042814	0.661625
1	4332428	4332928	-0.409910	0.890823	0.325134	1.437738	0.703897	1.405554
1	4346315	4346445	0.541726	-0.236027	-1.016795	0.253722	-0.338320	0.253793
1	4416827	4416973	-0.305796	0.835669	-0.053842	0.200158	0.679653	0.534647
1	4516660	4516798	-1.840306	0.980563	0.208843	1.153264	0.541084	1.353607
1	4768305	4768805	-1.148447	-0.285802	-0.428946	0.323318	-0.014962	-0.303143
1	4769806	4770306	-1.129000	0.347764	-0.279715	-0.047987	-0.292996	-0.192229
1	4780215	4780345	-0.441731	-0.612874	-0.076326	1.693543	-0.062243	1.157531
1	4785494	4786020	0.636546	0.547143	0.735979	0.075873	0.263096	0.008009
1	4807494	4808039	0.878039	0.495320	0.870519	-0.248150	0.244798	-0.067781
1	4857386	4857985	0.267944	-0.032229	0.265549	-0.167233	-0.185323	-0.368424
1	4918675	4918805	-0.402751	1.408850	0.802694	1.462004	0.192472	0.694058
1	5070263	5070684	-0.051787	-0.269213	0.270629	0.404388	0.634607	0.566519
1	5082831	5083352	-0.065533	0.270604	0.640496	0.400101	0.625741	0.184506
1	5904947	5905079	0.446784	0.403810	-0.868193	1.517734	0.303310	1.800747
